regions,tech,vintage,exist_cap,exist_cap_units,exist_cap_notes
TO,LDITRADOMAIR_________AGA_EX,2015,0.0018442565599324852,kunit,Long DistanceTransportationDomesticAirAviation Gasoline
TO,LDITRADOMAIR_________ATF_EX,2015,0.1793420909749153,kunit,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRADOMRAI_________DSL_EX,2015,0.0028510128302963286,kunit,Long DistanceTransportationDomesticRailDiesel
TO,LDITRAINTAIR_________AGA_EX,2015,0.0009340226437372064,kunit,Long DistanceTransportationInternationalAirAviation Gasoline
TO,LDITRAINTAIR_________ATF_EX,2015,0.09082769587756334,kunit,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,LDITRAINTRAI_________DSL_EX,2015,0.001804867201597182,kunit,Long DistanceTransportationInternationalRailDiesel
TO,LDITRADOMAIR_________AGA_EX,2010,0.0018442565599324852,kunit,Long DistanceTransportationDomesticAirAviation Gasoline
TO,LDITRADOMAIR_________ATF_EX,2010,0.1793420909749153,kunit,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRADOMRAI_________DSL_EX,2010,0.0028510128302963286,kunit,Long DistanceTransportationDomesticRailDiesel
TO,LDITRAINTAIR_________AGA_EX,2010,0.0009340226437372064,kunit,Long DistanceTransportationInternationalAirAviation Gasoline
TO,LDITRAINTAIR_________ATF_EX,2010,0.09082769587756334,kunit,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,LDITRAINTRAI_________DSL_EX,2010,0.001804867201597182,kunit,Long DistanceTransportationInternationalRailDiesel
TO,LDITRADOMAIR_________AGA_EX,2005,0.0018442565599324852,kunit,Long DistanceTransportationDomesticAirAviation Gasoline
TO,LDITRADOMAIR_________ATF_EX,2005,0.1793420909749153,kunit,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRADOMRAI_________DSL_EX,2005,0.0028510128302963286,kunit,Long DistanceTransportationDomesticRailDiesel
TO,LDITRAINTAIR_________AGA_EX,2005,0.0009340226437372064,kunit,Long DistanceTransportationInternationalAirAviation Gasoline
TO,LDITRAINTAIR_________ATF_EX,2005,0.09082769587756334,kunit,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,LDITRAINTRAI_________DSL_EX,2005,0.001804867201597182,kunit,Long DistanceTransportationInternationalRailDiesel
TO,LDITRADOMAIR_________AGA_EX,2000,0.0018442565599324852,kunit,Long DistanceTransportationDomesticAirAviation Gasoline
TO,LDITRADOMAIR_________ATF_EX,2000,0.1793420909749153,kunit,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRADOMRAI_________DSL_EX,2000,0.0028510128302963286,kunit,Long DistanceTransportationDomesticRailDiesel
TO,LDITRAINTAIR_________AGA_EX,2000,0.0009340226437372064,kunit,Long DistanceTransportationInternationalAirAviation Gasoline
TO,LDITRAINTAIR_________ATF_EX,2000,0.09082769587756334,kunit,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,LDITRAINTRAI_________DSL_EX,2000,0.001804867201597182,kunit,Long DistanceTransportationInternationalRailDiesel
TO,LDITRADOMAIR_________AGA_EX,1995,0.0018442565599324852,kunit,Long DistanceTransportationDomesticAirAviation Gasoline
TO,LDITRADOMAIR_________ATF_EX,1995,0.1793420909749153,kunit,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,LDITRADOMRAI_________DSL_EX,1995,0.0028510128302963286,kunit,Long DistanceTransportationDomesticRailDiesel
TO,LDITRAINTAIR_________AGA_EX,1995,0.0009340226437372064,kunit,Long DistanceTransportationInternationalAirAviation Gasoline
TO,LDITRAINTAIR_________ATF_EX,1995,0.09082769587756334,kunit,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,LDITRAINTRAI_________DSL_EX,1995,0.001804867201597182,kunit,Long DistanceTransportationInternationalRailDiesel
TO,LDITRADOMRAI_________DSL_EX,1990,0.0028510128302963286,kunit,Long DistanceTransportationDomesticRailDiesel
TO,LDITRAINTRAI_________DSL_EX,1990,0.001804867201597182,kunit,Long DistanceTransportationInternationalRailDiesel
TO,LDITRADOMRAI_________DSL_EX,1985,0.0028510128302963286,kunit,Long DistanceTransportationDomesticRailDiesel
TO,LDITRAINTRAI_________DSL_EX,1985,0.001804867201597182,kunit,Long DistanceTransportationInternationalRailDiesel
TO,LDITRADOMRAI_________DSL_EX,1980,0.0028510128302963286,kunit,Long DistanceTransportationDomesticRailDiesel
TO,LDITRAINTRAI_________DSL_EX,1980,0.001804867201597182,kunit,Long DistanceTransportationInternationalRailDiesel
TO,LDITRADOMRAI_________DSL_EX,1975,0.0028510128302963286,kunit,Long DistanceTransportationDomesticRailDiesel
TO,LDITRAINTRAI_________DSL_EX,1975,0.001804867201597182,kunit,Long DistanceTransportationInternationalRailDiesel
TO,LDITRADOMRAI_________DSL_EX,1970,0.0028510128302963286,kunit,Long DistanceTransportationDomesticRailDiesel
TO,LDITRAINTRAI_________DSL_EX,1970,0.001804867201597182,kunit,Long DistanceTransportationInternationalRailDiesel
