regions,season_name,time_of_day_name,tech,cf_tech,cf_tech_notes
TO,W,D,LDITRADOMROACAR___CONVDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,W,N,LDITRADOMROACAR___CONVDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,W,P1,LDITRADOMROACAR___CONVDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,W,P2,LDITRADOMROACAR___CONVDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,F,D,LDITRADOMROACAR___CONVDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,F,N,LDITRADOMROACAR___CONVDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,F,P1,LDITRADOMROACAR___CONVDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,F,P2,LDITRADOMROACAR___CONVDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,S,D,LDITRADOMROACAR___CONVDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,S,N,LDITRADOMROACAR___CONVDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,S,P1,LDITRADOMROACAR___CONVDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,S,P2,LDITRADOMROACAR___CONVDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,R,D,LDITRADOMROACAR___CONVDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,R,N,LDITRADOMROACAR___CONVDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,R,P1,LDITRADOMROACAR___CONVDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,R,P2,LDITRADOMROACAR___CONVDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,W,D,LDITRADOMROACAR___HYBDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,W,N,LDITRADOMROACAR___HYBDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,W,P1,LDITRADOMROACAR___HYBDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,W,P2,LDITRADOMROACAR___HYBDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,F,D,LDITRADOMROACAR___HYBDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,F,N,LDITRADOMROACAR___HYBDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,F,P1,LDITRADOMROACAR___HYBDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,F,P2,LDITRADOMROACAR___HYBDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,S,D,LDITRADOMROACAR___HYBDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,S,N,LDITRADOMROACAR___HYBDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,S,P1,LDITRADOMROACAR___HYBDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,S,P2,LDITRADOMROACAR___HYBDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,R,D,LDITRADOMROACAR___HYBDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,R,N,LDITRADOMROACAR___HYBDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,R,P1,LDITRADOMROACAR___HYBDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,R,P2,LDITRADOMROACAR___HYBDSL____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,W,D,LDITRADOMROACAR___BEV320BELC____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCars320VElectricityBattery Electric Vehicle2023
TO,W,N,LDITRADOMROACAR___BEV320BELC____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCars320VElectricityBattery Electric Vehicle2023
TO,W,P1,LDITRADOMROACAR___BEV320BELC____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCars320VElectricityBattery Electric Vehicle2023
TO,W,P2,LDITRADOMROACAR___BEV320BELC____23,0.01718482107305936,Long DistanceTransportationDomesticRoadCars320VElectricityBattery Electric Vehicle2023
