regions,tech,c2a,c2a_notes
TO,LDITRADOMROACAR___CONVDSL____23,876.0,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___HYBDSL____23,876.0,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,LDITRADOMROACAR___BEV320BELC____23,876.0,Long DistanceTransportationDomesticRoadCars320VElectricityBattery Electric Vehicle2023
TO,LDITRADOMROACAR___BEV480BELC____23,876.0,Long DistanceTransportationDomesticRoadCars480VElectricityBattery Electric Vehicle2023
TO,LDITRADOMROACAR___BEV640BELC____23,876.0,Long DistanceTransportationDomesticRoadCars640VElectricityBattery Electric Vehicle2023
TO,LDITRADOMROACAR___CONVGAS____23,876.0,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,LDITRADOMROACAR___HYBGAS____23,876.0,Long DistanceTransportationDomesticRoadCarsHybridGasoline2023
TO,LDITRADOMROACAR___PHEVGASELC_23,876.0,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,LDITRADOMROACAR___CELLHH2____23,876.0,Long DistanceTransportationDomesticRoadCarsFuel Cell VehicleHydrogen2023
TO,LDITRADOMROACAR___CONVNGABIF_23,876.0,Long DistanceTransportationDomesticRoadCarsConventionnalNatural GasBi Fuel2023
TO,LDITRADOMROACAR___CONVNGA____23,876.0,Long DistanceTransportationDomesticRoadCarsConventionnalNatural Gas2023
TO,LDITRADOMROACAR___CONVPROBIF_23,876.0,Long DistanceTransportationDomesticRoadCarsConventionnalPropaneBi Fuel2023
TO,LDITRADOMROACAR___CONVPRO____23,876.0,Long DistanceTransportationDomesticRoadCarsConventionnalPropane2023
TO,LDITRADOMROACAR___CONVRDSL____23,876.0,Long DistanceTransportationDomesticRoadCarsConventionnalRenewable Diesel2023
TO,LDITRADOMROACAR___HYBRDSL____23,876.0,Long DistanceTransportationDomesticRoadCarsHybridRenewable Diesel2023
TO,LDITRADOMROACAR___CONVNGA____16,876.0,Long DistanceTransportationDomesticRoadCarsConventionnalNatural Gas2016
TO,LDITRADOMROACAR___CONVGAS____16,876.0,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,LDITRADOMROACAR___CONVDSL____16,876.0,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2016
