regions,tech,vintage,cost_invest,cost_invest_units,cost_invest_notes
TO,LDITRADOMROACAR___CONVDSL____23,2023,28334.32028,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2024,29494.93297,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2025,30655.54566,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2026,31414.62879,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2027,32173.71192,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2028,32932.79505,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2029,33691.87818,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2030,34450.96131,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2031,34997.758,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2032,35544.55469,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2033,36091.35139,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2034,36638.14808,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2035,37184.94478,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2036,37527.55999,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2037,37870.17519,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2038,38212.7904,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2039,38555.4056,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2040,38898.02081,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2041,39240.63602,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2042,39583.25123,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2043,39925.86643,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2044,40268.48164,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2045,40611.09685,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2046,40953.71206,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2047,41296.32727,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2048,41638.94247,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2049,41981.55768,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___CONVDSL____23,2050,42324.17289,k$/kunits,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___HYBDSL____23,2023,32242.17841,k$/kunits,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,LDITRADOMROACAR___HYBDSL____23,2024,32483.5076,k$/kunits,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,LDITRADOMROACAR___HYBDSL____23,2025,32724.83679,k$/kunits,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,LDITRADOMROACAR___HYBDSL____23,2026,32719.94828,k$/kunits,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,LDITRADOMROACAR___HYBDSL____23,2027,32715.05976,k$/kunits,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,LDITRADOMROACAR___HYBDSL____23,2028,32710.17124,k$/kunits,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,LDITRADOMROACAR___HYBDSL____23,2029,32705.28273,k$/kunits,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
