regions,tech,life,life_notes
TO,LDITRADOMROACAR___CONVDSL____23,15.0,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023
TO,LDITRADOMROACAR___HYBDSL____23,15.0,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023
TO,LDITRADOMROACAR___BEV320BELC____23,15.0,Long DistanceTransportationDomesticRoadCars320VElectricityBattery Electric Vehicle2023
TO,LDITRADOMROACAR___BEV480BELC____23,15.0,Long DistanceTransportationDomesticRoadCars480VElectricityBattery Electric Vehicle2023
TO,LDITRADOMROACAR___BEV640BELC____23,15.0,Long DistanceTransportationDomesticRoadCars640VElectricityBattery Electric Vehicle2023
TO,LDITRADOMROACAR___CONVGAS____23,15.0,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,LDITRADOMROACAR___HYBGAS____23,15.0,Long DistanceTransportationDomesticRoadCarsHybridGasoline2023
TO,LDITRADOMROACAR___PHEVGASELC_23,15.0,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,LDITRADOMROACAR___CELLHH2____23,15.0,Long DistanceTransportationDomesticRoadCarsFuel Cell VehicleHydrogen2023
TO,LDITRADOMROACAR___CONVNGABIF_23,15.0,Long DistanceTransportationDomesticRoadCarsConventionnalNatural GasBi Fuel2023
TO,LDITRADOMROACAR___CONVNGA____23,15.0,Long DistanceTransportationDomesticRoadCarsConventionnalNatural Gas2023
TO,LDITRADOMROACAR___CONVPROBIF_23,15.0,Long DistanceTransportationDomesticRoadCarsConventionnalPropaneBi Fuel2023
TO,LDITRADOMROACAR___CONVPRO____23,15.0,Long DistanceTransportationDomesticRoadCarsConventionnalPropane2023
TO,LDITRADOMROACAR___CONVRDSL____23,15.0,Long DistanceTransportationDomesticRoadCarsConventionnalRenewable Diesel2023
TO,LDITRADOMROACAR___HYBRDSL____23,15.0,Long DistanceTransportationDomesticRoadCarsHybridRenewable Diesel2023
TO,LDITRADOMROACAR___CONVNGA____16,15.0,Long DistanceTransportationDomesticRoadCarsConventionnalNatural Gas2016
TO,LDITRADOMROACAR___CONVGAS____16,15.0,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,LDITRADOMROACAR___CONVDSL____16,15.0,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2016
TO,LDITRADOMROACAR___CONVPRO____16,15.0,Long DistanceTransportationDomesticRoadCarsConventionnalPropane2016
TO,LDITRADOMROATRULGTCONVDSL____23,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,LDITRADOMROATRULGTHYBDSL____23,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksHybridDiesel2023
TO,LDITRADOMROATRULGTBEV320BELC____23,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light Trucks320VElectricityBattery Electric Vehicle2023
TO,LDITRADOMROATRULGTBEV480BELC____23,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light Trucks480VElectricityBattery Electric Vehicle2023
TO,LDITRADOMROATRULGTBEV640BELC____23,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light Trucks640VElectricityBattery Electric Vehicle2023
TO,LDITRADOMROATRULGTCONVGAS____23,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,LDITRADOMROATRULGTHYBGAS____23,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksHybridGasoline2023
TO,LDITRADOMROATRULGTPHEVGASELC_23,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksPlug Hybrid VehicleGasolineElectricity2023
TO,LDITRADOMROATRULGTCELLHH2____23,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksFuel Cell VehicleHydrogen2023
TO,LDITRADOMROATRULGTCONVNGABIF_23,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalNatural GasBi Fuel2023
TO,LDITRADOMROATRULGTCONVNGA____23,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalNatural Gas2023
TO,LDITRADOMROATRULGTCONVPROBIF_23,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalPropaneBi Fuel2023
TO,LDITRADOMROATRULGTCONVPRO____23,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalPropane2023
TO,LDITRADOMROATRULGTCONVRDSL____23,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalRenewable Diesel2023
TO,LDITRADOMROATRULGTHYBRDSL____23,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksHybridRenewable Diesel2023
TO,LDITRADOMROATRULGTCONVNGA____16,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalNatural Gas2016
TO,LDITRADOMROATRULGTCONVGAS____16,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2016
TO,LDITRADOMROATRULGTCONVDSL____16,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalDiesel2016
TO,LDITRADOMROATRULGTCONVPRO____16,15.0,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalPropane2016
TO,LDITRADOMROABUSIUBCATEDSLELC_25,10.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusCatenaryDieselElectricity2025
TO,LDITRADOMROABUSIUBCONVDSL____23,10.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusConventionnalDiesel2023
TO,LDITRADOMROABUSIUBHYBDSL____23,10.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusHybridDiesel2023
TO,LDITRADOMROABUSIUBPHEVDSLELC_23,10.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusPlug Hybrid VehicleDieselElectricity2023
TO,LDITRADOMROABUSIUBBEVBELC____25,10.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusBattery Electric VehicleBattery Electric Vehicle2025
TO,LDITRADOMROABUSIUBCATEELC____25,10.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusCatenaryElectricity2025
TO,LDITRADOMROABUSIUBCONVGAS____23,10.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusConventionnalGasoline2023
TO,LDITRADOMROABUSIUBCELLHH2____23,10.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusFuel Cell VehicleHydrogen2023
TO,LDITRADOMROABUSIUBCATENGAELC_25,10.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusCatenaryNatural GasElectricity2025
TO,LDITRADOMROABUSIUBCONVNGA____23,15.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusConventionnalNatural Gas2023
TO,LDITRADOMROABUSIUBPHEVNGAELC_23,10.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusPlug Hybrid VehicleNatural GasElectricity2023
TO,LDITRADOMROABUSIUBCATERDSLELC_25,10.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusCatenaryRenewable DieselElectricity2025
TO,LDITRADOMROABUSIUBCONVRDSL____23,10.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusConventionnalRenewable Diesel2023
TO,LDITRADOMROABUSIUBHYBRDSL____23,10.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusHybridRenewable Diesel2023
TO,LDITRADOMROABUSIUBPHEVRDSLELC_23,10.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusPlug Hybrid VehicleRenewable DieselElectricity2023
TO,LDITRADOMROABUSIUBCONVGAS____16,10.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusConventionnalGasoline2016
TO,LDITRADOMROABUSIUBCONVDSL____16,10.0,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusConventionnalDiesel2016
TO,LDITRAINTROACAR___CONVDSL____23,15.0,Long DistanceTransportationInternationalRoadCarsConventionnalDiesel2023
TO,LDITRAINTROACAR___HYBDSL____23,15.0,Long DistanceTransportationInternationalRoadCarsHybridDiesel2023
TO,LDITRAINTROACAR___BEV320BELC____23,15.0,Long DistanceTransportationInternationalRoadCars320VElectricityBattery Electric Vehicle2023
TO,LDITRAINTROACAR___BEV480BELC____23,15.0,Long DistanceTransportationInternationalRoadCars480VElectricityBattery Electric Vehicle2023
TO,LDITRAINTROACAR___BEV640BELC____23,15.0,Long DistanceTransportationInternationalRoadCars640VElectricityBattery Electric Vehicle2023
TO,LDITRAINTROACAR___CONVGAS____23,15.0,Long DistanceTransportationInternationalRoadCarsConventionnalGasoline2023
