regions,periods,tech,maxcap,maxcap_units,maxcap_notes
TO,2016,LDITRADOMAIR______STDAGA____16,0.000666601,,
TO,2016,LDITRAINTAIR______STDAGA____16,0.000560924,,
TO,2016,LDITRADOMAIR______STDATF____16,0.009805356,,
TO,2016,LDITRAINTAIR______STDATF____16,0.005303366,,
TO,2016,LDITRADOMRAI_________DSL____16,0.015898873,,
TO,2016,LDITRADOMROABUSIUBCONVDSL____16,0,,
TO,2016,LDITRADOMROACAR___CONVDSL____16,0,,
TO,2016,LDITRADOMROATRULGTCONVDSL____16,0,,
TO,2016,LDITRAINTRAI_________DSL____16,0.015761394,,
TO,2016,LDITRAINTROABUSIUBCONVDSL____16,0,,
TO,2016,LDITRAINTROACAR___CONVDSL____16,0,,
TO,2016,LDITRAINTROATRULGTCONVDSL____16,0,,
TO,2016,LDITRADOMROACAR___CONVNGA____16,0,,
TO,2016,LDITRADOMROATRULGTCONVNGA____16,0,,
TO,2016,LDITRAINTROACAR___CONVNGA____16,0,,
TO,2016,LDITRAINTROATRULGTCONVNGA____16,0,,
TO,2016,LDITRADOMROABUSIUBCONVGAS____16,0,,
TO,2016,LDITRADOMROACAR___CONVGAS____16,0,,
TO,2016,LDITRADOMROATRULGTCONVGAS____16,0,,
TO,2016,LDITRAINTROABUSIUBCONVGAS____16,0,,
TO,2016,LDITRAINTROACAR___CONVGAS____16,0,,
TO,2016,LDITRAINTROATRULGTCONVGAS____16,0,,
TO,2016,LDITRADOMROACAR___CONVPRO____16,0,,
TO,2016,LDITRADOMROATRULGTCONVPRO____16,0,,
TO,2016,LDITRAINTROACAR___CONVPRO____16,0,,
TO,2016,LDITRAINTROATRULGTCONVPRO____16,0,,
TO,2017,LDITRADOMAIR______STDAGA____16,0.001320941,,
TO,2017,LDITRAINTAIR______STDAGA____16,0.00110877,,
TO,2017,LDITRADOMAIR______STDATF____16,0.024202199,,
TO,2017,LDITRAINTAIR______STDATF____16,0.013693728,,
TO,2017,LDITRADOMRAI_________DSL____16,0.031700513,,
TO,2017,LDITRADOMROABUSIUBCONVDSL____16,0,,
TO,2017,LDITRADOMROACAR___CONVDSL____16,0,,
TO,2017,LDITRADOMROATRULGTCONVDSL____16,0,,
TO,2017,LDITRAINTRAI_________DSL____16,0.031418238,,
TO,2017,LDITRAINTROABUSIUBCONVDSL____16,0,,
TO,2017,LDITRAINTROACAR___CONVDSL____16,0,,
TO,2017,LDITRAINTROATRULGTCONVDSL____16,0,,
TO,2017,LDITRADOMROACAR___CONVNGA____16,0,,
TO,2017,LDITRADOMROATRULGTCONVNGA____16,0,,
TO,2017,LDITRAINTROACAR___CONVNGA____16,0,,
TO,2017,LDITRAINTROATRULGTCONVNGA____16,0,,
TO,2017,LDITRADOMROABUSIUBCONVGAS____16,0,,
TO,2017,LDITRADOMROACAR___CONVGAS____16,0,,
TO,2017,LDITRADOMROATRULGTCONVGAS____16,0,,
TO,2017,LDITRAINTROABUSIUBCONVGAS____16,0,,
TO,2017,LDITRAINTROACAR___CONVGAS____16,0,,
TO,2017,LDITRAINTROATRULGTCONVGAS____16,0,,
TO,2017,LDITRADOMROACAR___CONVPRO____16,0,,
TO,2017,LDITRADOMROATRULGTCONVPRO____16,0,,
TO,2017,LDITRAINTROACAR___CONVPRO____16,0,,
TO,2017,LDITRAINTROATRULGTCONVPRO____16,0,,
TO,2018,LDITRADOMAIR______STDAGA____16,0.001954312,,
TO,2018,LDITRAINTAIR______STDAGA____16,0.001639461,,
TO,2018,LDITRADOMAIR______STDATF____16,0.038424445,,
TO,2018,LDITRAINTAIR______STDATF____16,0.020783089,,
TO,2018,LDITRADOMRAI_________DSL____16,0.047367675,,
TO,2018,LDITRADOMROABUSIUBCONVDSL____16,0,,
TO,2018,LDITRADOMROACAR___CONVDSL____16,0,,
TO,2018,LDITRADOMROATRULGTCONVDSL____16,0,,
TO,2018,LDITRAINTRAI_________DSL____16,0.046934721,,
TO,2018,LDITRAINTROABUSIUBCONVDSL____16,0,,
TO,2018,LDITRAINTROACAR___CONVDSL____16,0,,
TO,2018,LDITRAINTROATRULGTCONVDSL____16,0,,
TO,2018,LDITRADOMROACAR___CONVNGA____16,0,,
TO,2018,LDITRADOMROATRULGTCONVNGA____16,0,,
TO,2018,LDITRAINTROACAR___CONVNGA____16,0,,
TO,2018,LDITRAINTROATRULGTCONVNGA____16,0,,
TO,2018,LDITRADOMROABUSIUBCONVGAS____16,0,,
TO,2018,LDITRADOMROACAR___CONVGAS____16,0,,
TO,2018,LDITRADOMROATRULGTCONVGAS____16,0,,
TO,2018,LDITRAINTROABUSIUBCONVGAS____16,0,,
TO,2018,LDITRAINTROACAR___CONVGAS____16,0,,
