regions,periods,input_comm,tech,ti_split,ti_split_notes
TO,2016,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2017,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2018,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2019,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2020,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2021,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2022,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2023,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2024,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2025,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2026,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2027,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2028,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2029,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2030,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2031,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2032,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
TO,2033,LDITRAGAS,LDITRADOMROACAR___CONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023
