tech,flag,sector,tech_desc,tech_category
LDITRADOMROACAR___CONVDSL____23,p,LDITRA,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2023,
LDITRADOMROACAR___HYBDSL____23,p,LDITRA,Long DistanceTransportationDomesticRoadCarsHybridDiesel2023,
LDITRADOMROACAR___BEV320BELC____23,p,LDITRA,Long DistanceTransportationDomesticRoadCars320VElectricityBattery Electric Vehicle2023,
LDITRADOMROACAR___BEV480BELC____23,p,LDITRA,Long DistanceTransportationDomesticRoadCars480VElectricityBattery Electric Vehicle2023,
LDITRADOMROACAR___BEV640BELC____23,p,LDITRA,Long DistanceTransportationDomesticRoadCars640VElectricityBattery Electric Vehicle2023,
LDITRADOMROACAR___CONVGAS____23,p,LDITRA,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2023,
LDITRADOMROACAR___HYBGAS____23,p,LDITRA,Long DistanceTransportationDomesticRoadCarsHybridGasoline2023,
LDITRADOMROACAR___CELLHH2____23,p,LDITRA,Long DistanceTransportationDomesticRoadCarsFuel Cell VehicleHydrogen2023,
LDITRADOMROACAR___CONVPROBIF_23,p,LDITRA,Long DistanceTransportationDomesticRoadCarsConventionnalPropaneBi Fuel2023,
LDITRADOMROACAR___CONVPRO____23,p,LDITRA,Long DistanceTransportationDomesticRoadCarsConventionnalPropane2023,
LDITRADOMROACAR___CONVGAS____16,p,LDITRA,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016,
LDITRADOMROACAR___CONVDSL____16,p,LDITRA,Long DistanceTransportationDomesticRoadCarsConventionnalDiesel2016,
LDITRADOMROACAR___CONVPRO____16,p,LDITRA,Long DistanceTransportationDomesticRoadCarsConventionnalPropane2016,
LDITRADOMROATRULGTCONVDSL____23,p,LDITRA,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalDiesel2023,
LDITRADOMROATRULGTHYBDSL____23,p,LDITRA,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksHybridDiesel2023,
LDITRADOMROATRULGTBEV320BELC____23,p,LDITRA,Long DistanceTransportationDomesticRoadTruckPassenger Light Trucks320VElectricityBattery Electric Vehicle2023,
LDITRADOMROATRULGTBEV480BELC____23,p,LDITRA,Long DistanceTransportationDomesticRoadTruckPassenger Light Trucks480VElectricityBattery Electric Vehicle2023,
LDITRADOMROATRULGTBEV640BELC____23,p,LDITRA,Long DistanceTransportationDomesticRoadTruckPassenger Light Trucks640VElectricityBattery Electric Vehicle2023,
LDITRADOMROATRULGTCONVGAS____23,p,LDITRA,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023,
LDITRADOMROATRULGTHYBGAS____23,p,LDITRA,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksHybridGasoline2023,
LDITRADOMROATRULGTCELLHH2____23,p,LDITRA,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksFuel Cell VehicleHydrogen2023,
LDITRADOMROATRULGTCONVPROBIF_23,p,LDITRA,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalPropaneBi Fuel2023,
LDITRADOMROATRULGTCONVPRO____23,p,LDITRA,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalPropane2023,
LDITRADOMROATRULGTCONVGAS____16,p,LDITRA,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2016,
LDITRADOMROATRULGTCONVDSL____16,p,LDITRA,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalDiesel2016,
LDITRADOMROATRULGTCONVPRO____16,p,LDITRA,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalPropane2016,
LDITRADOMROABUSIUBCATEDSLELC_25,p,LDITRA,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusCatenaryDieselElectricity2025,
LDITRADOMROABUSIUBCONVDSL____23,p,LDITRA,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusConventionnalDiesel2023,
LDITRADOMROABUSIUBHYBDSL____23,p,LDITRA,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusHybridDiesel2023,
LDITRADOMROABUSIUBPHEVDSLELC_23,p,LDITRA,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusPlug Hybrid VehicleDieselElectricity2023,
LDITRADOMROABUSIUBBEVBELC____25,p,LDITRA,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusBattery Electric VehicleBattery Electric Vehicle2025,
LDITRADOMROABUSIUBCATEELC____25,p,LDITRA,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusCatenaryElectricity2025,
LDITRADOMROABUSIUBCONVGAS____23,p,LDITRA,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusConventionnalGasoline2023,
LDITRADOMROABUSIUBCELLHH2____23,p,LDITRA,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusFuel Cell VehicleHydrogen2023,
LDITRADOMROABUSIUBCONVGAS____16,p,LDITRA,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusConventionnalGasoline2016,
LDITRADOMROABUSIUBCONVDSL____16,p,LDITRA,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban BusConventionnalDiesel2016,
LDITRAINTROACAR___CONVDSL____23,p,LDITRA,Long DistanceTransportationInternationalRoadCarsConventionnalDiesel2023,
