regions,periods,demand_comm,demand,demand_units,demand_notes
TO,2016,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2016,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2016,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2016,ADEMLDITRADOMAIR______,616.0335816184825,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2016,ADEMLDITRADOMRAI______,472.91337688010424,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2016,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2016,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2016,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2016,ADEMLDITRAINTAIR______,389.9873037155273,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2016,ADEMLDITRAINTRAI______,299.3833749386358,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2017,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2017,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2017,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2017,ADEMLDITRADOMAIR______,625.0928989952248,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2017,ADEMLDITRADOMRAI______,479.86798536363517,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2017,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2017,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2017,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2017,ADEMLDITRAINTAIR______,395.72241112310854,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2017,ADEMLDITRAINTRAI______,303.7860716289099,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2018,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2018,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2018,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2018,ADEMLDITRADOMAIR______,634.1522163719673,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2018,ADEMLDITRADOMRAI______,486.8225938471661,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2018,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2018,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2018,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2018,ADEMLDITRAINTAIR______,401.45751853068987,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2018,ADEMLDITRAINTRAI______,308.18876831918396,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
