regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,VKTLDITRADOMROACAR___,LDITRADOMROACAR___,2015.0,ADEMLDITRADOMROACAR___,1.5,Long DistanceTransportationDomesticRoadCars
TO,VKTLDITRADOMROATRULGT,LDITRADOMROATRULGT,2015.0,ADEMLDITRADOMROATRULGT,1.5,Long DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,VKTLDITRADOMROABUSIUB,LDITRADOMROABUSIUB,2015.0,ADEMLDITRADOMROABUSIUB,1.7110998957021386,Long DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,VKTLDITRADOMAIR______,LDITRADOMAIR______,2015.0,ADEMLDITRADOMAIR______,34.0,Long DistanceTransportationDomesticAir
TO,VKTLDITRADOMRAI______,LDITRADOMRAI______,2015.0,ADEMLDITRADOMRAI______,130.15426913089965,Long DistanceTransportationDomesticRail
TO,VKTLDITRAINTROACAR___,LDITRAINTROACAR___,2015.0,ADEMLDITRAINTROACAR___,1.5,Long DistanceTransportationInternationalRoadCars
TO,VKTLDITRAINTROATRULGT,LDITRAINTROATRULGT,2015.0,ADEMLDITRAINTROATRULGT,1.5,Long DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,VKTLDITRAINTROABUSIUB,LDITRAINTROABUSIUB,2015.0,ADEMLDITRAINTROABUSIUB,1.7110998957021386,Long DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,VKTLDITRAINTAIR______,LDITRAINTAIR______,2015.0,ADEMLDITRAINTAIR______,34.0,Long DistanceTransportationInternationalAir
TO,VKTLDITRAINTRAI______,LDITRAINTRAI______,2015.0,ADEMLDITRAINTRAI______,130.15426913089965,Long DistanceTransportationInternationalRail
