comm_name,flag,comm_desc
ADEMLDITRADOMROACAR___,d,Aggregated DemandLong DistanceTransportationDomesticRoadCars
ADEMLDITRADOMROATRULGT,d,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
ADEMLDITRADOMROABUSIUB,d,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
ADEMLDITRADOMAIR______,d,Aggregated DemandLong DistanceTransportationDomesticAir
ADEMLDITRADOMRAI______,d,Aggregated DemandLong DistanceTransportationDomesticRail
ADEMLDITRAINTROACAR___,d,Aggregated DemandLong DistanceTransportationInternationalRoadCars
ADEMLDITRAINTROATRULGT,d,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
ADEMLDITRAINTROABUSIUB,d,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
ADEMLDITRAINTAIR______,d,Aggregated DemandLong DistanceTransportationInternationalAir
ADEMLDITRAINTRAI______,d,Aggregated DemandLong DistanceTransportationInternationalRail
VKTLDITRADOMROACAR___,p,Vehicule KilometersLong DistanceTransportationDomesticRoadCars
VKTLDITRADOMROATRULGT,p,Vehicule KilometersLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
VKTLDITRADOMROABUSIUB,p,Vehicule KilometersLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
VKTLDITRADOMAIR______,p,Vehicule KilometersLong DistanceTransportationDomesticAir
VKTLDITRADOMRAI______,p,Vehicule KilometersLong DistanceTransportationDomesticRail
VKTLDITRAINTROACAR___,p,Vehicule KilometersLong DistanceTransportationInternationalRoadCars
VKTLDITRAINTROATRULGT,p,Vehicule KilometersLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
VKTLDITRAINTROABUSIUB,p,Vehicule KilometersLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
VKTLDITRAINTAIR______,p,Vehicule KilometersLong DistanceTransportationInternationalAir
VKTLDITRAINTRAI______,p,Vehicule KilometersLong DistanceTransportationInternationalRail
LDITRANGA,p,Long DistanceNatural Gas
LDITRASGA,p,Long DistanceSynthetic Gas
LDITRABMTN,p,Long DistanceBio Methane
LDITRASMTN,p,Long DistanceSynthetic Methane
LDITRAGAS,p,Long DistanceGasoline
LDITRAETH,p,Long DistanceEthanol
LDITRACETH,p,Long DistanceCellulosic Ethanol
LDITRADSL,p,Long DistanceDiesel
LDITRABDSL,p,Long DistanceBiodiesel
LDITRARDSL,p,Long DistanceRenewable Diesel
LDITRAPRO,p,Long DistancePropane
LDITRAAGA,p,Long DistanceAviation Gasoline
LDITRAATF,p,Long DistanceAviation Turbo Fuel
LDITRABELC,p,Long DistanceBattery Electric Vehicle
LDITRAHH2,p,Long DistanceHydrogen
LDITRAELC,p,Long DistanceElectricity
LDITRABJE,p,Long DistanceBio Jet
LDITRASJE,p,Long DistanceSynthetic Jet
