regions,season_name,time_of_day_name,tech,cf_tech,cf_tech_notes
TO,W,D,PUBTRAFLEROATRUHETCONVDSL_EX,0.08565109600808475,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalDiesel
TO,W,D,PUBTRAPOLROATRULGTCONVDSL_EX,0.09499251668694171,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,W,D,PUBTRAFLEROATRULGTCONVDSL_EX,0.08264455853622821,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,W,D,PUBTRATHCROATRULGTCONVDSL_EX,0.15724083778728018,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalDiesel
TO,W,D,PUBTRAPOLROATRULGTCONVGAS_EX,0.09499251668694171,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,W,D,PUBTRAFLEROATRULGTCONVGAS_EX,0.08264455853622821,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,W,D,PUBTRATHCROATRULGTCONVGAS_EX,0.15724083778728018,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalGasoline
TO,W,D,PUBTRAPOLROATRUMETCONVDSL_EX,0.16296447756381544,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalDiesel
TO,W,D,PUBTRAFLEROATRUMETCONVDSL_EX,0.03601694502749215,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalDiesel
TO,W,D,PUBTRATHCROATRUMETCONVDSL_EX,0.16302823013183276,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalDiesel
TO,W,D,PUBTRAPOLROATRUMETCONVGAS_EX,0.16296447756381544,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalGasoline
TO,W,D,PUBTRAFLEROATRUMETCONVGAS_EX,0.03601694502749215,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalGasoline
TO,W,D,PUBTRATHCROATRUMETCONVGAS_EX,0.16302823013183276,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalGasoline
TO,W,D,PUBTRAPOLROACAR___CONVDSL_EX,0.13074604309138715,PublicTransportationPolice ServicesRoadCarsConventionnalDiesel
TO,W,D,PUBTRAPOLROACAR___CONVGAS_EX,0.13074604309138715,PublicTransportationPolice ServicesRoadCarsConventionnalGasoline
TO,W,D,PUBTRAFLEROACAR___CONVGAS_EX,0.0209695109055841,PublicTransportationFleet ServicesRoadCarsConventionnalGasoline
TO,W,D,PUBTRATHCROACAR___CONVGAS_EX,0.4556434095961235,PublicTransportationToronto Housing CompanyRoadCarsConventionnalGasoline
TO,W,D,PUBTRAPOLMAR_________ALL_EX,3.80517503805175e-06,PublicTransportationPolice ServicesMarineAll
TO,W,D,PUBTRAFLEMAR_________ALL_EX,3.80517503805175e-06,PublicTransportationFleet ServicesMarineAll
TO,W,D,PUBTRAPOLROAMOR___CONVGAS_EX,0.024145156857771015,PublicTransportationPolice ServicesRoadMotorcyclesConventionnalGasoline
TO,W,D,PUBTRAPOLROABUSURBCONVDSL_EX,0.07585648127485636,PublicTransportationPolice ServicesRoadInter-city BusesUrban Bus ConventionnalDiesel
TO,W,N,PUBTRAFLEROATRUHETCONVDSL_EX,0.08565109600808475,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalDiesel
TO,W,N,PUBTRAPOLROATRULGTCONVDSL_EX,0.09499251668694171,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,W,N,PUBTRAFLEROATRULGTCONVDSL_EX,0.08264455853622821,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,W,N,PUBTRATHCROATRULGTCONVDSL_EX,0.15724083778728018,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalDiesel
TO,W,N,PUBTRAPOLROATRULGTCONVGAS_EX,0.09499251668694171,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,W,N,PUBTRAFLEROATRULGTCONVGAS_EX,0.08264455853622821,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,W,N,PUBTRATHCROATRULGTCONVGAS_EX,0.15724083778728018,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalGasoline
TO,W,N,PUBTRAPOLROATRUMETCONVDSL_EX,0.16296447756381544,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalDiesel
TO,W,N,PUBTRAFLEROATRUMETCONVDSL_EX,0.03601694502749215,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalDiesel
TO,W,N,PUBTRATHCROATRUMETCONVDSL_EX,0.16302823013183276,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalDiesel
TO,W,N,PUBTRAPOLROATRUMETCONVGAS_EX,0.16296447756381544,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalGasoline
TO,W,N,PUBTRAFLEROATRUMETCONVGAS_EX,0.03601694502749215,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalGasoline
TO,W,N,PUBTRATHCROATRUMETCONVGAS_EX,0.16302823013183276,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalGasoline
TO,W,N,PUBTRAPOLROACAR___CONVDSL_EX,0.13074604309138715,PublicTransportationPolice ServicesRoadCarsConventionnalDiesel
TO,W,N,PUBTRAPOLROACAR___CONVGAS_EX,0.13074604309138715,PublicTransportationPolice ServicesRoadCarsConventionnalGasoline
TO,W,N,PUBTRAFLEROACAR___CONVGAS_EX,0.0209695109055841,PublicTransportationFleet ServicesRoadCarsConventionnalGasoline
TO,W,N,PUBTRATHCROACAR___CONVGAS_EX,0.4556434095961235,PublicTransportationToronto Housing CompanyRoadCarsConventionnalGasoline
TO,W,N,PUBTRAPOLMAR_________ALL_EX,3.80517503805175e-06,PublicTransportationPolice ServicesMarineAll
TO,W,N,PUBTRAFLEMAR_________ALL_EX,3.80517503805175e-06,PublicTransportationFleet ServicesMarineAll
