regions,tech,c2a,c2a_notes
TO,PUBTRAFLEROATRUHETCONVDSL_EX,262.8,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalDiesel
TO,PUBTRAPOLROATRULGTCONVDSL_EX,350.40000000000003,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRAFLEROATRULGTCONVDSL_EX,350.40000000000003,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRATHCROATRULGTCONVDSL_EX,350.40000000000003,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRAPOLROATRULGTCONVGAS_EX,350.40000000000003,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRAFLEROATRULGTCONVGAS_EX,350.40000000000003,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRATHCROATRULGTCONVGAS_EX,350.40000000000003,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRAPOLROATRUMETCONVDSL_EX,262.8,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalDiesel
TO,PUBTRAFLEROATRUMETCONVDSL_EX,262.8,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalDiesel
TO,PUBTRATHCROATRUMETCONVDSL_EX,262.8,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalDiesel
TO,PUBTRAPOLROATRUMETCONVGAS_EX,262.8,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalGasoline
TO,PUBTRAFLEROATRUMETCONVGAS_EX,262.8,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalGasoline
TO,PUBTRATHCROATRUMETCONVGAS_EX,262.8,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalGasoline
TO,PUBTRAPOLROACAR___CONVDSL_EX,350.40000000000003,PublicTransportationPolice ServicesRoadCarsConventionnalDiesel
TO,PUBTRAPOLROACAR___CONVGAS_EX,350.40000000000003,PublicTransportationPolice ServicesRoadCarsConventionnalGasoline
TO,PUBTRAFLEROACAR___CONVGAS_EX,350.40000000000003,PublicTransportationFleet ServicesRoadCarsConventionnalGasoline
TO,PUBTRATHCROACAR___CONVGAS_EX,350.40000000000003,PublicTransportationToronto Housing CompanyRoadCarsConventionnalGasoline
TO,PUBTRAPOLMAR_________ALL_EX,262.8,PublicTransportationPolice ServicesMarineAll
TO,PUBTRAFLEMAR_________ALL_EX,262.8,PublicTransportationFleet ServicesMarineAll
TO,PUBTRAPOLROAMOR___CONVGAS_EX,350.40000000000003,PublicTransportationPolice ServicesRoadMotorcyclesConventionnalGasoline
TO,PUBTRAPOLROABUSURBCONVDSL_EX,157.68,PublicTransportationPolice ServicesRoadInter-city BusesUrban Bus ConventionnalDiesel
