regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,PUBTRABDSL,PUBTRAFLEROATRUHETCONVDSL_EX,2015,ADEMPUBTRAFLEROATRUHET,0.0701011101366509,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalDiesel
TO,PUBTRADSL,PUBTRAFLEROATRUHETCONVDSL_EX,2015,ADEMPUBTRAFLEROATRUHET,0.0701011101366509,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalDiesel
TO,PUBTRAFTDSL,PUBTRAFLEROATRUHETCONVDSL_EX,2015,ADEMPUBTRAFLEROATRUHET,0.0701011101366509,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalDiesel
TO,PUBTRABDSL,PUBTRAPOLROATRULGTCONVDSL_EX,2015,ADEMPUBTRAPOLROATRULGT,0.14020300053868,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRABDSL,PUBTRAFLEROATRULGTCONVDSL_EX,2015,ADEMPUBTRAFLEROATRULGT,0.14020300053868,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRABDSL,PUBTRATHCROATRULGTCONVDSL_EX,2015,ADEMPUBTRATHCROATRULGT,0.14020300053868,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRADSL,PUBTRAPOLROATRULGTCONVDSL_EX,2015,ADEMPUBTRAPOLROATRULGT,0.14020300053868,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRADSL,PUBTRAFLEROATRULGTCONVDSL_EX,2015,ADEMPUBTRAFLEROATRULGT,0.14020300053868,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRADSL,PUBTRATHCROATRULGTCONVDSL_EX,2015,ADEMPUBTRATHCROATRULGT,0.14020300053868,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRAFTDSL,PUBTRAPOLROATRULGTCONVDSL_EX,2015,ADEMPUBTRAPOLROATRULGT,0.14020300053868,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRAFTDSL,PUBTRAFLEROATRULGTCONVDSL_EX,2015,ADEMPUBTRAFLEROATRULGT,0.14020300053868,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRAFTDSL,PUBTRATHCROATRULGTCONVDSL_EX,2015,ADEMPUBTRATHCROATRULGT,0.14020300053868,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRAETH,PUBTRAPOLROATRULGTCONVGAS_EX,2015,ADEMPUBTRAPOLROATRULGT,0.131790820506359,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRAETH,PUBTRAFLEROATRULGTCONVGAS_EX,2015,ADEMPUBTRAFLEROATRULGT,0.131790820506359,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRAETH,PUBTRATHCROATRULGTCONVGAS_EX,2015,ADEMPUBTRATHCROATRULGT,0.131790820506359,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRACETH,PUBTRAPOLROATRULGTCONVGAS_EX,2015,ADEMPUBTRAPOLROATRULGT,0.131790820506359,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRACETH,PUBTRAFLEROATRULGTCONVGAS_EX,2015,ADEMPUBTRAFLEROATRULGT,0.131790820506359,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
