regions,tech,vintage,exist_cap,exist_cap_units,exist_cap_notes
TO,PUBTRAFLEROATRUHETCONVDSL_EX,2015,0.24550000000000002,kunit,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalDiesel
TO,PUBTRAPOLROATRULGTCONVDSL_EX,2015,0.005697442199768435,kunit,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRAFLEROATRULGTCONVDSL_EX,2015,0.16645261028350256,kunit,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRATHCROATRULGTCONVDSL_EX,2015,0.0017538962288249044,kunit,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRAPOLROATRULGTCONVGAS_EX,2015,0.11255255780023157,kunit,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRAFLEROATRULGTCONVGAS_EX,2015,0.31654738971649743,kunit,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRATHCROATRULGTCONVGAS_EX,2015,0.0134961037711751,kunit,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRAPOLROATRUMETCONVDSL_EX,2015,0.0061826183651963644,kunit,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalDiesel
TO,PUBTRAFLEROATRUMETCONVDSL_EX,2015,0.19506614960443525,kunit,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalDiesel
TO,PUBTRATHCROATRUMETCONVDSL_EX,2015,0.002337945372499485,kunit,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalDiesel
TO,PUBTRAPOLROATRUMETCONVGAS_EX,2015,0.00031738163480363527,kunit,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalGasoline
TO,PUBTRAFLEROATRUMETCONVGAS_EX,2015,0.058683850395564785,kunit,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalGasoline
TO,PUBTRATHCROATRUMETCONVGAS_EX,2015,0.0061620546275005135,kunit,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalGasoline
TO,PUBTRAPOLROACAR___CONVDSL_EX,2015,0.00010846306951789984,kunit,PublicTransportationPolice ServicesRoadCarsConventionnalDiesel
TO,PUBTRAPOLROACAR___CONVGAS_EX,2015,0.3398915369304822,kunit,PublicTransportationPolice ServicesRoadCarsConventionnalGasoline
TO,PUBTRAFLEROACAR___CONVGAS_EX,2015,0.08250000000000002,kunit,PublicTransportationFleet ServicesRoadCarsConventionnalGasoline
TO,PUBTRATHCROACAR___CONVGAS_EX,2015,0.018999999999999996,kunit,PublicTransportationToronto Housing CompanyRoadCarsConventionnalGasoline
TO,PUBTRAPOLMAR_________ALL_EX,2015,1000000000.0,kunit,PublicTransportationPolice ServicesMarineAll
TO,PUBTRAFLEMAR_________ALL_EX,2015,1000000000.0,kunit,PublicTransportationFleet ServicesMarineAll
TO,PUBTRAPOLROAMOR___CONVGAS_EX,2015,0.010499999999999999,kunit,PublicTransportationPolice ServicesRoadMotorcyclesConventionnalGasoline
TO,PUBTRAPOLROABUSURBCONVDSL_EX,2015,0.0005000000000000002,kunit,PublicTransportationPolice ServicesRoadInter-city BusesUrban Bus ConventionnalDiesel
TO,PUBTRAFLEROATRUHETCONVDSL_EX,2010,0.24550000000000002,kunit,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalDiesel
TO,PUBTRAPOLROATRULGTCONVDSL_EX,2010,0.005697442199768435,kunit,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRAFLEROATRULGTCONVDSL_EX,2010,0.16645261028350256,kunit,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRATHCROATRULGTCONVDSL_EX,2010,0.0017538962288249044,kunit,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRAPOLROATRULGTCONVGAS_EX,2010,0.11255255780023157,kunit,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRAFLEROATRULGTCONVGAS_EX,2010,0.31654738971649743,kunit,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRATHCROATRULGTCONVGAS_EX,2010,0.0134961037711751,kunit,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRAPOLROATRUMETCONVDSL_EX,2010,0.0061826183651963644,kunit,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalDiesel
TO,PUBTRAFLEROATRUMETCONVDSL_EX,2010,0.19506614960443525,kunit,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalDiesel
TO,PUBTRATHCROATRUMETCONVDSL_EX,2010,0.002337945372499485,kunit,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalDiesel
TO,PUBTRAPOLROATRUMETCONVGAS_EX,2010,0.00031738163480363527,kunit,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalGasoline
TO,PUBTRAFLEROATRUMETCONVGAS_EX,2010,0.058683850395564785,kunit,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalGasoline
TO,PUBTRATHCROATRUMETCONVGAS_EX,2010,0.0061620546275005135,kunit,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalGasoline
TO,PUBTRAPOLROACAR___CONVDSL_EX,2010,0.00010846306951789984,kunit,PublicTransportationPolice ServicesRoadCarsConventionnalDiesel
TO,PUBTRAPOLROACAR___CONVGAS_EX,2010,0.3398915369304822,kunit,PublicTransportationPolice ServicesRoadCarsConventionnalGasoline
TO,PUBTRAFLEROACAR___CONVGAS_EX,2010,0.08250000000000002,kunit,PublicTransportationFleet ServicesRoadCarsConventionnalGasoline
TO,PUBTRATHCROACAR___CONVGAS_EX,2010,0.018999999999999996,kunit,PublicTransportationToronto Housing CompanyRoadCarsConventionnalGasoline
TO,PUBTRAPOLMAR_________ALL_EX,2010,1000000000.0,kunit,PublicTransportationPolice ServicesMarineAll
TO,PUBTRAFLEMAR_________ALL_EX,2010,1000000000.0,kunit,PublicTransportationFleet ServicesMarineAll
TO,PUBTRAPOLROAMOR___CONVGAS_EX,2010,0.010499999999999999,kunit,PublicTransportationPolice ServicesRoadMotorcyclesConventionnalGasoline
TO,PUBTRAPOLROABUSURBCONVDSL_EX,2010,0.0005000000000000002,kunit,PublicTransportationPolice ServicesRoadInter-city BusesUrban Bus ConventionnalDiesel
TO,PUBTRAFLEROATRUHETCONVDSL_EX,2005,0.24550000000000002,kunit,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalDiesel
TO,PUBTRAPOLROATRULGTCONVDSL_EX,2005,0.005697442199768435,kunit,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRAFLEROATRULGTCONVDSL_EX,2005,0.16645261028350256,kunit,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRATHCROATRULGTCONVDSL_EX,2005,0.0017538962288249044,kunit,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRAPOLROATRULGTCONVGAS_EX,2005,0.11255255780023157,kunit,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRAFLEROATRULGTCONVGAS_EX,2005,0.31654738971649743,kunit,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRATHCROATRULGTCONVGAS_EX,2005,0.0134961037711751,kunit,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRAPOLROATRUMETCONVDSL_EX,2005,0.0061826183651963644,kunit,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalDiesel
TO,PUBTRAFLEROATRUMETCONVDSL_EX,2005,0.19506614960443525,kunit,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalDiesel
TO,PUBTRATHCROATRUMETCONVDSL_EX,2005,0.002337945372499485,kunit,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalDiesel
TO,PUBTRAPOLROATRUMETCONVGAS_EX,2005,0.00031738163480363527,kunit,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalGasoline
TO,PUBTRAFLEROATRUMETCONVGAS_EX,2005,0.058683850395564785,kunit,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalGasoline
TO,PUBTRATHCROATRUMETCONVGAS_EX,2005,0.0061620546275005135,kunit,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalGasoline
TO,PUBTRAPOLROACAR___CONVDSL_EX,2005,0.00010846306951789984,kunit,PublicTransportationPolice ServicesRoadCarsConventionnalDiesel
TO,PUBTRAPOLROACAR___CONVGAS_EX,2005,0.3398915369304822,kunit,PublicTransportationPolice ServicesRoadCarsConventionnalGasoline
TO,PUBTRAFLEROACAR___CONVGAS_EX,2005,0.08250000000000002,kunit,PublicTransportationFleet ServicesRoadCarsConventionnalGasoline
TO,PUBTRATHCROACAR___CONVGAS_EX,2005,0.018999999999999996,kunit,PublicTransportationToronto Housing CompanyRoadCarsConventionnalGasoline
TO,PUBTRAPOLMAR_________ALL_EX,2005,1000000000.0,kunit,PublicTransportationPolice ServicesMarineAll
TO,PUBTRAFLEMAR_________ALL_EX,2005,1000000000.0,kunit,PublicTransportationFleet ServicesMarineAll
TO,PUBTRAPOLROAMOR___CONVGAS_EX,2005,0.010499999999999999,kunit,PublicTransportationPolice ServicesRoadMotorcyclesConventionnalGasoline
TO,PUBTRAPOLROABUSURBCONVDSL_EX,2005,0.0005000000000000002,kunit,PublicTransportationPolice ServicesRoadInter-city BusesUrban Bus ConventionnalDiesel
TO,PUBTRAFLEROATRUHETCONVDSL_EX,2000,0.24550000000000002,kunit,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalDiesel
TO,PUBTRAPOLROATRULGTCONVDSL_EX,2000,0.005697442199768435,kunit,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRAFLEROATRULGTCONVDSL_EX,2000,0.16645261028350256,kunit,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRATHCROATRULGTCONVDSL_EX,2000,0.0017538962288249044,kunit,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRAPOLROATRULGTCONVGAS_EX,2000,0.11255255780023157,kunit,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRAFLEROATRULGTCONVGAS_EX,2000,0.31654738971649743,kunit,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRATHCROATRULGTCONVGAS_EX,2000,0.0134961037711751,kunit,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRAPOLROATRUMETCONVDSL_EX,2000,0.0061826183651963644,kunit,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalDiesel
TO,PUBTRAFLEROATRUMETCONVDSL_EX,2000,0.19506614960443525,kunit,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalDiesel
