regions,tech,life,life_notes
TO,PUBTRAFLEROATRUHETCONVDSL_EX,20,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalDiesel
TO,PUBTRAPOLROATRULGTCONVDSL_EX,20,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRAFLEROATRULGTCONVDSL_EX,20,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRATHCROATRULGTCONVDSL_EX,20,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalDiesel
TO,PUBTRAPOLROATRULGTCONVGAS_EX,20,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRAFLEROATRULGTCONVGAS_EX,20,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRATHCROATRULGTCONVGAS_EX,20,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalGasoline
TO,PUBTRAPOLROATRUMETCONVDSL_EX,20,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalDiesel
TO,PUBTRAFLEROATRUMETCONVDSL_EX,20,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalDiesel
TO,PUBTRATHCROATRUMETCONVDSL_EX,20,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalDiesel
TO,PUBTRAPOLROATRUMETCONVGAS_EX,20,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalGasoline
TO,PUBTRAFLEROATRUMETCONVGAS_EX,20,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalGasoline
TO,PUBTRATHCROATRUMETCONVGAS_EX,20,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalGasoline
TO,PUBTRAPOLROACAR___CONVDSL_EX,20,PublicTransportationPolice ServicesRoadCarsConventionnalDiesel
TO,PUBTRAPOLROACAR___CONVGAS_EX,20,PublicTransportationPolice ServicesRoadCarsConventionnalGasoline
TO,PUBTRAFLEROACAR___CONVGAS_EX,20,PublicTransportationFleet ServicesRoadCarsConventionnalGasoline
TO,PUBTRATHCROACAR___CONVGAS_EX,20,PublicTransportationToronto Housing CompanyRoadCarsConventionnalGasoline
TO,PUBTRAPOLMAR_________ALL_EX,50,PublicTransportationPolice ServicesMarineAll
TO,PUBTRAFLEMAR_________ALL_EX,50,PublicTransportationFleet ServicesMarineAll
TO,PUBTRAPOLROAMOR___CONVGAS_EX,20,PublicTransportationPolice ServicesRoadMotorcyclesConventionnalGasoline
TO,PUBTRAPOLROABUSURBCONVDSL_EX,20,PublicTransportationPolice ServicesRoadInter-city BusesUrban Bus ConventionnalDiesel
