regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,PUBTRADSL,PUBTRAPOLROATRUHETCONVDSL____23,2023,ADEMPUBTRAPOLROATRUHET,0.078974737,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRADSL,PUBTRAPOLROATRUHETCONVDSL____23,2024,ADEMPUBTRAPOLROATRUHET,0.079097921,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRADSL,PUBTRAPOLROATRUHETCONVDSL____23,2025,ADEMPUBTRAPOLROATRUHET,0.079221105,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRADSL,PUBTRAPOLROATRUHETCONVDSL____23,2026,ADEMPUBTRAPOLROATRUHET,0.078567035,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRADSL,PUBTRAPOLROATRUHETCONVDSL____23,2027,ADEMPUBTRAPOLROATRUHET,0.077912965,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRADSL,PUBTRAPOLROATRUHETCONVDSL____23,2028,ADEMPUBTRAPOLROATRUHET,0.077258895,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRADSL,PUBTRAPOLROATRUHETCONVDSL____23,2029,ADEMPUBTRAPOLROATRUHET,0.076604825,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRADSL,PUBTRAPOLROATRUHETCONVDSL____23,2030,ADEMPUBTRAPOLROATRUHET,0.075950755,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRADSL,PUBTRAPOLROATRUHETCONVDSL____23,2031,ADEMPUBTRAPOLROATRUHET,0.077060134,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRADSL,PUBTRAPOLROATRUHETCONVDSL____23,2032,ADEMPUBTRAPOLROATRUHET,0.078169513,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRADSL,PUBTRAPOLROATRUHETCONVDSL____23,2033,ADEMPUBTRAPOLROATRUHET,0.079278891,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRADSL,PUBTRAPOLROATRUHETCONVDSL____23,2034,ADEMPUBTRAPOLROATRUHET,0.08038827,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRADSL,PUBTRAPOLROATRUHETCONVDSL____23,2035,ADEMPUBTRAPOLROATRUHET,0.081497649,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRADSL,PUBTRAPOLROATRUHETCONVDSL____23,2036,ADEMPUBTRAPOLROATRUHET,0.08174166620000001,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRADSL,PUBTRAPOLROATRUHETCONVDSL____23,2037,ADEMPUBTRAPOLROATRUHET,0.08198568340000001,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRADSL,PUBTRAPOLROATRUHETCONVDSL____23,2038,ADEMPUBTRAPOLROATRUHET,0.0822297006,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
