regions,tech,life,life_notes
TO,PUBTRAPOLROATRUHETCATEDSLELC_25,10.0,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryDieselElectricity2025
TO,PUBTRAPOLROATRUHETCONVDSL____23,10.0,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRAPOLROATRUHETHYBDSL____23,10.0,PublicTransportationPolice ServicesRoadTruckHeavy TrucksHybridDiesel2023
TO,PUBTRAPOLROATRUHETPHEVDSLBELCF_23,10.0,PublicTransportationPolice ServicesRoadTruckHeavy TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023
TO,PUBTRAPOLROATRUHETBEVBELCF____25,10.0,PublicTransportationPolice ServicesRoadTruckHeavy TrucksBattery Electric VehicleBattery Electricity Freight2025
TO,PUBTRAPOLROATRUHETCATEELC____25,10.0,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryElectricity2025
TO,PUBTRAPOLROATRUHETCELLHH2____25,10.0,PublicTransportationPolice ServicesRoadTruckHeavy TrucksFuel Cell VehicleHydrogen2025
TO,PUBTRAPOLROATRUHETCATENGAELC_25,10.0,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryNatural GasElectricity2025
TO,PUBTRAPOLROATRUHETCONVNGA____23,15.0,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalNatural Gas2023
TO,PUBTRAPOLROATRUHETPHEVNGABELCF_23,10.0,PublicTransportationPolice ServicesRoadTruckHeavy TrucksPlug Hybrid VehicleNatural GasBattery Electricity Freight2023
TO,PUBTRAPOLROATRUHETCATERDSLELC_25,10.0,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryRenewable DieselElectricity2025
TO,PUBTRAPOLROATRUHETCONVRDSL____23,10.0,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalRenewable Diesel2023
TO,PUBTRAPOLROATRUHETHYBRDSL____23,10.0,PublicTransportationPolice ServicesRoadTruckHeavy TrucksHybridRenewable Diesel2023
TO,PUBTRAPOLROATRUHETPHEVRDSLBELCF_23,10.0,PublicTransportationPolice ServicesRoadTruckHeavy TrucksPlug Hybrid VehicleRenewable DieselBattery Electricity Freight2023
TO,PUBTRAPOLROATRUHETCONVDSL____16,10.0,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2016
TO,PUBTRAFLEROATRUHETCATEDSLELC_25,10.0,PublicTransportationFleet ServicesRoadTruckHeavy TrucksCatenaryDieselElectricity2025
TO,PUBTRAFLEROATRUHETCONVDSL____23,10.0,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRAFLEROATRUHETHYBDSL____23,10.0,PublicTransportationFleet ServicesRoadTruckHeavy TrucksHybridDiesel2023
TO,PUBTRAFLEROATRUHETPHEVDSLBELCF_23,10.0,PublicTransportationFleet ServicesRoadTruckHeavy TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023
TO,PUBTRAFLEROATRUHETBEVBELCF____25,10.0,PublicTransportationFleet ServicesRoadTruckHeavy TrucksBattery Electric VehicleBattery Electricity Freight2025
TO,PUBTRAFLEROATRUHETCATEELC____25,10.0,PublicTransportationFleet ServicesRoadTruckHeavy TrucksCatenaryElectricity2025
TO,PUBTRAFLEROATRUHETCELLHH2____25,10.0,PublicTransportationFleet ServicesRoadTruckHeavy TrucksFuel Cell VehicleHydrogen2025
TO,PUBTRAFLEROATRUHETCATENGAELC_25,10.0,PublicTransportationFleet ServicesRoadTruckHeavy TrucksCatenaryNatural GasElectricity2025
TO,PUBTRAFLEROATRUHETCONVNGA____23,15.0,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalNatural Gas2023
TO,PUBTRAFLEROATRUHETPHEVNGABELCF_23,10.0,PublicTransportationFleet ServicesRoadTruckHeavy TrucksPlug Hybrid VehicleNatural GasBattery Electricity Freight2023
TO,PUBTRAFLEROATRUHETCATERDSLELC_25,10.0,PublicTransportationFleet ServicesRoadTruckHeavy TrucksCatenaryRenewable DieselElectricity2025
TO,PUBTRAFLEROATRUHETCONVRDSL____23,10.0,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalRenewable Diesel2023
TO,PUBTRAFLEROATRUHETHYBRDSL____23,10.0,PublicTransportationFleet ServicesRoadTruckHeavy TrucksHybridRenewable Diesel2023
TO,PUBTRAFLEROATRUHETPHEVRDSLBELCF_23,10.0,PublicTransportationFleet ServicesRoadTruckHeavy TrucksPlug Hybrid VehicleRenewable DieselBattery Electricity Freight2023
TO,PUBTRAFLEROATRUHETCONVDSL____16,10.0,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalDiesel2016
TO,PUBTRATHCROATRUHETCATEDSLELC_25,10.0,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksCatenaryDieselElectricity2025
TO,PUBTRATHCROATRUHETCONVDSL____23,10.0,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksConventionnalDiesel2023
TO,PUBTRATHCROATRUHETHYBDSL____23,10.0,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksHybridDiesel2023
TO,PUBTRATHCROATRUHETPHEVDSLBELCF_23,10.0,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023
TO,PUBTRATHCROATRUHETBEVBELCF____25,10.0,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksBattery Electric VehicleBattery Electricity Freight2025
TO,PUBTRATHCROATRUHETCATEELC____25,10.0,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksCatenaryElectricity2025
TO,PUBTRATHCROATRUHETCELLHH2____25,10.0,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksFuel Cell VehicleHydrogen2025
TO,PUBTRATHCROATRUHETCATENGAELC_25,10.0,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksCatenaryNatural GasElectricity2025
TO,PUBTRATHCROATRUHETCONVNGA____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksConventionnalNatural Gas2023
TO,PUBTRATHCROATRUHETPHEVNGABELCF_23,10.0,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksPlug Hybrid VehicleNatural GasBattery Electricity Freight2023
TO,PUBTRATHCROATRUHETCATERDSLELC_25,10.0,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksCatenaryRenewable DieselElectricity2025
