regions,periods,tech,maxcap,maxcap_units,maxcap_notes
TO,2016,PUBTRAFLEROABUSURBCONVDSL____16,0,,
TO,2016,PUBTRAFLEROACAR___CONVDSL____16,5.38E-05,,
TO,2016,PUBTRAFLEROATRUHETCONVDSL____16,0.000149297,,
TO,2016,PUBTRAFLEROATRULGTCONVDSL____16,0.000175268,,
TO,2016,PUBTRAFLEROATRUMETCONVDSL____16,0.000174834,,
TO,2016,PUBTRAPOLROABUSURBCONVDSL____16,3.84E-05,,
TO,2016,PUBTRAPOLROACAR___CONVDSL____16,0.000105017,,
TO,2016,PUBTRAPOLROATRUHETCONVDSL____16,0,,
TO,2016,PUBTRAPOLROATRULGTCONVDSL____16,0.000121439,,
TO,2016,PUBTRAPOLROATRUMETCONVDSL____16,0.000113669,,
TO,2016,PUBTRATHCROABUSURBCONVDSL____16,0,,
TO,2016,PUBTRATHCROACAR___CONVDSL____16,2.64E-05,,
TO,2016,PUBTRATHCROATRUHETCONVDSL____16,0,,
TO,2016,PUBTRATHCROATRULGTCONVDSL____16,5.57E-05,,
TO,2016,PUBTRATHCROATRUMETCONVDSL____16,6.52E-05,,
TO,2016,PUBTRAFLEROACAR___CONVGAS____16,0.000214183,,
TO,2016,PUBTRAFLEROAMOR___CONVGAS____16,0,,
TO,2016,PUBTRAFLEROATRULGTCONVGAS____16,0.000228346,,
TO,2016,PUBTRAFLEROATRUMETCONVGAS____16,0.00021342,,
TO,2016,PUBTRAPOLROACAR___CONVGAS____16,0.000227328,,
TO,2016,PUBTRAPOLROAMOR___CONVGAS____16,4.49E-05,,
TO,2016,PUBTRAPOLROATRULGTCONVGAS____16,0.000216256,,
TO,2016,PUBTRAPOLROATRUMETCONVGAS____16,3.32E-05,,
TO,2016,PUBTRATHCROACAR___CONVGAS____16,0.000167451,,
TO,2016,PUBTRATHCROAMOR___CONVGAS____16,0,,
TO,2016,PUBTRATHCROATRULGTCONVGAS____16,0.000157016,,
TO,2016,PUBTRATHCROATRUMETCONVGAS____16,0.000136964,,
TO,2017,PUBTRAFLEROABUSURBCONVDSL____16,0,,
TO,2017,PUBTRAFLEROACAR___CONVDSL____16,0.000134635,,
TO,2017,PUBTRAFLEROATRUHETCONVDSL____16,0.031419957,,
TO,2017,PUBTRAFLEROATRULGTCONVDSL____16,0.020936955,,
TO,2017,PUBTRAFLEROATRUMETCONVDSL____16,0.021351935,,
TO,2017,PUBTRAPOLROABUSURBCONVDSL____16,8.45E-05,,
TO,2017,PUBTRAPOLROACAR___CONVDSL____16,0.000470387,,
TO,2017,PUBTRAPOLROATRUHETCONVDSL____16,0,,
TO,2017,PUBTRAPOLROATRULGTCONVDSL____16,0.001194611,,
TO,2017,PUBTRAPOLROATRUMETCONVDSL____16,0.000779471,,
TO,2017,PUBTRATHCROABUSURBCONVDSL____16,0,,
TO,2017,PUBTRATHCROACAR___CONVDSL____16,5.61E-05,,
TO,2017,PUBTRATHCROATRUHETCONVDSL____16,0,,
TO,2017,PUBTRATHCROATRULGTCONVDSL____16,0.000126959,,
TO,2017,PUBTRATHCROATRUMETCONVDSL____16,0.00016089,,
TO,2017,PUBTRAFLEROACAR___CONVGAS____16,0.01375568,,
TO,2017,PUBTRAFLEROAMOR___CONVGAS____16,0,,
TO,2017,PUBTRAFLEROATRULGTCONVGAS____16,0.038375604,,
TO,2017,PUBTRAFLEROATRUMETCONVGAS____16,0.010676554,,
TO,2017,PUBTRAPOLROACAR___CONVGAS____16,0.040621266,,
TO,2017,PUBTRAPOLROAMOR___CONVGAS____16,9.95E-05,,
TO,2017,PUBTRAPOLROATRULGTCONVGAS____16,0.013118073,,
TO,2017,PUBTRAPOLROATRUMETCONVGAS____16,6.98E-05,,
TO,2017,PUBTRATHCROACAR___CONVGAS____16,0.002545353,,
TO,2017,PUBTRATHCROAMOR___CONVGAS____16,0,,
TO,2017,PUBTRATHCROATRULGTCONVGAS____16,0.001850816,,
TO,2017,PUBTRATHCROATRUMETCONVGAS____16,0.000968608,,
TO,2018,PUBTRAFLEROABUSURBCONVDSL____16,0,,
TO,2018,PUBTRAFLEROACAR___CONVDSL____16,0.000435039,,
TO,2018,PUBTRAFLEROATRUHETCONVDSL____16,0.062835464,,
TO,2018,PUBTRAFLEROATRULGTCONVDSL____16,0.04186938,,
TO,2018,PUBTRAFLEROATRUMETCONVDSL____16,0.053369293,,
TO,2018,PUBTRAPOLROABUSURBCONVDSL____16,0.000143385,,
TO,2018,PUBTRAPOLROACAR___CONVDSL____16,0.000803593,,
TO,2018,PUBTRAPOLROATRUHETCONVDSL____16,0,,
TO,2018,PUBTRAPOLROATRULGTCONVDSL____16,0.00218952,,
TO,2018,PUBTRAPOLROATRUMETCONVDSL____16,0.002375552,,
TO,2018,PUBTRATHCROABUSURBCONVDSL____16,0,,
TO,2018,PUBTRATHCROACAR___CONVDSL____16,9.15E-05,,
TO,2018,PUBTRATHCROATRUHETCONVDSL____16,0,,
TO,2018,PUBTRATHCROATRULGTCONVDSL____16,0.000238492,,
TO,2018,PUBTRATHCROATRUMETCONVDSL____16,0.000261259,,
TO,2018,PUBTRAFLEROACAR___CONVGAS____16,0.020273543,,
TO,2018,PUBTRAFLEROAMOR___CONVGAS____16,0,,
TO,2018,PUBTRAFLEROATRULGTCONVGAS____16,0.080234296,,
TO,2018,PUBTRAFLEROATRUMETCONVGAS____16,0.010881323,,
TO,2018,PUBTRAPOLROACAR___CONVGAS____16,0.084432593,,
TO,2018,PUBTRAPOLROAMOR___CONVGAS____16,0.00017512,,
TO,2018,PUBTRAPOLROATRULGTCONVGAS____16,0.027490213,,
TO,2018,PUBTRAPOLROATRUMETCONVGAS____16,0.000103565,,
TO,2018,PUBTRATHCROACAR___CONVGAS____16,0.005079179,,
TO,2018,PUBTRATHCROAMOR___CONVGAS____16,0,,
TO,2018,PUBTRATHCROATRULGTCONVGAS____16,0.003685914,,
TO,2018,PUBTRATHCROATRUMETCONVGAS____16,0.002376863,,
TO,2019,PUBTRAFLEROABUSURBCONVDSL____16,1.06E-05,,
TO,2019,PUBTRAFLEROACAR___CONVDSL____16,0.000711773,,
TO,2019,PUBTRAFLEROATRUHETCONVDSL____16,0.099399758,,
TO,2019,PUBTRAFLEROATRULGTCONVDSL____16,0.069473872,,
TO,2019,PUBTRAFLEROATRUMETCONVDSL____16,0.074982989,,
TO,2019,PUBTRAPOLROABUSURBCONVDSL____16,0.000228792,,
TO,2019,PUBTRAPOLROACAR___CONVDSL____16,0.001091268,,
TO,2019,PUBTRAPOLROATRUHETCONVDSL____16,0,,
TO,2019,PUBTRAPOLROATRULGTCONVDSL____16,0.003093772,,
TO,2019,PUBTRAPOLROATRUMETCONVDSL____16,0.002600564,,
TO,2019,PUBTRATHCROABUSURBCONVDSL____16,1.06E-05,,
TO,2019,PUBTRATHCROACAR___CONVDSL____16,0.000138431,,
TO,2019,PUBTRATHCROATRUHETCONVDSL____16,0,,
TO,2019,PUBTRATHCROATRULGTCONVDSL____16,0.000769042,,
TO,2019,PUBTRATHCROATRUMETCONVDSL____16,0.000688479,,
TO,2019,PUBTRAFLEROACAR___CONVGAS____16,0.032729798,,
