regions,periods,tech,minact,minact_units,minact_notes
TO,2016,PUBTRAFLEROABUSURBCONVDSL____16,0,,
TO,2016,PUBTRAFLEROACAR___CONVDSL____16,0,,
TO,2016,PUBTRAFLEROATRUHETCONVDSL____16,0,,
TO,2016,PUBTRAFLEROATRULGTCONVDSL____16,0,,
TO,2016,PUBTRAFLEROATRUMETCONVDSL____16,0,,
TO,2016,PUBTRAPOLROABUSURBCONVDSL____16,0,,
TO,2016,PUBTRAPOLROACAR___CONVDSL____16,0,,
TO,2016,PUBTRAPOLROATRUHETCONVDSL____16,0,,
TO,2016,PUBTRAPOLROATRULGTCONVDSL____16,0,,
TO,2016,PUBTRAPOLROATRUMETCONVDSL____16,0,,
TO,2016,PUBTRATHCROABUSURBCONVDSL____16,0,,
TO,2016,PUBTRATHCROACAR___CONVDSL____16,0,,
TO,2016,PUBTRATHCROATRUHETCONVDSL____16,0,,
TO,2016,PUBTRATHCROATRULGTCONVDSL____16,0,,
TO,2016,PUBTRATHCROATRUMETCONVDSL____16,0,,
TO,2016,PUBTRAFLEROACAR___CONVGAS____16,0,,
TO,2016,PUBTRAFLEROAMOR___CONVGAS____16,0,,
TO,2016,PUBTRAFLEROATRULGTCONVGAS____16,0,,
TO,2016,PUBTRAFLEROATRUMETCONVGAS____16,0,,
TO,2016,PUBTRAPOLROACAR___CONVGAS____16,0,,
TO,2016,PUBTRAPOLROAMOR___CONVGAS____16,0,,
TO,2016,PUBTRAPOLROATRULGTCONVGAS____16,0,,
TO,2016,PUBTRAPOLROATRUMETCONVGAS____16,0,,
TO,2016,PUBTRATHCROACAR___CONVGAS____16,0,,
TO,2016,PUBTRATHCROAMOR___CONVGAS____16,0,,
TO,2016,PUBTRATHCROATRULGTCONVGAS____16,0,,
TO,2016,PUBTRATHCROATRUMETCONVGAS____16,0,,
TO,2017,PUBTRAFLEROABUSURBCONVDSL____16,0,,
TO,2017,PUBTRAFLEROACAR___CONVDSL____16,0,,
TO,2017,PUBTRAFLEROATRUHETCONVDSL____16,0.7,,
TO,2017,PUBTRAFLEROATRULGTCONVDSL____16,0.6,,
TO,2017,PUBTRAFLEROATRUMETCONVDSL____16,0.2,,
TO,2017,PUBTRAPOLROABUSURBCONVDSL____16,0,,
TO,2017,PUBTRAPOLROACAR___CONVDSL____16,0,,
TO,2017,PUBTRAPOLROATRUHETCONVDSL____16,0,,
TO,2017,PUBTRAPOLROATRULGTCONVDSL____16,0,,
TO,2017,PUBTRAPOLROATRUMETCONVDSL____16,0,,
TO,2017,PUBTRATHCROABUSURBCONVDSL____16,0,,
TO,2017,PUBTRATHCROACAR___CONVDSL____16,0,,
TO,2017,PUBTRATHCROATRUHETCONVDSL____16,0,,
TO,2017,PUBTRATHCROATRULGTCONVDSL____16,0,,
TO,2017,PUBTRATHCROATRUMETCONVDSL____16,0,,
TO,2017,PUBTRAFLEROACAR___CONVGAS____16,0.1,,
TO,2017,PUBTRAFLEROAMOR___CONVGAS____16,0,,
TO,2017,PUBTRAFLEROATRULGTCONVGAS____16,1.1,,
TO,2017,PUBTRAFLEROATRUMETCONVGAS____16,0.1,,
TO,2017,PUBTRAPOLROACAR___CONVGAS____16,1.8,,
TO,2017,PUBTRAPOLROAMOR___CONVGAS____16,0,,
TO,2017,PUBTRAPOLROATRULGTCONVGAS____16,0.4,,
TO,2017,PUBTRAPOLROATRUMETCONVGAS____16,0,,
TO,2017,PUBTRATHCROACAR___CONVGAS____16,0.4,,
TO,2017,PUBTRATHCROAMOR___CONVGAS____16,0,,
TO,2017,PUBTRATHCROATRULGTCONVGAS____16,0.1,,
TO,2017,PUBTRATHCROATRUMETCONVGAS____16,0,,
TO,2018,PUBTRAFLEROABUSURBCONVDSL____16,0,,
TO,2018,PUBTRAFLEROACAR___CONVDSL____16,0,,
TO,2018,PUBTRAFLEROATRUHETCONVDSL____16,1.4,,
TO,2018,PUBTRAFLEROATRULGTCONVDSL____16,1.2,,
TO,2018,PUBTRAFLEROATRUMETCONVDSL____16,0.5,,
TO,2018,PUBTRAPOLROABUSURBCONVDSL____16,0,,
TO,2018,PUBTRAPOLROACAR___CONVDSL____16,0,,
TO,2018,PUBTRAPOLROATRUHETCONVDSL____16,0,,
TO,2018,PUBTRAPOLROATRULGTCONVDSL____16,0,,
TO,2018,PUBTRAPOLROATRUMETCONVDSL____16,0.1,,
TO,2018,PUBTRATHCROABUSURBCONVDSL____16,0,,
TO,2018,PUBTRATHCROACAR___CONVDSL____16,0,,
TO,2018,PUBTRATHCROATRUHETCONVDSL____16,0,,
TO,2018,PUBTRATHCROATRULGTCONVDSL____16,0,,
TO,2018,PUBTRATHCROATRUMETCONVDSL____16,0,,
TO,2018,PUBTRAFLEROACAR___CONVGAS____16,0.1,,
TO,2018,PUBTRAFLEROAMOR___CONVGAS____16,0,,
TO,2018,PUBTRAFLEROATRULGTCONVGAS____16,2.3,,
TO,2018,PUBTRAFLEROATRUMETCONVGAS____16,0.1,,
TO,2018,PUBTRAPOLROACAR___CONVGAS____16,3.8,,
TO,2018,PUBTRAPOLROAMOR___CONVGAS____16,0,,
TO,2018,PUBTRAPOLROATRULGTCONVGAS____16,0.9,,
TO,2018,PUBTRAPOLROATRUMETCONVGAS____16,0,,
TO,2018,PUBTRATHCROACAR___CONVGAS____16,0.8,,
TO,2018,PUBTRATHCROAMOR___CONVGAS____16,0,,
TO,2018,PUBTRATHCROATRULGTCONVGAS____16,0.2,,
TO,2018,PUBTRATHCROATRUMETCONVGAS____16,0.1,,
TO,2019,PUBTRAFLEROABUSURBCONVDSL____16,0,,
TO,2019,PUBTRAFLEROACAR___CONVDSL____16,0,,
TO,2019,PUBTRAFLEROATRUHETCONVDSL____16,2.2,,
TO,2019,PUBTRAFLEROATRULGTCONVDSL____16,1.9,,
TO,2019,PUBTRAFLEROATRUMETCONVDSL____16,0.7,,
TO,2019,PUBTRAPOLROABUSURBCONVDSL____16,0,,
TO,2019,PUBTRAPOLROACAR___CONVDSL____16,0,,
TO,2019,PUBTRAPOLROATRUHETCONVDSL____16,0,,
TO,2019,PUBTRAPOLROATRULGTCONVDSL____16,0.1,,
TO,2019,PUBTRAPOLROATRUMETCONVDSL____16,0.1,,
TO,2019,PUBTRATHCROABUSURBCONVDSL____16,0,,
TO,2019,PUBTRATHCROACAR___CONVDSL____16,0,,
TO,2019,PUBTRATHCROATRUHETCONVDSL____16,0,,
TO,2019,PUBTRATHCROATRULGTCONVDSL____16,0,,
TO,2019,PUBTRATHCROATRUMETCONVDSL____16,0,,
TO,2019,PUBTRAFLEROACAR___CONVGAS____16,0.2,,
TO,2019,PUBTRAFLEROAMOR___CONVGAS____16,0,,
TO,2019,PUBTRAFLEROATRULGTCONVGAS____16,3.6,,
TO,2019,PUBTRAFLEROATRUMETCONVGAS____16,0.2,,
TO,2019,PUBTRAPOLROACAR___CONVGAS____16,6.2,,
TO,2019,PUBTRAPOLROAMOR___CONVGAS____16,0.1,,
TO,2019,PUBTRAPOLROATRULGTCONVGAS____16,1.5,,
TO,2019,PUBTRAPOLROATRUMETCONVGAS____16,0,,
TO,2019,PUBTRATHCROACAR___CONVGAS____16,1.2,,
TO,2019,PUBTRATHCROAMOR___CONVGAS____16,0,,
TO,2019,PUBTRATHCROATRULGTCONVGAS____16,0.3,,
TO,2019,PUBTRATHCROATRUMETCONVGAS____16,0.1,,
TO,2020,PUBTRAFLEROABUSURBCONVDSL____16,0,,
TO,2020,PUBTRAFLEROACAR___CONVDSL____16,0,,
TO,2020,PUBTRAFLEROATRUHETCONVDSL____16,8.4,,
TO,2020,PUBTRAFLEROATRULGTCONVDSL____16,7.3,,
TO,2020,PUBTRAFLEROATRUMETCONVDSL____16,2.8,,
TO,2020,PUBTRAPOLROABUSURBCONVDSL____16,0,,
TO,2020,PUBTRAPOLROACAR___CONVDSL____16,0,,
TO,2020,PUBTRAPOLROATRUHETCONVDSL____16,0,,
TO,2020,PUBTRAPOLROATRULGTCONVDSL____16,0.3,,
TO,2020,PUBTRAPOLROATRUMETCONVDSL____16,0.4,,
TO,2020,PUBTRATHCROABUSURBCONVDSL____16,0,,
TO,2020,PUBTRATHCROACAR___CONVDSL____16,0,,
TO,2020,PUBTRATHCROATRUHETCONVDSL____16,0,,
TO,2020,PUBTRATHCROATRULGTCONVDSL____16,0.1,,
TO,2020,PUBTRATHCROATRUMETCONVDSL____16,0.2,,
TO,2020,PUBTRAFLEROACAR___CONVGAS____16,0.9,,
TO,2020,PUBTRAFLEROAMOR___CONVGAS____16,0,,
TO,2020,PUBTRAFLEROATRULGTCONVGAS____16,13.9,,
TO,2020,PUBTRAFLEROATRUMETCONVGAS____16,0.8,,
TO,2020,PUBTRAPOLROACAR___CONVGAS____16,23.7,,
TO,2020,PUBTRAPOLROAMOR___CONVGAS____16,0.1,,
TO,2020,PUBTRAPOLROATRULGTCONVGAS____16,5.7,,
TO,2020,PUBTRAPOLROATRUMETCONVGAS____16,0,,
TO,2020,PUBTRATHCROACAR___CONVGAS____16,4.6,,
TO,2020,PUBTRATHCROAMOR___CONVGAS____16,0,,
