regions,periods,input_comm,tech,ti_split,ti_split_notes
TO,2016,PUBTRAELC,PUBTRAPOLROATRUHETCATEDSLELC_25,0.6,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryDieselElectricity2025
TO,2017,PUBTRAELC,PUBTRAPOLROATRUHETCATEDSLELC_25,0.6,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryDieselElectricity2025
TO,2018,PUBTRAELC,PUBTRAPOLROATRUHETCATEDSLELC_25,0.6,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryDieselElectricity2025
TO,2019,PUBTRAELC,PUBTRAPOLROATRUHETCATEDSLELC_25,0.6,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryDieselElectricity2025
TO,2020,PUBTRAELC,PUBTRAPOLROATRUHETCATEDSLELC_25,0.6,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryDieselElectricity2025
TO,2021,PUBTRAELC,PUBTRAPOLROATRUHETCATEDSLELC_25,0.6,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryDieselElectricity2025
TO,2022,PUBTRAELC,PUBTRAPOLROATRUHETCATEDSLELC_25,0.6,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryDieselElectricity2025
TO,2023,PUBTRAELC,PUBTRAPOLROATRUHETCATEDSLELC_25,0.6,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryDieselElectricity2025
TO,2024,PUBTRAELC,PUBTRAPOLROATRUHETCATEDSLELC_25,0.6,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryDieselElectricity2025
TO,2025,PUBTRAELC,PUBTRAPOLROATRUHETCATEDSLELC_25,0.6,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryDieselElectricity2025
TO,2026,PUBTRAELC,PUBTRAPOLROATRUHETCATEDSLELC_25,0.6,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryDieselElectricity2025
TO,2027,PUBTRAELC,PUBTRAPOLROATRUHETCATEDSLELC_25,0.6,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryDieselElectricity2025
