tech,flag,sector,tech_desc,tech_category
PUBTRAPOLROATRUHETCONVDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2023,
PUBTRAPOLROATRUHETHYBDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckHeavy TrucksHybridDiesel2023,
PUBTRAPOLROATRUHETBEVBELCF____25,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckHeavy TrucksBattery Electric VehicleBattery Electricity Freight2025,
PUBTRAPOLROATRUHETCATEELC____25,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckHeavy TrucksCatenaryElectricity2025,
PUBTRAPOLROATRUHETCELLHH2____25,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckHeavy TrucksFuel Cell VehicleHydrogen2025,
PUBTRAPOLROATRUHETCONVDSL____16,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel2016,
PUBTRAFLEROATRUHETCONVDSL____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalDiesel2023,
PUBTRAFLEROATRUHETHYBDSL____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckHeavy TrucksHybridDiesel2023,
PUBTRAFLEROATRUHETBEVBELCF____25,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckHeavy TrucksBattery Electric VehicleBattery Electricity Freight2025,
PUBTRAFLEROATRUHETCATEELC____25,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckHeavy TrucksCatenaryElectricity2025,
PUBTRAFLEROATRUHETCELLHH2____25,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckHeavy TrucksFuel Cell VehicleHydrogen2025,
PUBTRAFLEROATRUHETCONVDSL____16,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckHeavy TrucksConventionnalDiesel2016,
PUBTRATHCROATRUHETCONVDSL____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksConventionnalDiesel2023,
PUBTRATHCROATRUHETHYBDSL____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksHybridDiesel2023,
PUBTRATHCROATRUHETBEVBELCF____25,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksBattery Electric VehicleBattery Electricity Freight2025,
PUBTRATHCROATRUHETCATEELC____25,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksCatenaryElectricity2025,
PUBTRATHCROATRUHETCELLHH2____25,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksFuel Cell VehicleHydrogen2025,
PUBTRATHCROATRUHETCONVDSL____16,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksConventionnalDiesel2016,
PUBTRAFLEROATRULGTCONVDSL____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalDiesel2023,
PUBTRAFLEROATRULGTHYBDSL____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksHybridDiesel2023,
PUBTRAFLEROATRULGTBEVBELCF____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksBattery Electric VehicleBattery Electricity Freight2023,
PUBTRAFLEROATRULGTCONVGAS____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalGasoline2023,
PUBTRAFLEROATRULGTHYBGAS____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksHybridGasoline2023,
PUBTRAFLEROATRULGTCELLHH2____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksFuel Cell VehicleHydrogen2023,
PUBTRAFLEROATRULGTCONVPRO____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalPropane2023,
PUBTRAFLEROATRULGTCONVDSL____16,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalDiesel2016,
PUBTRAFLEROATRULGTCONVGAS____16,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalGasoline2016,
PUBTRAPOLROATRULGTCONVDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalDiesel2023,
PUBTRAPOLROATRULGTHYBDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksHybridDiesel2023,
PUBTRAPOLROATRULGTBEVBELCF____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksBattery Electric VehicleBattery Electricity Freight2023,
PUBTRAPOLROATRULGTCONVGAS____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalGasoline2023,
PUBTRAPOLROATRULGTHYBGAS____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksHybridGasoline2023,
PUBTRAPOLROATRULGTCELLHH2____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksFuel Cell VehicleHydrogen2023,
PUBTRAPOLROATRULGTCONVPRO____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalPropane2023,
PUBTRAPOLROATRULGTCONVDSL____16,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalDiesel2016,
PUBTRAPOLROATRULGTCONVGAS____16,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalGasoline2016,
PUBTRATHCROATRULGTCONVDSL____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalDiesel2023,
PUBTRATHCROATRULGTHYBDSL____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksHybridDiesel2023,
PUBTRATHCROATRULGTBEVBELCF____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksBattery Electric VehicleBattery Electricity Freight2023,
PUBTRATHCROATRULGTCONVGAS____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalGasoline2023,
PUBTRATHCROATRULGTHYBGAS____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksHybridGasoline2023,
PUBTRATHCROATRULGTCELLHH2____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksFuel Cell VehicleHydrogen2023,
PUBTRATHCROATRULGTCONVPRO____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalPropane2023,
PUBTRATHCROATRULGTCONVDSL____16,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalDiesel2016,
PUBTRATHCROATRULGTCONVGAS____16,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalGasoline2016,
PUBTRAFLEROATRUMETCONVDSL____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalDiesel2023,
PUBTRAFLEROATRUMETHYBDSL____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckMedium TrucksHybridDiesel2023,
PUBTRAFLEROATRUMETBEVBELCF____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckMedium TrucksBattery Electric VehicleBattery Electricity Freight2023,
PUBTRAFLEROATRUMETCONVGAS____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalGasoline2023,
PUBTRAFLEROATRUMETCELLHH2____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckMedium TrucksFuel Cell VehicleHydrogen2023,
PUBTRAFLEROATRUMETCONVPRO____23,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalPropane2023,
PUBTRAFLEROATRUMETCONVDSL____16,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalDiesel2016,
PUBTRAFLEROATRUMETCONVGAS____16,p,PUBTRA,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalGasoline2016,
PUBTRATHCROATRUMETCONVDSL____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalDiesel2023,
PUBTRATHCROATRUMETHYBDSL____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksHybridDiesel2023,
PUBTRATHCROATRUMETBEVBELCF____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksBattery Electric VehicleBattery Electricity Freight2023,
PUBTRATHCROATRUMETCONVGAS____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalGasoline2023,
PUBTRATHCROATRUMETCELLHH2____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksFuel Cell VehicleHydrogen2023,
PUBTRATHCROATRUMETCONVPRO____23,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalPropane2023,
PUBTRATHCROATRUMETCONVDSL____16,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalDiesel2016,
PUBTRATHCROATRUMETCONVGAS____16,p,PUBTRA,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalGasoline2016,
PUBTRAPOLROATRUMETCONVDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalDiesel2023,
PUBTRAPOLROATRUMETHYBDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksHybridDiesel2023,
PUBTRAPOLROATRUMETBEVBELCF____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksBattery Electric VehicleBattery Electricity Freight2023,
PUBTRAPOLROATRUMETCONVGAS____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalGasoline2023,
PUBTRAPOLROATRUMETCELLHH2____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksFuel Cell VehicleHydrogen2023,
PUBTRAPOLROATRUMETCONVPRO____23,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalPropane2023,
PUBTRAPOLROATRUMETCONVDSL____16,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalDiesel2016,
PUBTRAPOLROATRUMETCONVGAS____16,p,PUBTRA,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalGasoline2016,
PUBTRAPOLROACAR___CONVDSL____23,p,PUBTRA,PublicTransportationPolice ServicesRoadCarsConventionnalDiesel2023,
