regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,ADEMPUBTRAFLEMAR______,PUBTRAFLE,2015,ADEMPUBTRAFLE,1,PublicTransportationFleet Services
TO,ADEMPUBTRAFLEROATRUHET,PUBTRAFLE,2015,ADEMPUBTRAFLE,1,PublicTransportationFleet Services
TO,ADEMPUBTRAFLEROATRULGT,PUBTRAFLE,2015,ADEMPUBTRAFLE,1,PublicTransportationFleet Services
TO,ADEMPUBTRAFLEROATRUMET,PUBTRAFLE,2015,ADEMPUBTRAFLE,1,PublicTransportationFleet Services
TO,ADEMPUBTRAFLEROACAR___,PUBTRAFLE,2015,ADEMPUBTRAFLE,1,PublicTransportationFleet Services
TO,ADEMPUBTRAFLEROAMOR___,PUBTRAFLE,2015,ADEMPUBTRAFLE,1,PublicTransportationFleet Services
TO,ADEMPUBTRAFLEROABUSURB,PUBTRAFLE,2015,ADEMPUBTRAFLE,1,PublicTransportationFleet Services
TO,ADEMPUBTRAPOLMAR______,PUBTRAPOL,2015,ADEMPUBTRAPOL,1,PublicTransportationPolice Services
TO,ADEMPUBTRAPOLROATRUHET,PUBTRAPOL,2015,ADEMPUBTRAPOL,1,PublicTransportationPolice Services
TO,ADEMPUBTRAPOLROACAR___,PUBTRAPOL,2015,ADEMPUBTRAPOL,1,PublicTransportationPolice Services
TO,ADEMPUBTRAPOLROAMOR___,PUBTRAPOL,2015,ADEMPUBTRAPOL,1,PublicTransportationPolice Services
TO,ADEMPUBTRAPOLROATRUMET,PUBTRAPOL,2015,ADEMPUBTRAPOL,1,PublicTransportationPolice Services
TO,ADEMPUBTRAPOLROATRULGT,PUBTRAPOL,2015,ADEMPUBTRAPOL,1,PublicTransportationPolice Services
TO,ADEMPUBTRAPOLROABUSURB,PUBTRAPOL,2015,ADEMPUBTRAPOL,1,PublicTransportationPolice Services
TO,ADEMPUBTRATHCMAR______,PUBTRATHC,2015,ADEMPUBTRATHC,1,PublicTransportationToronto Housing Company
TO,ADEMPUBTRATHCROATRUHET,PUBTRATHC,2015,ADEMPUBTRATHC,1,PublicTransportationToronto Housing Company
TO,ADEMPUBTRATHCROACAR___,PUBTRATHC,2015,ADEMPUBTRATHC,1,PublicTransportationToronto Housing Company
TO,ADEMPUBTRATHCROATRUMET,PUBTRATHC,2015,ADEMPUBTRATHC,1,PublicTransportationToronto Housing Company
TO,ADEMPUBTRATHCROATRULGT,PUBTRATHC,2015,ADEMPUBTRATHC,1,PublicTransportationToronto Housing Company
TO,ADEMPUBTRATHCROAMOR___,PUBTRATHC,2015,ADEMPUBTRATHC,1,PublicTransportationToronto Housing Company
TO,ADEMPUBTRATHCROABUSURB,PUBTRATHC,2015,ADEMPUBTRATHC,1,PublicTransportationToronto Housing Company
