regions,periods,tech,output_comm,TOS,to_split_notes
TO,2016,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2016,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2016,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2016,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2016,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2016,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2017,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2017,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2017,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2017,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2017,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2017,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2018,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2018,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2018,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2018,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2018,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2018,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2019,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2019,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2019,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2019,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2019,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2019,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2020,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2020,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2020,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2020,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2020,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2020,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2021,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2021,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2021,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2021,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2021,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2021,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2022,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2022,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2022,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2022,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2022,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2022,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2023,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2023,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
