tech,flag,sector,tech_desc,tech_category
WATWASWWABPRC_EX,p,WATWAS,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantProcess,
WATWASWWABTTE_EX,p,WATWAS,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to Energy,
WATWASWWABADI_EX,p,WATWAS,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester,
WATWASWWABADIMNGA_EX,p,WATWAS,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester,
WATWASWWABUSE_EX,p,WATWAS,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantExport of energy,
WATWASWWABFLR_EX,p,WATWAS,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantFlaring,
WATWASWWHCPRC_EX,p,WATWAS,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantProcess,
WATWASWWHCINC_EX,p,WATWAS,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantIncineration,
WATWASWWHCINCMNGA_EX,p,WATWAS,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantIncineration,
WATWASWWHCTTE_EX,p,WATWAS,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to Energy,
WATWASWWHCADI_EX,p,WATWAS,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester,
WATWASWWHCADIMNGA_EX,p,WATWAS,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester,
WATWASWWHCUSE_EX,p,WATWAS,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantExport of energy,
WATWASWWHCFLR_EX,p,WATWAS,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantFlaring,
WATWASWWHBPRC_EX,p,WATWAS,WaterWasteWaste waterHumber Wastewater Treatment PlantProcess,
WATWASWWHBTTE_EX,p,WATWAS,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to Energy,
WATWASWWHBADI_EX,p,WATWAS,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester,
WATWASWWHBADIMNGA_EX,p,WATWAS,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester,
WATWASWWHBUSE_EX,p,WATWAS,WaterWasteWaste waterHumber Wastewater Treatment PlantExport of energy,
WATWASWWHBFLR_EX,p,WATWAS,WaterWasteWaste waterHumber Wastewater Treatment PlantFlaring,
WATWASWWNTPRC_EX,p,WATWAS,WaterWasteWaste waterNorth Toronto Wastewater Treatment PlantProcess,
WATWASFWRCHPRC_EX,p,WATWAS,WaterWasteFresh waterR.C. Harris Water Treatment PlantProcess,
WATWASFWFJHPRC_EX,p,WATWAS,WaterWasteFresh waterF.J Horgan Water Treatment PlantProcess,
WATWASFWRLCPRC_EX,p,WATWAS,WaterWasteFresh waterR.L. Clark Water Treatment PlantProcess,
WATWASFWISDPRC_EX,p,WATWAS,WaterWasteFresh waterIsland Water Treatment PlantProcess,
