regions,season_name,time_of_day_name,tech,cf_tech,cf_tech_notes
TO,W,D,WATWASWWABGASERKSTD____23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,W,D,WATWASWWABADIPUB_______23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,W,D,WATWASWWHBGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,W,D,WATWASWWHBADIPUB_______23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,W,D,WATWASWWHCGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,W,D,WATWASWWHCADIPUB_______23,0.91324200913242,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,W,N,WATWASWWABGASERKSTD____23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,W,N,WATWASWWABADIPUB_______23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,W,N,WATWASWWHBGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,W,N,WATWASWWHBADIPUB_______23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,W,N,WATWASWWHCGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,W,N,WATWASWWHCADIPUB_______23,0.91324200913242,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,W,P1,WATWASWWABGASERKSTD____23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,W,P1,WATWASWWABADIPUB_______23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,W,P1,WATWASWWHBGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,W,P1,WATWASWWHBADIPUB_______23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,W,P1,WATWASWWHCGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,W,P1,WATWASWWHCADIPUB_______23,0.91324200913242,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,W,P2,WATWASWWABGASERKSTD____23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,W,P2,WATWASWWABADIPUB_______23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,W,P2,WATWASWWHBGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,W,P2,WATWASWWHBADIPUB_______23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,W,P2,WATWASWWHCGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,W,P2,WATWASWWHCADIPUB_______23,0.91324200913242,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,S,D,WATWASWWABGASERKSTD____23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,S,D,WATWASWWABADIPUB_______23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,S,D,WATWASWWHBGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,S,D,WATWASWWHBADIPUB_______23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,S,D,WATWASWWHCGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,S,D,WATWASWWHCADIPUB_______23,0.91324200913242,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,S,N,WATWASWWABGASERKSTD____23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,S,N,WATWASWWABADIPUB_______23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,S,N,WATWASWWHBGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,S,N,WATWASWWHBADIPUB_______23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,S,N,WATWASWWHCGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,S,N,WATWASWWHCADIPUB_______23,0.91324200913242,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,S,P1,WATWASWWABGASERKSTD____23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,S,P1,WATWASWWABADIPUB_______23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,S,P1,WATWASWWHBGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,S,P1,WATWASWWHBADIPUB_______23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,S,P1,WATWASWWHCGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,S,P1,WATWASWWHCADIPUB_______23,0.91324200913242,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,S,P2,WATWASWWABGASERKSTD____23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,S,P2,WATWASWWABADIPUB_______23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,S,P2,WATWASWWHBGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,S,P2,WATWASWWHBADIPUB_______23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,S,P2,WATWASWWHCGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,S,P2,WATWASWWHCADIPUB_______23,0.91324200913242,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,R,D,WATWASWWABGASERKSTD____23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,R,D,WATWASWWABADIPUB_______23,0.91324200913242,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,R,D,WATWASWWHBGASERKSTD____23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,R,D,WATWASWWHBADIPUB_______23,0.91324200913242,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
