regions,periods,tech,output_comm,TOS,to_split_notes
TO,2016,WATWASWWABGASERKSTD____23,EUEWATWASWWABTTE,0.5932203389830455,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2016,WATWASWWABGASERKSTD____23,WATWASCETH,0.40677966101695456,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2016,WATWASWWABADIPUB_______23,EUEWATWASWWABTTE,0.6171191250359388,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2016,WATWASWWABADIPUB_______23,BMTNWATWASWWAB,0.3828808749640612,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2016,WATWASWWABGASCENCCSHH2_23,EUEWATWASWWABTTE,0.5405405405405406,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen
TO,2016,WATWASWWABGASCENCCSHH2_23,WATWASHH2,0.4594594594594595,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen
TO,2016,WATWASWWHBGASERKSTD____23,EUEWATWASWWHBTTE,0.5932203389830455,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2016,WATWASWWHBGASERKSTD____23,WATWASCETH,0.40677966101695456,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency
TO,2016,WATWASWWHBADIPUB_______23,EUEWATWASWWHBTTE,0.6171191250359388,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
TO,2016,WATWASWWHBADIPUB_______23,BMTNWATWASWWHB,0.3828808749640612,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic
