tech,flag,sector,tech_desc,tech_category
WATWASWWABGASERKSTD____23,p,WATWAS,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency,
WATWASWWABGASERKSTDMENE_23,p,WATWAS,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy,
WATWASWWABADIPUB_______23,p,WATWAS,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic,
WATWASWWABADIPUB___MENE_23,p,WATWAS,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy,
WATWASWWABGASCENCCSHH2_23,p,WATWAS,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen,
WATWASWWHBGASERKSTD____23,p,WATWAS,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency,
WATWASWWHBGASERKSTDMENE_23,p,WATWAS,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy,
WATWASWWHBADIPUB_______23,p,WATWAS,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublic,
WATWASWWHBADIPUB___MENE_23,p,WATWAS,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy,
WATWASWWHBGASCENCCSHH2_23,p,WATWAS,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen,
WATWASWWHCGASERKSTD____23,p,WATWAS,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard Efficiency,
WATWASWWHCGASERKSTDMENE_23,p,WATWAS,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy,
WATWASWWHCADIPUB_______23,p,WATWAS,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublic,
WATWASWWHCADIPUB___MENE_23,p,WATWAS,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy,
WATWASWWHCGASCENCCSHH2_23,p,WATWAS,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationCentralCarbon Capture StorageHydrogen,
