regions,periods,tech,vintage,cost_variable,cost_variable_units,cost_variable_notes
TO,2016,WATWASFWSPL,2015,0.0,k$/Mm3a,WaterWasteSplitFresh water
TO,2016,WATWASCOLRW,2015,0.0,k$/Mm3a,WaterWasteRain collectionRain water
TO,2016,WATWASSEWWW,2015,0.0,k$/Mm3a,WaterWasteSewer CollectionFresh water
TO,2016,WATWASPUMWW,2015,151.02904074269375,k$/Mm3a,WaterWastePumpWaste water
TO,2016,WATWASGRIWW,2015,0.0,k$/Mm3a,WaterWasteGridWaste water
TO,2016,WATWASSTPWW,2015,0.0,k$/Mm3a,WaterWasteSplit Treatment PlantWaste water
TO,2016,WATWASPUMFW,2015,257.6384303945077,k$/Mm3a,WaterWastePumpFresh water
TO,2016,WATWASGRIFW,2015,0.0,k$/Mm3a,WaterWasteGridFresh water
TO,2016,WATWASSTPFW,2015,0.0,k$/Mm3a,WaterWasteSplit Treatment PlantFresh water
TO,2017,WATWASFWSPL,2015,0.0,k$/Mm3a,WaterWasteSplitFresh water
TO,2017,WATWASCOLRW,2015,0.0,k$/Mm3a,WaterWasteRain collectionRain water
TO,2017,WATWASSEWWW,2015,0.0,k$/Mm3a,WaterWasteSewer CollectionFresh water
TO,2017,WATWASPUMWW,2015,151.02904074269375,k$/Mm3a,WaterWastePumpWaste water
TO,2017,WATWASGRIWW,2015,0.0,k$/Mm3a,WaterWasteGridWaste water
TO,2017,WATWASSTPWW,2015,0.0,k$/Mm3a,WaterWasteSplit Treatment PlantWaste water
TO,2017,WATWASPUMFW,2015,257.6384303945077,k$/Mm3a,WaterWastePumpFresh water
TO,2017,WATWASGRIFW,2015,0.0,k$/Mm3a,WaterWasteGridFresh water
TO,2017,WATWASSTPFW,2015,0.0,k$/Mm3a,WaterWasteSplit Treatment PlantFresh water
TO,2018,WATWASFWSPL,2015,0.0,k$/Mm3a,WaterWasteSplitFresh water
TO,2018,WATWASCOLRW,2015,0.0,k$/Mm3a,WaterWasteRain collectionRain water
TO,2018,WATWASSEWWW,2015,0.0,k$/Mm3a,WaterWasteSewer CollectionFresh water
TO,2018,WATWASPUMWW,2015,151.02904074269375,k$/Mm3a,WaterWastePumpWaste water
TO,2018,WATWASGRIWW,2015,0.0,k$/Mm3a,WaterWasteGridWaste water
TO,2018,WATWASSTPWW,2015,0.0,k$/Mm3a,WaterWasteSplit Treatment PlantWaste water
TO,2018,WATWASPUMFW,2015,257.6384303945077,k$/Mm3a,WaterWastePumpFresh water
TO,2018,WATWASGRIFW,2015,0.0,k$/Mm3a,WaterWasteGridFresh water
TO,2018,WATWASSTPFW,2015,0.0,k$/Mm3a,WaterWasteSplit Treatment PlantFresh water
TO,2019,WATWASFWSPL,2015,0.0,k$/Mm3a,WaterWasteSplitFresh water
TO,2019,WATWASCOLRW,2015,0.0,k$/Mm3a,WaterWasteRain collectionRain water
TO,2019,WATWASSEWWW,2015,0.0,k$/Mm3a,WaterWasteSewer CollectionFresh water
