regions,periods,demand_comm,demand,demand_units,demand_notes
TO,2016,ADEMWATWASFW,335.9175,Mm3,Aggregated DemandWaterWasteFresh water
TO,2016,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2017,ADEMWATWASFW,338.6876374980036,Mm3,Aggregated DemandWaterWasteFresh water
TO,2017,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2018,ADEMWATWASFW,341.4132936705214,Mm3,Aggregated DemandWaterWasteFresh water
TO,2018,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2019,ADEMWATWASFW,344.24755231832194,Mm3,Aggregated DemandWaterWasteFresh water
TO,2019,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2020,ADEMWATWASFW,347.0075584667242,Mm3,Aggregated DemandWaterWasteFresh water
TO,2020,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2021,ADEMWATWASFW,349.7131287692438,Mm3,Aggregated DemandWaterWasteFresh water
TO,2021,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2022,ADEMWATWASFW,351.68271311297184,Mm3,Aggregated DemandWaterWasteFresh water
TO,2022,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2023,ADEMWATWASFW,353.7555503068134,Mm3,Aggregated DemandWaterWasteFresh water
TO,2023,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2024,ADEMWATWASFW,355.87777728117936,Mm3,Aggregated DemandWaterWasteFresh water
TO,2024,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2025,ADEMWATWASFW,357.98591999222805,Mm3,Aggregated DemandWaterWasteFresh water
TO,2025,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2026,ADEMWATWASFW,360.04351767548303,Mm3,Aggregated DemandWaterWasteFresh water
TO,2026,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2027,ADEMWATWASFW,362.0539700947381,Mm3,Aggregated DemandWaterWasteFresh water
TO,2027,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2028,ADEMWATWASFW,364.0458947679633,Mm3,Aggregated DemandWaterWasteFresh water
TO,2028,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2029,ADEMWATWASFW,366.0537280090199,Mm3,Aggregated DemandWaterWasteFresh water
TO,2029,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2030,ADEMWATWASFW,368.10169140112583,Mm3,Aggregated DemandWaterWasteFresh water
TO,2030,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2031,ADEMWATWASFW,370.19438937678206,Mm3,Aggregated DemandWaterWasteFresh water
TO,2031,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2032,ADEMWATWASFW,372.2409839677374,Mm3,Aggregated DemandWaterWasteFresh water
TO,2032,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2033,ADEMWATWASFW,374.2929501577234,Mm3,Aggregated DemandWaterWasteFresh water
TO,2033,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2034,ADEMWATWASFW,376.31964024486126,Mm3,Aggregated DemandWaterWasteFresh water
TO,2034,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2035,ADEMWATWASFW,378.28372917074284,Mm3,Aggregated DemandWaterWasteFresh water
TO,2035,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2036,ADEMWATWASFW,380.2396410550864,Mm3,Aggregated DemandWaterWasteFresh water
TO,2036,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2037,ADEMWATWASFW,382.16829073582835,Mm3,Aggregated DemandWaterWasteFresh water
TO,2037,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2038,ADEMWATWASFW,384.0681367245791,Mm3,Aggregated DemandWaterWasteFresh water
TO,2038,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2039,ADEMWATWASFW,385.9800098191747,Mm3,Aggregated DemandWaterWasteFresh water
TO,2039,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2040,ADEMWATWASFW,387.95131153247206,Mm3,Aggregated DemandWaterWasteFresh water
TO,2040,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2041,ADEMWATWASFW,389.99804026894225,Mm3,Aggregated DemandWaterWasteFresh water
TO,2041,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2042,ADEMWATWASFW,392.1195821825013,Mm3,Aggregated DemandWaterWasteFresh water
TO,2042,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2043,ADEMWATWASFW,394.2207074669673,Mm3,Aggregated DemandWaterWasteFresh water
TO,2043,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2044,ADEMWATWASFW,396.2755975348496,Mm3,Aggregated DemandWaterWasteFresh water
TO,2044,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2045,ADEMWATWASFW,398.26465008782037,Mm3,Aggregated DemandWaterWasteFresh water
TO,2045,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2046,ADEMWATWASFW,400.19426288279755,Mm3,Aggregated DemandWaterWasteFresh water
TO,2046,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2047,ADEMWATWASFW,402.09063664028434,Mm3,Aggregated DemandWaterWasteFresh water
TO,2047,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2048,ADEMWATWASFW,403.9861935163674,Mm3,Aggregated DemandWaterWasteFresh water
TO,2048,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2049,ADEMWATWASFW,405.9076519772587,Mm3,Aggregated DemandWaterWasteFresh water
TO,2049,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
TO,2050,ADEMWATWASFW,407.8695488214182,Mm3,Aggregated DemandWaterWasteFresh water
TO,2050,ADEMWATWASRW,397.40412,Mm3,Aggregated DemandWaterWasteRain water
