regions,tech,c2a,c2a_notes
TO,SLDWASLDFGLAGG_EX,1,SolidWasteLandfillGreen LaneAggregate demand
TO,SLDWASLDFGLGEN_EX,1,SolidWasteLandfillGreen LaneBiogas generation
TO,SLDWASLDFGLCAP_EX,1,SolidWasteLandfillGreen LaneBiogas capture
TO,SLDWASLDFGLFLR_EX,1,SolidWasteLandfillGreen LaneFlaring
TO,SLDWASLDFBWGEN_EX,1,SolidWasteHistorical LF wasteBrock WestBiogas generation
TO,SLDWASLDFBWLEK_EX,1,SolidWasteLandfillBrock WestLeaking
TO,SLDWASLDFKVGEN_EX,1,SolidWasteHistorical LF wasteKeele ValleyBiogas generation
TO,SLDWASLDFKVCAP_EX,1,SolidWasteLandfillKeele ValleyBiogas capture
TO,SLDWASLDFKVFLR_EX,1,SolidWasteLandfillKeele ValleyFlaring
TO,SLDWASLDFBRGEN_EX,1,SolidWasteHistorical LF wasteBeare RdBiogas generation
TO,SLDWASLDFBRCAP_EX,1,SolidWasteLandfillBeare RdBiogas capture
TO,SLDWASLDFBRFLR_EX,1,SolidWasteLandfillBeare RdFlaring
TO,SLDWASLDFTKGEN_EX,1,SolidWasteHistorical LF wasteThackerayBiogas generation
TO,SLDWASLDFTKLEK_EX,1,SolidWasteLandfillThackerayLeaking
TO,SLDWASLDFAHGEN_EX,1,SolidWasteHistorical LF wasteMI - Arbor HillsBiogas generation
TO,SLDWASLDFAHCAP_EX,1,SolidWasteLandfillMI - Arbor HillsBiogas capture
TO,SLDWASLDFAHFLR_EX,1,SolidWasteLandfillMI - Arbor HillsFlaring
TO,SLDWASLDFCFGEN_EX,1,SolidWasteHistorical LF wasteMI - Carleton farmsBiogas generation
TO,SLDWASLDFCFCAP_EX,1,SolidWasteLandfillMI - Carleton farmsBiogas capture
TO,SLDWASLDFCFFLR_EX,1,SolidWasteLandfillMI - Carleton farmsFlaring
TO,SLDWASGRBDRTTE_EX,1,SolidWasteGreen BinDisco RoadTons to Energy
TO,SLDWASGRBDRADI_EX,1,SolidWasteGreen BinDisco RoadAnaerobic Digester
TO,SLDWASGRBDRADIMNGA_EX,1,SolidWasteGreen BinDisco RoadAnaerobic Digester
TO,SLDWASGRBDRUSE_EX,1,SolidWasteGreen BinDisco RoadExport of energy
TO,SLDWASGRBDRFLR_EX,1,SolidWasteGreen BinDisco RoadFlaring
TO,SLDWASGRBDFTTE_EX,1,SolidWasteGreen BinDufferinTons to Energy
TO,SLDWASGRBDFADI_EX,1,SolidWasteGreen BinDufferinAnaerobic Digester
TO,SLDWASGRBDFADIMNGA_EX,1,SolidWasteGreen BinDufferinAnaerobic Digester
TO,SLDWASGRBDFUSE_EX,1,SolidWasteGreen BinDufferinExport of energy
TO,SLDWASGRBDFFLR_EX,1,SolidWasteGreen BinDufferinFlaring
TO,SLDWASGRBCPGEN_EX,1,SolidWasteGreen BinCompostBiogas generation
TO,SLDWASGRBCPLEK_EX,1,SolidWasteGreen BinCompostLeaking
