tech,flag,sector,tech_desc,tech_category
SLDWASLDFGLAGG_EX,p,SLDWAS,SolidWasteLandfillGreen LaneAggregate demand,
SLDWASLDFGLGEN_EX,p,SLDWAS,SolidWasteLandfillGreen LaneBiogas generation,
SLDWASLDFGLCAP_EX,p,SLDWAS,SolidWasteLandfillGreen LaneBiogas capture,
SLDWASLDFGLFLR_EX,p,SLDWAS,SolidWasteLandfillGreen LaneFlaring,
SLDWASLDFBWGEN_EX,p,SLDWAS,SolidWasteHistorical LF wasteBrock WestBiogas generation,
SLDWASLDFBWLEK_EX,p,SLDWAS,SolidWasteLandfillBrock WestLeaking,
SLDWASLDFKVGEN_EX,p,SLDWAS,SolidWasteHistorical LF wasteKeele ValleyBiogas generation,
SLDWASLDFKVCAP_EX,p,SLDWAS,SolidWasteLandfillKeele ValleyBiogas capture,
SLDWASLDFKVFLR_EX,p,SLDWAS,SolidWasteLandfillKeele ValleyFlaring,
SLDWASLDFBRGEN_EX,p,SLDWAS,SolidWasteHistorical LF wasteBeare RdBiogas generation,
SLDWASLDFBRCAP_EX,p,SLDWAS,SolidWasteLandfillBeare RdBiogas capture,
SLDWASLDFBRFLR_EX,p,SLDWAS,SolidWasteLandfillBeare RdFlaring,
SLDWASLDFTKGEN_EX,p,SLDWAS,SolidWasteHistorical LF wasteThackerayBiogas generation,
SLDWASLDFTKLEK_EX,p,SLDWAS,SolidWasteLandfillThackerayLeaking,
SLDWASLDFAHGEN_EX,p,SLDWAS,SolidWasteHistorical LF wasteMI - Arbor HillsBiogas generation,
SLDWASLDFAHCAP_EX,p,SLDWAS,SolidWasteLandfillMI - Arbor HillsBiogas capture,
SLDWASLDFAHFLR_EX,p,SLDWAS,SolidWasteLandfillMI - Arbor HillsFlaring,
SLDWASLDFCFGEN_EX,p,SLDWAS,SolidWasteHistorical LF wasteMI - Carleton farmsBiogas generation,
SLDWASLDFCFCAP_EX,p,SLDWAS,SolidWasteLandfillMI - Carleton farmsBiogas capture,
SLDWASLDFCFFLR_EX,p,SLDWAS,SolidWasteLandfillMI - Carleton farmsFlaring,
SLDWASGRBDRTTE_EX,p,SLDWAS,SolidWasteGreen BinDisco RoadTons to Energy,
SLDWASGRBDRADI_EX,p,SLDWAS,SolidWasteGreen BinDisco RoadAnaerobic Digester,
SLDWASGRBDRADIMNGA_EX,p,SLDWAS,SolidWasteGreen BinDisco RoadAnaerobic Digester,
SLDWASGRBDRUSE_EX,p,SLDWAS,SolidWasteGreen BinDisco RoadExport of energy,
SLDWASGRBDRFLR_EX,p,SLDWAS,SolidWasteGreen BinDisco RoadFlaring,
SLDWASGRBDFTTE_EX,p,SLDWAS,SolidWasteGreen BinDufferinTons to Energy,
SLDWASGRBDFADI_EX,p,SLDWAS,SolidWasteGreen BinDufferinAnaerobic Digester,
SLDWASGRBDFADIMNGA_EX,p,SLDWAS,SolidWasteGreen BinDufferinAnaerobic Digester,
SLDWASGRBDFUSE_EX,p,SLDWAS,SolidWasteGreen BinDufferinExport of energy,
SLDWASGRBDFFLR_EX,p,SLDWAS,SolidWasteGreen BinDufferinFlaring,
SLDWASGRBCPGEN_EX,p,SLDWAS,SolidWasteGreen BinCompostBiogas generation,
SLDWASGRBCPLEK_EX,p,SLDWAS,SolidWasteGreen BinCompostLeaking,
