regions,emis_comm,input_comm,tech,vintage,output_comm,emis_act,emis_act_units,emis_act_notes
TO,CO2,SLDWASNGA,SLDWASLDFGLBUPPUBSTDMENE_23,2023,SEESLDWASLDFGLBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillGreen LaneBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFGLBUPPUBSTDMENE_21,2023,SEESLDWASLDFGLBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillGreen LaneBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFGLBUPPUBSTDMENE_17,2023,SEESLDWASLDFGLBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillGreen LaneBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFBWBUPPUBSTDMENE_23,2023,SEESLDWASLDFBWBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillBrock WestBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFBWBUPPUBSTDMENE_21,2023,SEESLDWASLDFBWBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillBrock WestBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFBWBUPPUBSTDMENE_17,2023,SEESLDWASLDFBWBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillBrock WestBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFKVBUPPUBSTDMENE_23,2023,SEESLDWASLDFKVBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillKeele ValleyBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFKVBUPPUBSTDMENE_21,2023,SEESLDWASLDFKVBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillKeele ValleyBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFKVBUPPUBSTDMENE_17,2023,SEESLDWASLDFKVBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillKeele ValleyBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFBRBUPPUBSTDMENE_23,2023,SEESLDWASLDFBRBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillBeare RdBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFBRBUPPUBSTDMENE_21,2023,SEESLDWASLDFBRBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillBeare RdBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFBRBUPPUBSTDMENE_17,2023,SEESLDWASLDFBRBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillBeare RdBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFTKBUPPUBSTDMENE_23,2023,SEESLDWASLDFTKBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillThackerayBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFTKBUPPUBSTDMENE_21,2023,SEESLDWASLDFTKBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillThackerayBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFTKBUPPUBSTDMENE_17,2023,SEESLDWASLDFTKBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillThackerayBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFAHBUPPUBSTDMENE_23,2023,SEESLDWASLDFAHBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillMI - Arbor HillsBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFAHBUPPUBSTDMENE_21,2023,SEESLDWASLDFAHBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillMI - Arbor HillsBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFAHBUPPUBSTDMENE_17,2023,SEESLDWASLDFAHBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillMI - Arbor HillsBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFCFBUPPUBSTDMENE_23,2023,SEESLDWASLDFCFBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillMI - Carleton farmsBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFCFBUPPUBSTDMENE_21,2023,SEESLDWASLDFCFBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillMI - Carleton farmsBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASLDFCFBUPPUBSTDMENE_17,2023,SEESLDWASLDFCFBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteLandfillMI - Carleton farmsBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASGRBCPBUPPUBSTDMENE_23,2023,SEESLDWASGRBCPBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteGreen BinCompostBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASGRBCPBUPPUBSTDMENE_21,2023,SEESLDWASGRBCPBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteGreen BinCompostBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASGRBCPBUPPUBSTDMENE_17,2023,SEESLDWASGRBCPBUPPUBSTDMENE,48.85948749445525,t/TJa,SolidWasteGreen BinCompostBiogas upgradePublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASGRBDRGASERKSTDMENE_21,2023,SEESLDWASGRBDRGASERKSTD,48.85948749445525,t/TJa,SolidWasteGreen BinDisco RoadGasificationEnerkemStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASGRBDRADIPUBSTDMENE_21,2023,SEESLDWASGRBDRADIPUBSTD,48.85948749445525,t/TJa,SolidWasteGreen BinDisco RoadAnaerobic DigesterPublicStandard Efficiency
TO,CO2,SLDWASNGA,SLDWASGRBDFGASERKSTDMENE_21,2023,SEESLDWASGRBDFGASERKSTD,48.85948749445525,t/TJa,SolidWasteGreen BinDufferinGasificationEnerkemStandard Efficiency
