comm_name,flag,comm_desc
SEESLDWASLDFGLBUPPUBSTDMENE,p,SecondaryEnergySolidWasteLandfillGreen LaneBiogas upgradePublicStandard Efficiency
BGASLDWASLDFBWCAP,p,Biogas flowSolidWasteLandfillBrock WestCapture
SEESLDWASLDFBWBUPPUBSTDMENE,p,SecondaryEnergySolidWasteLandfillGreen LaneBiogas upgradePublicStandard EfficiencySolidWasteLandfillBrock WestBiogas upgradePublicStandard Efficiency
SEESLDWASLDFKVBUPPUBSTDMENE,p,SecondaryEnergySolidWasteLandfillGreen LaneBiogas upgradePublicStandard EfficiencySolidWasteLandfillKeele ValleyBiogas upgradePublicStandard Efficiency
SEESLDWASLDFBRBUPPUBSTDMENE,p,SecondaryEnergySolidWasteLandfillGreen LaneBiogas upgradePublicStandard EfficiencySolidWasteLandfillBeare RdBiogas upgradePublicStandard Efficiency
BGASLDWASLDFTKCAP,p,Biogas flowSolidWasteLandfillThackerayCapture
SEESLDWASLDFTKBUPPUBSTDMENE,p,SecondaryEnergySolidWasteLandfillGreen LaneBiogas upgradePublicStandard EfficiencySolidWasteLandfillThackerayBiogas upgradePublicStandard Efficiency
SEESLDWASLDFAHBUPPUBSTDMENE,p,SecondaryEnergySolidWasteLandfillGreen LaneBiogas upgradePublicStandard EfficiencySolidWasteLandfillMI - Arbor HillsBiogas upgradePublicStandard Efficiency
SEESLDWASLDFCFBUPPUBSTDMENE,p,SecondaryEnergySolidWasteLandfillGreen LaneBiogas upgradePublicStandard EfficiencySolidWasteLandfillMI - Carleton farmsBiogas upgradePublicStandard Efficiency
BGASLDWASGRBCPCAP,p,Biogas flowSolidWasteGreen BinCompostCapture
SEESLDWASGRBCPBUPPUBSTDMENE,p,SecondaryEnergySolidWasteLandfillGreen LaneBiogas upgradePublicStandard EfficiencySolidWasteGreen BinCompostBiogas upgradePublicStandard Efficiency
SEESLDWASGRBDRGASERKSTD,p,SecondaryEnergySolidWasteLandfillGreen LaneBiogas upgradePublicStandard EfficiencySolidWasteGreen BinDisco RoadGasificationEnerkemStandard Efficiency
SEESLDWASGRBDRADIPUBSTD,p,SecondaryEnergySolidWasteLandfillGreen LaneBiogas upgradePublicStandard EfficiencySolidWasteGreen BinDisco RoadAnaerobic DigesterPublicStandard Efficiency
SEESLDWASGRBDFGASERKSTD,p,SecondaryEnergySolidWasteLandfillGreen LaneBiogas upgradePublicStandard EfficiencySolidWasteGreen BinDufferinGasificationEnerkemStandard Efficiency
SEESLDWASGRBDFADIPUBSTD,p,SecondaryEnergySolidWasteLandfillGreen LaneBiogas upgradePublicStandard EfficiencySolidWasteGreen BinDufferinAnaerobic DigesterPublicStandard Efficiency
