tech,flag,sector,tech_desc,tech_category
SLDWASLDFGLCAP__________23,p,SLDWAS,SolidWasteLandfillGreen LaneBiogas capture,
SLDWASLDFGLBUPPUBSTD____23,p,SLDWAS,SolidWasteLandfillGreen LaneBiogas upgradePublicStandard Efficiency,
SLDWASLDFGLBUPPUBSTDMENE_23,p,SLDWAS,SolidWasteLandfillGreen LaneBiogas upgradePublicStandard Efficiency,
SLDWASLDFGLBUPPUBSTD____21,p,SLDWAS,SolidWasteLandfillGreen LaneBiogas upgradePublicStandard Efficiency,
SLDWASLDFGLBUPPUBSTDMENE_21,p,SLDWAS,SolidWasteLandfillGreen LaneBiogas upgradePublicStandard Efficiency,
SLDWASLDFGLBUPPUBSTD____17,p,SLDWAS,SolidWasteLandfillGreen LaneBiogas upgradePublicStandard Efficiency,
SLDWASLDFGLBUPPUBSTDMENE_17,p,SLDWAS,SolidWasteLandfillGreen LaneBiogas upgradePublicStandard Efficiency,
SLDWASLDFGLCHPICESTD____20,p,SLDWAS,SolidWasteLandfillGreen LaneCogeneration engineInternal Combustion EngineStandard Efficiency,
SLDWASLDFBWCAP__________23,p,SLDWAS,SolidWasteLandfillBrock WestBiogas capture,
SLDWASLDFBWBUPPUBSTD_23,p,SLDWAS,SolidWasteLandfillBrock WestBiogas upgradePublicStandard Efficiency,
SLDWASLDFBWBUPPUBSTDMENE_23,p,SLDWAS,SolidWasteLandfillBrock WestBiogas upgradePublicStandard Efficiency,
SLDWASLDFBWBUPPUBSTD_21,p,SLDWAS,SolidWasteLandfillBrock WestBiogas upgradePublicStandard Efficiency,
SLDWASLDFBWBUPPUBSTDMENE_21,p,SLDWAS,SolidWasteLandfillBrock WestBiogas upgradePublicStandard Efficiency,
SLDWASLDFBWBUPPUBSTD_17,p,SLDWAS,SolidWasteLandfillBrock WestBiogas upgradePublicStandard Efficiency,
SLDWASLDFBWBUPPUBSTDMENE_17,p,SLDWAS,SolidWasteLandfillBrock WestBiogas upgradePublicStandard Efficiency,
SLDWASLDFBWCHPICESTD____20,p,SLDWAS,SolidWasteLandfillBrock WestCogeneration engineInternal Combustion EngineStandard Efficiency,
SLDWASLDFKVCAP__________23,p,SLDWAS,SolidWasteLandfillKeele ValleyBiogas capture,
SLDWASLDFKVBUPPUBSTD_23,p,SLDWAS,SolidWasteLandfillKeele ValleyBiogas upgradePublicStandard Efficiency,
SLDWASLDFKVBUPPUBSTDMENE_23,p,SLDWAS,SolidWasteLandfillKeele ValleyBiogas upgradePublicStandard Efficiency,
SLDWASLDFKVBUPPUBSTD_21,p,SLDWAS,SolidWasteLandfillKeele ValleyBiogas upgradePublicStandard Efficiency,
SLDWASLDFKVBUPPUBSTDMENE_21,p,SLDWAS,SolidWasteLandfillKeele ValleyBiogas upgradePublicStandard Efficiency,
SLDWASLDFKVBUPPUBSTD_17,p,SLDWAS,SolidWasteLandfillKeele ValleyBiogas upgradePublicStandard Efficiency,
SLDWASLDFKVBUPPUBSTDMENE_17,p,SLDWAS,SolidWasteLandfillKeele ValleyBiogas upgradePublicStandard Efficiency,
SLDWASLDFKVCHPICESTD____20,p,SLDWAS,SolidWasteLandfillKeele ValleyCogeneration engineInternal Combustion EngineStandard Efficiency,
SLDWASLDFBRCAP__________23,p,SLDWAS,SolidWasteLandfillBeare RdBiogas capture,
SLDWASLDFBRBUPPUBSTD_23,p,SLDWAS,SolidWasteLandfillBeare RdBiogas upgradePublicStandard Efficiency,
