regions,periods,input_comm,tech,TIS,ti_split_notes
TO,2016,ADEMSLDWASGRBDR,SLDWASGRB,0.3073467122831016,
TO,2016,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2016,ADEMSLDWASGRBCP,SLDWASGRB,0.6580206233310534,
TO,2016,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2017,ADEMSLDWASGRBDR,SLDWASGRB,0.2854184291254665,
TO,2017,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2017,ADEMSLDWASGRBCP,SLDWASGRB,0.6788524923308068,
TO,2017,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2018,ADEMSLDWASGRBDR,SLDWASGRB,0.2769448270709856,
TO,2018,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2018,ADEMSLDWASGRBCP,SLDWASGRB,0.6869024142825637,
TO,2018,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2019,ADEMSLDWASGRBDR,SLDWASGRB,0.2561374947509788,
TO,2019,ADEMSLDWASGRBDF,SLDWASGRB,0.11857304741175127,
TO,2019,ADEMSLDWASGRBCP,SLDWASGRB,0.5940249849454065,
TO,2019,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2020,ADEMSLDWASGRBDR,SLDWASGRB,0.24834109888688116,
TO,2020,ADEMSLDWASGRBDF,SLDWASGRB,0.10953070921547288,
TO,2020,ADEMSLDWASGRBCP,SLDWASGRB,0.6100217823027636,
TO,2020,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2021,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2021,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2021,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2021,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2022,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2022,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2022,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2022,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2023,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2023,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2023,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2023,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2024,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2024,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2024,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2024,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2025,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2025,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
