regions,tech,c2a,c2a_notes
TO,PASTRADSLIMP,1,PassengerTransportDieselImport
TO,PASTRABDSLIMP,1,PassengerTransportBio DieselImport
TO,PASTRAETHIMP,1,PassengerTransportEthanolImport
TO,PASTRAGASIMP,1,PassengerTransportGasolineImport
TO,PASTRARDSLIMP,1,PassengerTransportRenewable DieselImport
TO,PASTRANGAIMP,1,PassengerTransportNatural GasImport
TO,PASTRABMTNIMP,1,PassengerTransportBio MethaneImport
TO,PASTRASGAIMP,1,PassengerTransportSynthetic GasImport
TO,PASTRASMTNIMP,1,PassengerTransportSynthetic MethaneImport
TO,PASTRACETHIMP,1,PassengerTransportCellulosic EthanolImport
TO,PASTRAPROIMP,1,PassengerTransportPropaneImport
TO,PASTRAHH2IMP,1,PassengerTransportHydrogenImport
TO,PASTRAELCIMP16,1,PassengerTransportElectricityImport16
TO,PASTRAELCIMP17,1,PassengerTransportElectricityImport17
TO,PASTRAELCIMP18,1,PassengerTransportElectricityImport18
TO,PASTRAELCIMP19,1,PassengerTransportElectricityImport19
TO,PASTRAELCIMP20,1,PassengerTransportElectricityImport20
TO,PASTRAELCIMP21,1,PassengerTransportElectricityImport21
TO,PASTRAELCIMP22,1,PassengerTransportElectricityImport22
TO,PASTRAELCIMP23,1,PassengerTransportElectricityImport23
TO,PASTRAELCIMP24,1,PassengerTransportElectricityImport24
TO,PASTRAELCIMP25,1,PassengerTransportElectricityImport25
TO,PASTRAELCIMP26,1,PassengerTransportElectricityImport26
TO,PASTRAELCIMP27,1,PassengerTransportElectricityImport27
TO,PASTRAELCIMP28,1,PassengerTransportElectricityImport28
TO,PASTRAELCIMP29,1,PassengerTransportElectricityImport29
TO,PASTRAELCIMP30,1,PassengerTransportElectricityImport30
TO,PASTRAELCIMP31,1,PassengerTransportElectricityImport31
TO,PASTRAELCIMP32,1,PassengerTransportElectricityImport32
TO,PASTRAELCIMP33,1,PassengerTransportElectricityImport33
TO,PASTRAELCIMP34,1,PassengerTransportElectricityImport34
TO,PASTRAELCIMP35,1,PassengerTransportElectricityImport35
TO,PASTRAELCIMP36,1,PassengerTransportElectricityImport36
TO,PASTRAELCIMP37,1,PassengerTransportElectricityImport37
TO,PASTRAELCIMP38,1,PassengerTransportElectricityImport38
TO,PASTRAELCIMP39,1,PassengerTransportElectricityImport39
TO,PASTRAELCIMP40,1,PassengerTransportElectricityImport40
TO,PASTRAELCIMP41,1,PassengerTransportElectricityImport41
TO,PASTRAELCIMP42,1,PassengerTransportElectricityImport42
TO,PASTRAELCIMP43,1,PassengerTransportElectricityImport43
TO,PASTRAELCIMP44,1,PassengerTransportElectricityImport44
TO,PASTRAELCIMP45,1,PassengerTransportElectricityImport45
TO,PASTRAELCIMP46,1,PassengerTransportElectricityImport46
TO,PASTRAELCIMP47,1,PassengerTransportElectricityImport47
TO,PASTRAELCIMP48,1,PassengerTransportElectricityImport48
TO,PASTRAELCIMP49,1,PassengerTransportElectricityImport49
TO,PASTRAELCIMP50,1,PassengerTransportElectricityImport50
TO,PASTRABMTNEXP,1,PassengerTransportBio MethaneExport
TO,PASTRACETHEXP,1,PassengerTransportCellulosic EthanolExport
TO,PASTRAHH2EXP,1,PassengerTransportHydrogenExport
TO,FRETRAGASIMP,1,FreightTransportGasolineImport
TO,FRETRAETHIMP,1,FreightTransportEthanolImport
TO,FRETRACETHIMP,1,FreightTransportCellulosic EthanolImport
TO,FRETRAPROIMP,1,FreightTransportPropaneImport
TO,FRETRADSLIMP,1,FreightTransportDieselImport
TO,FRETRABDSLIMP,1,FreightTransportBio DieselImport
TO,FRETRARDSLIMP,1,FreightTransportRenewable DieselImport
TO,FRETRAATFIMP,1,FreightTransportAviation Turbo FuelImport
TO,FRETRABJEIMP,1,FreightTransportBio JetImport
TO,FRETRASJEIMP,1,FreightTransportSynthetic JetImport
TO,FRETRAAGAIMP,1,FreightTransportAviation GasolineImport
TO,FRETRAHH2IMP,1,FreightTransportHydrogenImport
TO,FRETRAHFOIMP,1,FreightTransportHeavy Fuel OilImport
TO,FRETRAKERIMP,1,FreightTransportKeroseneImport
TO,FRETRALFOIMP,1,FreightTransportLight Fuel OilImport
TO,FRETRANGAIMP,1,FreightTransportNatural GasImport
TO,FRETRABMTNIMP,1,FreightTransportBio MethaneImport
TO,FRETRASGAIMP,1,FreightTransportSynthetic GasImport
TO,FRETRASMTNIMP,1,FreightTransportSynthetic MethaneImport
TO,FRETRAELCIMP16,1,FreightTransportElectricityImport16
TO,FRETRAELCIMP17,1,FreightTransportElectricityImport17
TO,FRETRAELCIMP18,1,FreightTransportElectricityImport18
TO,FRETRAELCIMP19,1,FreightTransportElectricityImport19
TO,FRETRAELCIMP20,1,FreightTransportElectricityImport20
TO,FRETRAELCIMP21,1,FreightTransportElectricityImport21
TO,FRETRAELCIMP22,1,FreightTransportElectricityImport22
TO,FRETRAELCIMP23,1,FreightTransportElectricityImport23
TO,FRETRAELCIMP24,1,FreightTransportElectricityImport24
TO,FRETRAELCIMP25,1,FreightTransportElectricityImport25
TO,FRETRAELCIMP26,1,FreightTransportElectricityImport26
