regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,IMPDSL,PASTRADSLIMP,2015,PASTRADSL,1,PassengerTransportDieselImport
TO,IMPBDSL,PASTRABDSLIMP,2015,PASTRABDSL,1,PassengerTransportBio DieselImport
TO,IMPETH,PASTRAETHIMP,2015,PASTRAETH,1,PassengerTransportEthanolImport
TO,IMPGAS,PASTRAGASIMP,2015,PASTRAGAS,1,PassengerTransportGasolineImport
TO,IMPRDSL,PASTRARDSLIMP,2015,PASTRARDSL,1,PassengerTransportRenewable DieselImport
TO,IMPNGA,PASTRANGAIMP,2015,PASTRANGA,1,PassengerTransportNatural GasImport
TO,IMPBMTN,PASTRABMTNIMP,2015,PASTRABMTN,1,PassengerTransportBio MethaneImport
TO,IMPSGA,PASTRASGAIMP,2015,PASTRASGA,1,PassengerTransportSynthetic GasImport
TO,IMPSMTN,PASTRASMTNIMP,2015,PASTRASMTN,1,PassengerTransportSynthetic MethaneImport
TO,IMPCETH,PASTRACETHIMP,2015,PASTRACETH,1,PassengerTransportCellulosic EthanolImport
TO,IMPPRO,PASTRAPROIMP,2015,PASTRAPRO,1,PassengerTransportPropaneImport
TO,IMPHH2,PASTRAHH2IMP,2015,PASTRAHH2,1,PassengerTransportHydrogenImport
TO,IMPELC,PASTRAELCIMP16,2015,PASTRAELC,1,PassengerTransportElectricityImport16
TO,IMPELC,PASTRAELCIMP17,2015,PASTRAELC,1,PassengerTransportElectricityImport17
TO,IMPELC,PASTRAELCIMP18,2015,PASTRAELC,1,PassengerTransportElectricityImport18
TO,IMPELC,PASTRAELCIMP19,2015,PASTRAELC,1,PassengerTransportElectricityImport19
TO,IMPELC,PASTRAELCIMP20,2015,PASTRAELC,1,PassengerTransportElectricityImport20
TO,IMPELC,PASTRAELCIMP21,2015,PASTRAELC,1,PassengerTransportElectricityImport21
TO,IMPELC,PASTRAELCIMP22,2015,PASTRAELC,1,PassengerTransportElectricityImport22
TO,IMPELC,PASTRAELCIMP23,2015,PASTRAELC,1,PassengerTransportElectricityImport23
TO,IMPELC,PASTRAELCIMP24,2015,PASTRAELC,1,PassengerTransportElectricityImport24
TO,IMPELC,PASTRAELCIMP25,2015,PASTRAELC,1,PassengerTransportElectricityImport25
TO,IMPELC,PASTRAELCIMP26,2015,PASTRAELC,1,PassengerTransportElectricityImport26
