regions,emis_comm,input_comm,tech,vintage,output_comm,emis_act,emis_act_units,emis_act_notes
TO,CO2e,IMPNGA,PASTRANGAIMP,2015,PASTRANGA,0.7353153941634564,t/TJ,PassengerTransportNatural GasImport
TO,CO2e,IMPBMTN,PASTRABMTNIMP,2015,PASTRABMTN,0.7353153941634564,t/TJ,PassengerTransportBio MethaneImport
TO,CO2e,IMPSGA,PASTRASGAIMP,2015,PASTRASGA,0.7353153941634564,t/TJ,PassengerTransportSynthetic GasImport
TO,CO2e,IMPSMTN,PASTRASMTNIMP,2015,PASTRASMTN,0.7353153941634564,t/TJ,PassengerTransportSynthetic MethaneImport
TO,CO2e,IMPELC,PASTRAELCIMP16,2015,PASTRAELC,10.508030550505026,t/TJ,PassengerTransportElectricityImport16
TO,CO2e,IMPELC,PASTRAELCIMP17,2015,PASTRAELC,10.548562783397431,t/TJ,PassengerTransportElectricityImport17
TO,CO2e,IMPELC,PASTRAELCIMP18,2015,PASTRAELC,10.58665583764178,t/TJ,PassengerTransportElectricityImport18
TO,CO2e,IMPELC,PASTRAELCIMP19,2015,PASTRAELC,10.62395538571719,t/TJ,PassengerTransportElectricityImport19
TO,CO2e,IMPELC,PASTRAELCIMP20,2015,PASTRAELC,10.660398694946394,t/TJ,PassengerTransportElectricityImport20
TO,CO2e,IMPELC,PASTRAELCIMP21,2015,PASTRAELC,9.379956826131458,t/TJ,PassengerTransportElectricityImport21
TO,CO2e,IMPELC,PASTRAELCIMP22,2015,PASTRAELC,10.274497581023661,t/TJ,PassengerTransportElectricityImport22
TO,CO2e,IMPELC,PASTRAELCIMP23,2015,PASTRAELC,15.49692615067503,t/TJ,PassengerTransportElectricityImport23
TO,CO2e,IMPELC,PASTRAELCIMP24,2015,PASTRAELC,15.605622654486497,t/TJ,PassengerTransportElectricityImport24
TO,CO2e,IMPELC,PASTRAELCIMP25,2015,PASTRAELC,19.842627641397623,t/TJ,PassengerTransportElectricityImport25
TO,CO2e,IMPELC,PASTRAELCIMP26,2015,PASTRAELC,19.25415883294992,t/TJ,PassengerTransportElectricityImport26
TO,CO2e,IMPELC,PASTRAELCIMP27,2015,PASTRAELC,17.975540981854458,t/TJ,PassengerTransportElectricityImport27
TO,CO2e,IMPELC,PASTRAELCIMP28,2015,PASTRAELC,19.237014599963903,t/TJ,PassengerTransportElectricityImport28
TO,CO2e,IMPELC,PASTRAELCIMP29,2015,PASTRAELC,18.00851494275887,t/TJ,PassengerTransportElectricityImport29
TO,CO2e,IMPELC,PASTRAELCIMP30,2015,PASTRAELC,18.566572657137655,t/TJ,PassengerTransportElectricityImport30
TO,CO2e,IMPELC,PASTRAELCIMP31,2015,PASTRAELC,20.063865054210215,t/TJ,PassengerTransportElectricityImport31
TO,CO2e,IMPELC,PASTRAELCIMP32,2015,PASTRAELC,18.68381836969691,t/TJ,PassengerTransportElectricityImport32
TO,CO2e,IMPELC,PASTRAELCIMP33,2015,PASTRAELC,18.021494223021026,t/TJ,PassengerTransportElectricityImport33
TO,CO2e,IMPELC,PASTRAELCIMP34,2015,PASTRAELC,18.20305884559688,t/TJ,PassengerTransportElectricityImport34
TO,CO2e,IMPELC,PASTRAELCIMP35,2015,PASTRAELC,17.515945272569944,t/TJ,PassengerTransportElectricityImport35
TO,CO2e,IMPELC,PASTRAELCIMP36,2015,PASTRAELC,17.80805867095863,t/TJ,PassengerTransportElectricityImport36
TO,CO2e,IMPELC,PASTRAELCIMP37,2015,PASTRAELC,19.05403646397603,t/TJ,PassengerTransportElectricityImport37
TO,CO2e,IMPELC,PASTRAELCIMP38,2015,PASTRAELC,18.950371467577313,t/TJ,PassengerTransportElectricityImport38
TO,CO2e,IMPELC,PASTRAELCIMP39,2015,PASTRAELC,19.934363188284507,t/TJ,PassengerTransportElectricityImport39
TO,CO2e,IMPELC,PASTRAELCIMP40,2015,PASTRAELC,19.31115065051789,t/TJ,PassengerTransportElectricityImport40
TO,CO2e,IMPELC,PASTRAELCIMP41,2015,PASTRAELC,19.025322494599894,t/TJ,PassengerTransportElectricityImport41
TO,CO2e,IMPELC,PASTRAELCIMP42,2015,PASTRAELC,18.86568766798815,t/TJ,PassengerTransportElectricityImport42
TO,CO2e,IMPELC,PASTRAELCIMP43,2015,PASTRAELC,18.68286646876729,t/TJ,PassengerTransportElectricityImport43
TO,CO2e,IMPELC,PASTRAELCIMP44,2015,PASTRAELC,18.529547060312588,t/TJ,PassengerTransportElectricityImport44
TO,CO2e,IMPELC,PASTRAELCIMP45,2015,PASTRAELC,18.419520861811616,t/TJ,PassengerTransportElectricityImport45
TO,CO2e,IMPELC,PASTRAELCIMP46,2015,PASTRAELC,18.32030108609374,t/TJ,PassengerTransportElectricityImport46
TO,CO2e,IMPELC,PASTRAELCIMP47,2015,PASTRAELC,18.282301139800644,t/TJ,PassengerTransportElectricityImport47
