regions,tech,life,life_notes
TO,PASTRADSLIMP,200,PassengerTransportDieselImport
TO,PASTRABDSLIMP,200,PassengerTransportBio DieselImport
TO,PASTRAETHIMP,200,PassengerTransportEthanolImport
TO,PASTRAGASIMP,200,PassengerTransportGasolineImport
TO,PASTRARDSLIMP,200,PassengerTransportRenewable DieselImport
TO,PASTRANGAIMP,200,PassengerTransportNatural GasImport
TO,PASTRABMTNIMP,200,PassengerTransportBio MethaneImport
TO,PASTRASGAIMP,200,PassengerTransportSynthetic GasImport
TO,PASTRASMTNIMP,200,PassengerTransportSynthetic MethaneImport
TO,PASTRACETHIMP,200,PassengerTransportCellulosic EthanolImport
TO,PASTRAPROIMP,200,PassengerTransportPropaneImport
TO,PASTRAHH2IMP,200,PassengerTransportHydrogenImport
TO,PASTRAELCIMP16,200,PassengerTransportElectricityImport16
TO,PASTRAELCIMP17,200,PassengerTransportElectricityImport17
TO,PASTRAELCIMP18,200,PassengerTransportElectricityImport18
TO,PASTRAELCIMP19,200,PassengerTransportElectricityImport19
TO,PASTRAELCIMP20,200,PassengerTransportElectricityImport20
TO,PASTRAELCIMP21,200,PassengerTransportElectricityImport21
TO,PASTRAELCIMP22,200,PassengerTransportElectricityImport22
TO,PASTRAELCIMP23,200,PassengerTransportElectricityImport23
TO,PASTRAELCIMP24,200,PassengerTransportElectricityImport24
TO,PASTRAELCIMP25,200,PassengerTransportElectricityImport25
TO,PASTRAELCIMP26,200,PassengerTransportElectricityImport26
TO,PASTRAELCIMP27,200,PassengerTransportElectricityImport27
TO,PASTRAELCIMP28,200,PassengerTransportElectricityImport28
TO,PASTRAELCIMP29,200,PassengerTransportElectricityImport29
TO,PASTRAELCIMP30,200,PassengerTransportElectricityImport30
TO,PASTRAELCIMP31,200,PassengerTransportElectricityImport31
TO,PASTRAELCIMP32,200,PassengerTransportElectricityImport32
TO,PASTRAELCIMP33,200,PassengerTransportElectricityImport33
TO,PASTRAELCIMP34,200,PassengerTransportElectricityImport34
TO,PASTRAELCIMP35,200,PassengerTransportElectricityImport35
TO,PASTRAELCIMP36,200,PassengerTransportElectricityImport36
TO,PASTRAELCIMP37,200,PassengerTransportElectricityImport37
TO,PASTRAELCIMP38,200,PassengerTransportElectricityImport38
TO,PASTRAELCIMP39,200,PassengerTransportElectricityImport39
TO,PASTRAELCIMP40,200,PassengerTransportElectricityImport40
TO,PASTRAELCIMP41,200,PassengerTransportElectricityImport41
TO,PASTRAELCIMP42,200,PassengerTransportElectricityImport42
TO,PASTRAELCIMP43,200,PassengerTransportElectricityImport43
TO,PASTRAELCIMP44,200,PassengerTransportElectricityImport44
TO,PASTRAELCIMP45,200,PassengerTransportElectricityImport45
TO,PASTRAELCIMP46,200,PassengerTransportElectricityImport46
TO,PASTRAELCIMP47,200,PassengerTransportElectricityImport47
TO,PASTRAELCIMP48,200,PassengerTransportElectricityImport48
TO,PASTRAELCIMP49,200,PassengerTransportElectricityImport49
TO,PASTRAELCIMP50,200,PassengerTransportElectricityImport50
TO,PASTRABMTNEXP,200,PassengerTransportBio MethaneExport
TO,PASTRACETHEXP,200,PassengerTransportCellulosic EthanolExport
TO,PASTRAHH2EXP,200,PassengerTransportHydrogenExport
TO,FRETRAGASIMP,200,FreightTransportGasolineImport
TO,FRETRAETHIMP,200,FreightTransportEthanolImport
TO,FRETRACETHIMP,200,FreightTransportCellulosic EthanolImport
TO,FRETRAPROIMP,200,FreightTransportPropaneImport
TO,FRETRADSLIMP,200,FreightTransportDieselImport
TO,FRETRABDSLIMP,200,FreightTransportBio DieselImport
TO,FRETRARDSLIMP,200,FreightTransportRenewable DieselImport
TO,FRETRAATFIMP,200,FreightTransportAviation Turbo FuelImport
TO,FRETRABJEIMP,200,FreightTransportBio JetImport
TO,FRETRASJEIMP,200,FreightTransportSynthetic JetImport
TO,FRETRAAGAIMP,200,FreightTransportAviation GasolineImport
TO,FRETRAHH2IMP,200,FreightTransportHydrogenImport
TO,FRETRAHFOIMP,200,FreightTransportHeavy Fuel OilImport
TO,FRETRAKERIMP,200,FreightTransportKeroseneImport
TO,FRETRALFOIMP,200,FreightTransportLight Fuel OilImport
TO,FRETRANGAIMP,200,FreightTransportNatural GasImport
