region,tech,group_name,act_fraction,tech_desc
TO,COMBDGBMTNIMP,TRAENE-BMTNIMP,1,
TO,FRETRABMTNIMP,TRAENE-BMTNIMP,1,
TO,INDBDGBMTNIMP,TRAENE-BMTNIMP,1,
TO,LDITRABMTNIMP,TRAENE-BMTNIMP,1,
TO,PASTRABMTNIMP,TRAENE-BMTNIMP,1,
TO,PUBBDGBMTNIMP,TRAENE-BMTNIMP,1,
TO,PUBTRABMTNIMP,TRAENE-BMTNIMP,1,
TO,RESBDGBMTNIMP,TRAENE-BMTNIMP,1,
TO,SLDWASBMTNIMP,TRAENE-BMTNIMP,1,
TO,WATWASBMTNIMP,TRAENE-BMTNIMP,1,
TO,FRETRABDSLIMP,TRAENE-BDSLIMP,1,
TO,LDITRABDSLIMP,TRAENE-BDSLIMP,1,
TO,PASTRABDSLIMP,TRAENE-BDSLIMP,1,
TO,PUBTRABDSLIMP,TRAENE-BDSLIMP,1,
