regions,periods,tech,group_name,max_share_g,tech_desc
TO,2023,COMBDGBMAIMP,TRAENE-COMBDG,0.0000000,
TO,2023,PUBBDGBMAIMP,TRAENE-PUBBDG,0.0000000,
TO,2023,RESBDGBMAIMP,TRAENE-RESBDG,0.0083184,
TO,2023,FRETRABMTNIMP,TRAENE-FRETRA,0.0000000,
TO,2023,PASTRABMTNIMP,TRAENE-PASTRA,0.0000016,
TO,2023,PUBTRABMTNIMP,TRAENE-PUBTRA,0.0000000,
TO,2023,COMBDGBWPIMP,TRAENE-COMBDG,0.0000000,
TO,2023,PUBBDGBWPIMP,TRAENE-PUBBDG,0.0000000,
TO,2023,RESBDGBWPIMP,TRAENE-RESBDG,0.0064015,
TO,2023,FRETRACETHIMP,TRAENE-FRETRA,0.0000212,
TO,2023,INDBDGCOAIMP,TRAENE-INDBDG,0.0044689,
TO,2023,INDBDGCOKIMP,TRAENE-INDBDG,0.0000000,
TO,2023,FRETRAFTDSLIMP,TRAENE-FRETRA,0.0001402,
TO,2023,PUBTRAFTDSLIMP,TRAENE-PUBTRA,0.0025288,
TO,2023,COMBDGHFOIMP,TRAENE-COMBDG,0.0002358,
TO,2023,FRETRAHFOIMP,TRAENE-FRETRA,0.0061852,
TO,2023,INDBDGHFOIMP,TRAENE-INDBDG,0.0058589,
TO,2023,PUBBDGHFOIMP,TRAENE-PUBBDG,0.0000621,
TO,2023,PUBTRAHFOIMP,TRAENE-PUBTRA,0.0000000,
TO,2023,COMBDGKERIMP,TRAENE-COMBDG,0.0002378,
TO,2023,FRETRAKERIMP,TRAENE-FRETRA,0.0000000,
TO,2023,PUBBDGKERIMP,TRAENE-PUBBDG,0.0000621,
TO,2023,PUBTRAKERIMP,TRAENE-PUBTRA,0.0000000,
TO,2023,RESBDGKERIMP,TRAENE-RESBDG,0.0007743,
TO,2023,COMBDGLFOIMP,TRAENE-COMBDG,0.0015765,
TO,2023,FRETRALFOIMP,TRAENE-FRETRA,0.0000000,
TO,2023,INDBDGLFOIMP,TRAENE-INDBDG,0.0249536,
TO,2023,PUBBDGLFOIMP,TRAENE-PUBBDG,0.0217101,
TO,2023,PUBTRALFOIMP,TRAENE-PUBTRA,0.0000000,
