regions,tech,group_name,act_fraction,tech_desc
TO,FRETRAAGAIMP,TRAENE-FRETRA,1,
TO,FRETRAATFIMP,TRAENE-FRETRA,1,
TO,FRETRABDSLIMP,TRAENE-FRETRA,1,
TO,PASTRABDSLIMP,TRAENE-PASTRA,1,
TO,PUBTRABDSLIMP,TRAENE-PUBTRA,1,
TO,FRETRABJEIMP,TRAENE-FRETRA,1,
TO,COMBDGBMAIMP,TRAENE-COMBDG,1,
TO,INDBDGBMAIMP,TRAENE-INDBDG,1,
TO,PUBBDGBMAIMP,TRAENE-PUBBDG,1,
TO,RESBDGBMAIMP,TRAENE-RESBDG,1,
TO,COMBDGBMTNIMP,TRAENE-COMBDG,1,
TO,FRETRABMTNIMP,TRAENE-FRETRA,1,
TO,INDBDGBMTNIMP,TRAENE-INDBDG,1,
TO,PASTRABMTNIMP,TRAENE-PASTRA,1,
TO,PUBBDGBMTNIMP,TRAENE-PUBBDG,1,
TO,PUBTRABMTNIMP,TRAENE-PUBTRA,1,
TO,RESBDGBMTNIMP,TRAENE-RESBDG,1,
TO,COMBDGBWPIMP,TRAENE-COMBDG,1,
TO,PUBBDGBWPIMP,TRAENE-PUBBDG,1,
TO,RESBDGBWPIMP,TRAENE-RESBDG,1,
TO,FRETRACETHIMP,TRAENE-FRETRA,1,
TO,PASTRACETHIMP,TRAENE-PASTRA,1,
TO,PUBTRACETHIMP,TRAENE-PUBTRA,1,
TO,INDBDGCOAIMP,TRAENE-INDBDG,1,
TO,INDBDGCOKIMP,TRAENE-INDBDG,1,
TO,FRETRADSLIMP,TRAENE-FRETRA,1,
TO,PASTRADSLIMP,TRAENE-PASTRA,1,
TO,PUBTRADSLIMP,TRAENE-PUBTRA,1,
TO,COMBDGELCIMP16,TRAENE-COMBDG,1,
TO,COMBDGELCIMP17,TRAENE-COMBDG,1,
TO,COMBDGELCIMP18,TRAENE-COMBDG,1,
TO,COMBDGELCIMP19,TRAENE-COMBDG,1,
TO,COMBDGELCIMP20,TRAENE-COMBDG,1,
TO,COMBDGELCIMP21,TRAENE-COMBDG,1,
TO,COMBDGELCIMP22,TRAENE-COMBDG,1,
TO,COMBDGELCIMP23,TRAENE-COMBDG,1,
TO,COMBDGELCIMP24,TRAENE-COMBDG,1,
TO,COMBDGELCIMP25,TRAENE-COMBDG,1,
TO,COMBDGELCIMP26,TRAENE-COMBDG,1,
TO,COMBDGELCIMP27,TRAENE-COMBDG,1,
TO,COMBDGELCIMP28,TRAENE-COMBDG,1,
TO,COMBDGELCIMP29,TRAENE-COMBDG,1,
TO,COMBDGELCIMP30,TRAENE-COMBDG,1,
TO,COMBDGELCIMP31,TRAENE-COMBDG,1,
TO,COMBDGELCIMP32,TRAENE-COMBDG,1,
TO,COMBDGELCIMP33,TRAENE-COMBDG,1,
TO,COMBDGELCIMP34,TRAENE-COMBDG,1,
TO,COMBDGELCIMP35,TRAENE-COMBDG,1,
TO,COMBDGELCIMP36,TRAENE-COMBDG,1,
TO,COMBDGELCIMP37,TRAENE-COMBDG,1,
TO,COMBDGELCIMP38,TRAENE-COMBDG,1,
TO,COMBDGELCIMP39,TRAENE-COMBDG,1,
TO,COMBDGELCIMP40,TRAENE-COMBDG,1,
