tech,flag,sector,tech_desc,tech_category
PASTRADSLIMP,r,TRAENE,PassengerTransportDieselImport,
PASTRABDSLIMP,r,TRAENE,PassengerTransportBio DieselImport,
PASTRAETHIMP,r,TRAENE,PassengerTransportEthanolImport,
PASTRAGASIMP,r,TRAENE,PassengerTransportGasolineImport,
PASTRARDSLIMP,r,TRAENE,PassengerTransportRenewable DieselImport,
PASTRANGAIMP,r,TRAENE,PassengerTransportNatural GasImport,
PASTRABMTNIMP,r,TRAENE,PassengerTransportBio MethaneImport,
PASTRASGAIMP,r,TRAENE,PassengerTransportSynthetic GasImport,
PASTRASMTNIMP,r,TRAENE,PassengerTransportSynthetic MethaneImport,
PASTRACETHIMP,r,TRAENE,PassengerTransportCellulosic EthanolImport,
PASTRAPROIMP,r,TRAENE,PassengerTransportPropaneImport,
PASTRAHH2IMP,r,TRAENE,PassengerTransportHydrogenImport,
PASTRAELCIMP16,r,TRAENE,PassengerTransportElectricityImport16,
PASTRAELCIMP17,r,TRAENE,PassengerTransportElectricityImport17,
PASTRAELCIMP18,r,TRAENE,PassengerTransportElectricityImport18,
PASTRAELCIMP19,r,TRAENE,PassengerTransportElectricityImport19,
PASTRAELCIMP20,r,TRAENE,PassengerTransportElectricityImport20,
PASTRAELCIMP21,r,TRAENE,PassengerTransportElectricityImport21,
PASTRAELCIMP22,r,TRAENE,PassengerTransportElectricityImport22,
PASTRAELCIMP23,r,TRAENE,PassengerTransportElectricityImport23,
PASTRAELCIMP24,r,TRAENE,PassengerTransportElectricityImport24,
PASTRAELCIMP25,r,TRAENE,PassengerTransportElectricityImport25,
PASTRAELCIMP26,r,TRAENE,PassengerTransportElectricityImport26,
PASTRAELCIMP27,r,TRAENE,PassengerTransportElectricityImport27,
PASTRAELCIMP28,r,TRAENE,PassengerTransportElectricityImport28,
PASTRAELCIMP29,r,TRAENE,PassengerTransportElectricityImport29,
PASTRAELCIMP30,r,TRAENE,PassengerTransportElectricityImport30,
PASTRAELCIMP31,r,TRAENE,PassengerTransportElectricityImport31,
PASTRAELCIMP32,r,TRAENE,PassengerTransportElectricityImport32,
PASTRAELCIMP33,r,TRAENE,PassengerTransportElectricityImport33,
PASTRAELCIMP34,r,TRAENE,PassengerTransportElectricityImport34,
PASTRAELCIMP35,r,TRAENE,PassengerTransportElectricityImport35,
PASTRAELCIMP36,r,TRAENE,PassengerTransportElectricityImport36,
PASTRAELCIMP37,r,TRAENE,PassengerTransportElectricityImport37,
PASTRAELCIMP38,r,TRAENE,PassengerTransportElectricityImport38,
PASTRAELCIMP39,r,TRAENE,PassengerTransportElectricityImport39,
PASTRAELCIMP40,r,TRAENE,PassengerTransportElectricityImport40,
PASTRAELCIMP41,r,TRAENE,PassengerTransportElectricityImport41,
PASTRAELCIMP42,r,TRAENE,PassengerTransportElectricityImport42,
PASTRAELCIMP43,r,TRAENE,PassengerTransportElectricityImport43,
PASTRAELCIMP44,r,TRAENE,PassengerTransportElectricityImport44,
PASTRAELCIMP45,r,TRAENE,PassengerTransportElectricityImport45,
PASTRAELCIMP46,r,TRAENE,PassengerTransportElectricityImport46,
PASTRAELCIMP47,r,TRAENE,PassengerTransportElectricityImport47,
PASTRAELCIMP48,r,TRAENE,PassengerTransportElectricityImport48,
PASTRAELCIMP49,r,TRAENE,PassengerTransportElectricityImport49,
PASTRAELCIMP50,r,TRAENE,PassengerTransportElectricityImport50,
PASTRABMTNEXP,p,TRAENE,PassengerTransportBio MethaneExport,
PASTRACETHEXP,p,TRAENE,PassengerTransportCellulosic EthanolExport,
PASTRAHH2EXP,p,TRAENE,PassengerTransportHydrogenExport,
FRETRAGASIMP,r,TRAENE,FreightTransportGasolineImport,
FRETRAETHIMP,r,TRAENE,FreightTransportEthanolImport,
FRETRACETHIMP,r,TRAENE,FreightTransportCellulosic EthanolImport,
FRETRAPROIMP,r,TRAENE,FreightTransportPropaneImport,
FRETRADSLIMP,r,TRAENE,FreightTransportDieselImport,
FRETRABDSLIMP,r,TRAENE,FreightTransportBio DieselImport,
FRETRARDSLIMP,r,TRAENE,FreightTransportRenewable DieselImport,
FRETRAATFIMP,r,TRAENE,FreightTransportAviation Turbo FuelImport,
FRETRABJEIMP,r,TRAENE,FreightTransportBio JetImport,
FRETRASJEIMP,r,TRAENE,FreightTransportSynthetic JetImport,
FRETRAAGAIMP,r,TRAENE,FreightTransportAviation GasolineImport,
FRETRAHH2IMP,r,TRAENE,FreightTransportHydrogenImport,
FRETRAHFOIMP,r,TRAENE,FreightTransportHeavy Fuel OilImport,
FRETRAKERIMP,r,TRAENE,FreightTransportKeroseneImport,
FRETRALFOIMP,r,TRAENE,FreightTransportLight Fuel OilImport,
FRETRANGAIMP,r,TRAENE,FreightTransportNatural GasImport,
