regions,periods,tech,vintage,cost_fixed,cost_fixed_units,cost_fixed_notes
TO,2023,RESBDGELCPRDPVDCEBEP_23,2023,30.3596404756814,k$/MW,ResidentialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,2023,RESBDGELCPRDPVDCEMEP_23,2023,30.3596404756814,k$/MW,ResidentialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,2023,RESBDGELCPRDPVDCEPOP_23,2023,30.3596404756814,k$/MW,ResidentialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,2023,COMBDGELCPRDPVDCEBEP_23,2023,20.020918832399545,k$/MW,CommercialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,2023,COMBDGELCPRDPVDCEMEP_23,2023,20.020918832399545,k$/MW,CommercialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,2023,COMBDGELCPRDPVDCEPOP_23,2023,20.020918832399545,k$/MW,CommercialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,2023,PUBBDGELCPRDPVDCEBEP_23,2023,20.020918832399545,k$/MW,PublicBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,2023,PUBBDGELCPRDPVDCEMEP_23,2023,20.020918832399545,k$/MW,PublicBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,2023,PUBBDGELCPRDPVDCEPOP_23,2023,20.020918832399545,k$/MW,PublicBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,2023,INDBDGELCPRDPVDCEBEP_23,2023,20.020918832399545,k$/MW,IndustrialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,2023,INDBDGELCPRDPVDCEMEP_23,2023,20.020918832399545,k$/MW,IndustrialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,2023,INDBDGELCPRDPVDCEPOP_23,2023,20.020918832399545,k$/MW,IndustrialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,2023,RESBDGELCPRDWTDCESTD_23,2023,38.665865999999994,k$/MW,ResidentialBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,2023,COMBDGELCPRDWTDCESTD_23,2023,283.133922,k$/MW,CommercialBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,2023,PUBBDGELCPRDWTDCESTD_23,2023,283.133922,k$/MW,PublicBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,2023,INDBDGELCPRDWTDCESTD_23,2023,283.133922,k$/MW,IndustrialBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,2023,RESBDGELCSTGBATDCE8HR_23,2023,91.57184938009738,k$/MW,ResidentialBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
TO,2023,RESBDGELCSTGBATDCE4HR_23,2023,117.51275226720153,k$/MW,ResidentialBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
TO,2023,COMBDGELCSTGBATDCE1HR_23,2023,30.53666361134625,k$/MW,CommercialBuildingElectricityStorageBatteryDecentralized1 Hour Autonomy
TO,2023,COMBDGELCSTGBATDCE4HR_23,2023,51.21846737142894,k$/MW,CommercialBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
TO,2023,COMBDGELCSTGBATDCE8HR_23,2023,78.79420571820586,k$/MW,CommercialBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
TO,2023,PUBBDGELCSTGBATDCE1HR_23,2023,30.53666361134625,k$/MW,PublicBuildingElectricityStorageBatteryDecentralized1 Hour Autonomy
TO,2023,PUBBDGELCSTGBATDCE4HR_23,2023,51.21846737142894,k$/MW,PublicBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
TO,2023,PUBBDGELCSTGBATDCE8HR_23,2023,78.79420571820586,k$/MW,PublicBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
TO,2023,INDBDGELCSTGBATDCE1HR_23,2023,30.53666361134625,k$/MW,IndustrialBuildingElectricityStorageBatteryDecentralized1 Hour Autonomy
TO,2023,INDBDGELCSTGBATDCE4HR_23,2023,51.21846737142894,k$/MW,IndustrialBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
TO,2023,INDBDGELCSTGBATDCE8HR_23,2023,78.79420571820586,k$/MW,IndustrialBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
TO,2024,RESBDGELCPRDPVDCEBEP_23,2023,28.296355397111867,k$/MW,ResidentialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,2024,RESBDGELCPRDPVDCEMEP_23,2023,28.296355397111867,k$/MW,ResidentialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,2024,RESBDGELCPRDPVDCEPOP_23,2023,28.296355397111867,k$/MW,ResidentialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,2024,COMBDGELCPRDPVDCEBEP_23,2023,18.88537685547439,k$/MW,CommercialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,2024,COMBDGELCPRDPVDCEMEP_23,2023,18.88537685547439,k$/MW,CommercialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,2024,COMBDGELCPRDPVDCEPOP_23,2023,18.88537685547439,k$/MW,CommercialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,2024,PUBBDGELCPRDPVDCEBEP_23,2023,18.88537685547439,k$/MW,PublicBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,2024,PUBBDGELCPRDPVDCEMEP_23,2023,18.88537685547439,k$/MW,PublicBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,2024,PUBBDGELCPRDPVDCEPOP_23,2023,18.88537685547439,k$/MW,PublicBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,2024,INDBDGELCPRDPVDCEBEP_23,2023,18.88537685547439,k$/MW,IndustrialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,2024,INDBDGELCPRDPVDCEMEP_23,2023,18.88537685547439,k$/MW,IndustrialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,2024,INDBDGELCPRDPVDCEPOP_23,2023,18.88537685547439,k$/MW,IndustrialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,2024,RESBDGELCPRDWTDCESTD_23,2023,38.665865999999994,k$/MW,ResidentialBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,2024,COMBDGELCPRDWTDCESTD_23,2023,283.133922,k$/MW,CommercialBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,2024,PUBBDGELCPRDWTDCESTD_23,2023,283.133922,k$/MW,PublicBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,2024,INDBDGELCPRDWTDCESTD_23,2023,283.133922,k$/MW,IndustrialBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,2024,RESBDGELCSTGBATDCE8HR_23,2023,83.14581971875776,k$/MW,ResidentialBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
TO,2024,RESBDGELCSTGBATDCE4HR_23,2023,107.04580810217944,k$/MW,ResidentialBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
TO,2024,COMBDGELCSTGBATDCE1HR_23,2023,27.702992649528387,k$/MW,CommercialBuildingElectricityStorageBatteryDecentralized1 Hour Autonomy
TO,2024,COMBDGELCSTGBATDCE4HR_23,2023,45.187404880492515,k$/MW,CommercialBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
TO,2024,COMBDGELCSTGBATDCE8HR_23,2023,68.49995452177801,k$/MW,CommercialBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
TO,2024,PUBBDGELCSTGBATDCE1HR_23,2023,27.702992649528387,k$/MW,PublicBuildingElectricityStorageBatteryDecentralized1 Hour Autonomy
TO,2024,PUBBDGELCSTGBATDCE4HR_23,2023,45.187404880492515,k$/MW,PublicBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
TO,2024,PUBBDGELCSTGBATDCE8HR_23,2023,68.49995452177801,k$/MW,PublicBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
TO,2024,INDBDGELCSTGBATDCE1HR_23,2023,27.702992649528387,k$/MW,IndustrialBuildingElectricityStorageBatteryDecentralized1 Hour Autonomy
TO,2024,INDBDGELCSTGBATDCE4HR_23,2023,45.187404880492515,k$/MW,IndustrialBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
TO,2024,INDBDGELCSTGBATDCE8HR_23,2023,68.49995452177801,k$/MW,IndustrialBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
TO,2025,RESBDGELCPRDPVDCEBEP_23,2023,26.23307031854233,k$/MW,ResidentialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,2025,RESBDGELCPRDPVDCEMEP_23,2023,26.23307031854233,k$/MW,ResidentialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,2025,RESBDGELCPRDPVDCEPOP_23,2023,26.23307031854233,k$/MW,ResidentialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,2025,COMBDGELCPRDPVDCEBEP_23,2023,17.74983487854924,k$/MW,CommercialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,2025,COMBDGELCPRDPVDCEMEP_23,2023,17.74983487854924,k$/MW,CommercialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,2025,COMBDGELCPRDPVDCEPOP_23,2023,17.74983487854924,k$/MW,CommercialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,2025,PUBBDGELCPRDPVDCEBEP_23,2023,17.74983487854924,k$/MW,PublicBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,2025,PUBBDGELCPRDPVDCEMEP_23,2023,17.74983487854924,k$/MW,PublicBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,2025,PUBBDGELCPRDPVDCEPOP_23,2023,17.74983487854924,k$/MW,PublicBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,2025,INDBDGELCPRDPVDCEBEP_23,2023,17.74983487854924,k$/MW,IndustrialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,2025,INDBDGELCPRDPVDCEMEP_23,2023,17.74983487854924,k$/MW,IndustrialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,2025,INDBDGELCPRDPVDCEPOP_23,2023,17.74983487854924,k$/MW,IndustrialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,2025,RESBDGELCPRDWTDCESTD_23,2023,38.665865999999994,k$/MW,ResidentialBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,2025,COMBDGELCPRDWTDCESTD_23,2023,283.133922,k$/MW,CommercialBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,2025,PUBBDGELCPRDWTDCESTD_23,2023,283.133922,k$/MW,PublicBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,2025,INDBDGELCPRDWTDCESTD_23,2023,283.133922,k$/MW,IndustrialBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,2025,RESBDGELCSTGBATDCE8HR_23,2023,74.71979005741817,k$/MW,ResidentialBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
TO,2025,RESBDGELCSTGBATDCE4HR_23,2023,96.57886393715734,k$/MW,ResidentialBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
