regions,tech,vintage,cost_invest,cost_invest_units,cost_invest_notes
TO,RESBDGELCPRDPVDCEBEP_23,2023,2734.2554251148986,k$/MW,ResidentialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,RESBDGELCPRDPVDCEMEP_23,2023,2734.2554251148986,k$/MW,ResidentialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,RESBDGELCPRDPVDCEPOP_23,2023,2734.2554251148986,k$/MW,ResidentialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,COMBDGELCPRDPVDCEBEP_23,2023,1790.5462667056302,k$/MW,CommercialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,COMBDGELCPRDPVDCEMEP_23,2023,1790.5462667056302,k$/MW,CommercialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,COMBDGELCPRDPVDCEPOP_23,2023,1790.5462667056302,k$/MW,CommercialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,PUBBDGELCPRDPVDCEBEP_23,2023,1790.5462667056302,k$/MW,PublicBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,PUBBDGELCPRDPVDCEMEP_23,2023,1790.5462667056302,k$/MW,PublicBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,PUBBDGELCPRDPVDCEPOP_23,2023,1790.5462667056302,k$/MW,PublicBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,INDBDGELCPRDPVDCEBEP_23,2023,1790.5462667056302,k$/MW,IndustrialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,INDBDGELCPRDPVDCEMEP_23,2023,1790.5462667056302,k$/MW,IndustrialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,INDBDGELCPRDPVDCEPOP_23,2023,1790.5462667056302,k$/MW,IndustrialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,RESBDGELCPRDWTDCESTD_23,2023,6485.887199999999,k$/MW,ResidentialBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,COMBDGELCPRDWTDCESTD_23,2023,1930.7987279999998,k$/MW,CommercialBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,PUBBDGELCPRDWTDCESTD_23,2023,1930.7987279999998,k$/MW,PublicBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,INDBDGELCPRDWTDCESTD_23,2023,1930.7987279999998,k$/MW,IndustrialBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,RESBDGELCSTGBATDCE8HR_23,2023,3662.8739752038946,k$/MW,ResidentialBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
TO,RESBDGELCSTGBATDCE4HR_23,2023,4700.510090688061,k$/MW,ResidentialBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
TO,COMBDGELCSTGBATDCE1HR_23,2023,1221.4665444538498,k$/MW,CommercialBuildingElectricityStorageBatteryDecentralized1 Hour Autonomy
TO,COMBDGELCSTGBATDCE4HR_23,2023,2048.7386948571575,k$/MW,CommercialBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
TO,COMBDGELCSTGBATDCE8HR_23,2023,3151.7682287282346,k$/MW,CommercialBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
TO,PUBBDGELCSTGBATDCE1HR_23,2023,1221.4665444538498,k$/MW,PublicBuildingElectricityStorageBatteryDecentralized1 Hour Autonomy
TO,PUBBDGELCSTGBATDCE4HR_23,2023,2048.7386948571575,k$/MW,PublicBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
TO,PUBBDGELCSTGBATDCE8HR_23,2023,3151.7682287282346,k$/MW,PublicBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
TO,INDBDGELCSTGBATDCE1HR_23,2023,1221.4665444538498,k$/MW,IndustrialBuildingElectricityStorageBatteryDecentralized1 Hour Autonomy
TO,INDBDGELCSTGBATDCE4HR_23,2023,2048.7386948571575,k$/MW,IndustrialBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
TO,INDBDGELCSTGBATDCE8HR_23,2023,3151.7682287282346,k$/MW,IndustrialBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
TO,RESBDGELCPRDPVDCEBEP_23,2024,2504.817722108198,k$/MW,ResidentialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,RESBDGELCPRDPVDCEMEP_23,2024,2504.817722108198,k$/MW,ResidentialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,RESBDGELCPRDPVDCEPOP_23,2024,2504.817722108198,k$/MW,ResidentialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,COMBDGELCPRDPVDCEBEP_23,2024,1645.6394923705109,k$/MW,CommercialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,COMBDGELCPRDPVDCEMEP_23,2024,1645.6394923705109,k$/MW,CommercialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,COMBDGELCPRDPVDCEPOP_23,2024,1645.6394923705109,k$/MW,CommercialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,PUBBDGELCPRDPVDCEBEP_23,2024,1645.6394923705109,k$/MW,PublicBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,PUBBDGELCPRDPVDCEMEP_23,2024,1645.6394923705109,k$/MW,PublicBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,PUBBDGELCPRDPVDCEPOP_23,2024,1645.6394923705109,k$/MW,PublicBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,INDBDGELCPRDPVDCEBEP_23,2024,1645.6394923705109,k$/MW,IndustrialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,INDBDGELCPRDPVDCEMEP_23,2024,1645.6394923705109,k$/MW,IndustrialBuildingElectricityProductionPV pannelDecentralizedMedium potential
