regions,tech,life,life_notes
TO,RESBDGELCPRDPVDCEBEP_23,30,ResidentialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,RESBDGELCPRDPVDCEMEP_23,30,ResidentialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,RESBDGELCPRDPVDCEPOP_23,30,ResidentialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,COMBDGELCPRDPVDCEBEP_23,30,CommercialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,COMBDGELCPRDPVDCEMEP_23,30,CommercialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,COMBDGELCPRDPVDCEPOP_23,30,CommercialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,PUBBDGELCPRDPVDCEBEP_23,30,PublicBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,PUBBDGELCPRDPVDCEMEP_23,30,PublicBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,PUBBDGELCPRDPVDCEPOP_23,30,PublicBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,INDBDGELCPRDPVDCEBEP_23,30,IndustrialBuildingElectricityProductionPV pannelDecentralizedBest potential
TO,INDBDGELCPRDPVDCEMEP_23,30,IndustrialBuildingElectricityProductionPV pannelDecentralizedMedium potential
TO,INDBDGELCPRDPVDCEPOP_23,30,IndustrialBuildingElectricityProductionPV pannelDecentralizedPoor potential
TO,RESBDGELCPRDWTDCESTD_23,30,ResidentialBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,COMBDGELCPRDWTDCESTD_23,30,CommercialBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,PUBBDGELCPRDWTDCESTD_23,30,PublicBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,INDBDGELCPRDWTDCESTD_23,30,IndustrialBuildingElectricityProductionWind TurbineDecentralizedStandard
TO,RESBDGELCSTGBATDCE8HR_23,20,ResidentialBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
TO,RESBDGELCSTGBATDCE4HR_23,20,ResidentialBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
TO,COMBDGELCSTGBATDCE1HR_23,20,CommercialBuildingElectricityStorageBatteryDecentralized1 Hour Autonomy
TO,COMBDGELCSTGBATDCE4HR_23,20,CommercialBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
TO,COMBDGELCSTGBATDCE8HR_23,20,CommercialBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
TO,PUBBDGELCSTGBATDCE1HR_23,20,PublicBuildingElectricityStorageBatteryDecentralized1 Hour Autonomy
TO,PUBBDGELCSTGBATDCE4HR_23,20,PublicBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
TO,PUBBDGELCSTGBATDCE8HR_23,20,PublicBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
TO,INDBDGELCSTGBATDCE1HR_23,20,IndustrialBuildingElectricityStorageBatteryDecentralized1 Hour Autonomy
TO,INDBDGELCSTGBATDCE4HR_23,20,IndustrialBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy
TO,INDBDGELCSTGBATDCE8HR_23,20,IndustrialBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy
