regions,periods,tech,maxcap,maxcap_units,maxcap_notes
TO,2023,RESBDGELCPRDPVDCEBEP_23,1233.966482,,
TO,2023,RESBDGELCPRDPVDCEMEP_23,1233.966482,,
TO,2023,RESBDGELCPRDPVDCEPOP_23,1233.966482,,
TO,2023,COMBDGELCPRDPVDCEBEP_23,805.1037917,,
TO,2023,COMBDGELCPRDPVDCEMEP_23,805.1037917,,
TO,2023,COMBDGELCPRDPVDCEPOP_23,805.1037917,,
TO,2023,PUBBDGELCPRDPVDCEBEP_23,116.2621921,,
TO,2023,PUBBDGELCPRDPVDCEMEP_23,116.2621921,,
TO,2023,PUBBDGELCPRDPVDCEPOP_23,116.2621921,,
TO,2023,INDBDGELCPRDPVDCEBEP_23,294.6675346,,
TO,2023,INDBDGELCPRDPVDCEMEP_23,294.6675346,,
TO,2023,INDBDGELCPRDPVDCEPOP_23,294.6675346,,
TO,2023,RESBDGELCPRDWTDCESTD_23,1007.319577,,
TO,2023,COMBDGELCPRDWTDCESTD_23,657.2275851,,
TO,2023,PUBBDGELCPRDWTDCESTD_23,94.90791188,,
TO,2023,INDBDGELCPRDWTDCESTD_23,240.5449262,,
TO,2024,RESBDGELCPRDPVDCEBEP_23,1233.966482,,
TO,2024,RESBDGELCPRDPVDCEMEP_23,1233.966482,,
TO,2024,RESBDGELCPRDPVDCEPOP_23,1233.966482,,
TO,2024,COMBDGELCPRDPVDCEBEP_23,805.1037917,,
TO,2024,COMBDGELCPRDPVDCEMEP_23,805.1037917,,
TO,2024,COMBDGELCPRDPVDCEPOP_23,805.1037917,,
TO,2024,PUBBDGELCPRDPVDCEBEP_23,116.2621921,,
TO,2024,PUBBDGELCPRDPVDCEMEP_23,116.2621921,,
TO,2024,PUBBDGELCPRDPVDCEPOP_23,116.2621921,,
TO,2024,INDBDGELCPRDPVDCEBEP_23,294.6675346,,
TO,2024,INDBDGELCPRDPVDCEMEP_23,294.6675346,,
TO,2024,INDBDGELCPRDPVDCEPOP_23,294.6675346,,
TO,2024,RESBDGELCPRDWTDCESTD_23,1007.319577,,
TO,2024,COMBDGELCPRDWTDCESTD_23,657.2275851,,
TO,2024,PUBBDGELCPRDWTDCESTD_23,94.90791188,,
TO,2024,INDBDGELCPRDWTDCESTD_23,240.5449262,,
TO,2025,RESBDGELCPRDPVDCEBEP_23,1233.966482,,
TO,2025,RESBDGELCPRDPVDCEMEP_23,1233.966482,,
TO,2025,RESBDGELCPRDPVDCEPOP_23,1233.966482,,
TO,2025,COMBDGELCPRDPVDCEBEP_23,805.1037917,,
TO,2025,COMBDGELCPRDPVDCEMEP_23,805.1037917,,
TO,2025,COMBDGELCPRDPVDCEPOP_23,805.1037917,,
TO,2025,PUBBDGELCPRDPVDCEBEP_23,116.2621921,,
TO,2025,PUBBDGELCPRDPVDCEMEP_23,116.2621921,,
TO,2025,PUBBDGELCPRDPVDCEPOP_23,116.2621921,,
TO,2025,INDBDGELCPRDPVDCEBEP_23,294.6675346,,
TO,2025,INDBDGELCPRDPVDCEMEP_23,294.6675346,,
TO,2025,INDBDGELCPRDPVDCEPOP_23,294.6675346,,
TO,2025,RESBDGELCPRDWTDCESTD_23,1007.319577,,
TO,2025,COMBDGELCPRDWTDCESTD_23,657.2275851,,
TO,2025,PUBBDGELCPRDWTDCESTD_23,94.90791188,,
TO,2025,INDBDGELCPRDWTDCESTD_23,240.5449262,,
TO,2026,RESBDGELCPRDPVDCEBEP_23,1233.966482,,
TO,2026,RESBDGELCPRDPVDCEMEP_23,1233.966482,,
