tech,flag,sector,tech_desc,tech_category
RESBDGELCPRDPVDCEBEP_23,p,ELCENE,ResidentialBuildingElectricityProductionPV pannelDecentralizedBest potential,
RESBDGELCPRDPVDCEMEP_23,p,ELCENE,ResidentialBuildingElectricityProductionPV pannelDecentralizedMedium potential,
RESBDGELCPRDPVDCEPOP_23,p,ELCENE,ResidentialBuildingElectricityProductionPV pannelDecentralizedPoor potential,
COMBDGELCPRDPVDCEBEP_23,p,ELCENE,CommercialBuildingElectricityProductionPV pannelDecentralizedBest potential,
COMBDGELCPRDPVDCEMEP_23,p,ELCENE,CommercialBuildingElectricityProductionPV pannelDecentralizedMedium potential,
COMBDGELCPRDPVDCEPOP_23,p,ELCENE,CommercialBuildingElectricityProductionPV pannelDecentralizedPoor potential,
PUBBDGELCPRDPVDCEBEP_23,p,ELCENE,PublicBuildingElectricityProductionPV pannelDecentralizedBest potential,
PUBBDGELCPRDPVDCEMEP_23,p,ELCENE,PublicBuildingElectricityProductionPV pannelDecentralizedMedium potential,
PUBBDGELCPRDPVDCEPOP_23,p,ELCENE,PublicBuildingElectricityProductionPV pannelDecentralizedPoor potential,
INDBDGELCPRDPVDCEBEP_23,p,ELCENE,IndustrialBuildingElectricityProductionPV pannelDecentralizedBest potential,
INDBDGELCPRDPVDCEMEP_23,p,ELCENE,IndustrialBuildingElectricityProductionPV pannelDecentralizedMedium potential,
INDBDGELCPRDPVDCEPOP_23,p,ELCENE,IndustrialBuildingElectricityProductionPV pannelDecentralizedPoor potential,
RESBDGELCPRDWTDCESTD_23,p,ELCENE,ResidentialBuildingElectricityProductionWind TurbineDecentralizedStandard,
COMBDGELCPRDWTDCESTD_23,p,ELCENE,CommercialBuildingElectricityProductionWind TurbineDecentralizedStandard,
PUBBDGELCPRDWTDCESTD_23,p,ELCENE,PublicBuildingElectricityProductionWind TurbineDecentralizedStandard,
INDBDGELCPRDWTDCESTD_23,p,ELCENE,IndustrialBuildingElectricityProductionWind TurbineDecentralizedStandard,
RESBDGELCSTGBATDCE8HR_23,ps,ELCENE,ResidentialBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy,
RESBDGELCSTGBATDCE4HR_23,ps,ELCENE,ResidentialBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy,
COMBDGELCSTGBATDCE1HR_23,ps,ELCENE,CommercialBuildingElectricityStorageBatteryDecentralized1 Hour Autonomy,
COMBDGELCSTGBATDCE4HR_23,ps,ELCENE,CommercialBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy,
COMBDGELCSTGBATDCE8HR_23,ps,ELCENE,CommercialBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy,
PUBBDGELCSTGBATDCE1HR_23,ps,ELCENE,PublicBuildingElectricityStorageBatteryDecentralized1 Hour Autonomy,
PUBBDGELCSTGBATDCE4HR_23,ps,ELCENE,PublicBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy,
PUBBDGELCSTGBATDCE8HR_23,ps,ELCENE,PublicBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy,
INDBDGELCSTGBATDCE1HR_23,ps,ELCENE,IndustrialBuildingElectricityStorageBatteryDecentralized1 Hour Autonomy,
INDBDGELCSTGBATDCE4HR_23,ps,ELCENE,IndustrialBuildingElectricityStorageBatteryDecentralized4 Hour Autonomy,
INDBDGELCSTGBATDCE8HR_23,ps,ELCENE,IndustrialBuildingElectricityStorageBatteryDecentralized8 Hour Autonomy,
