regions,tech,c2a,c2a_notes
TO,COMBDGDCOAVGPIP___CW_EX,31.56,CommercialBuildingDistrict CoolingToronto AveragePipe
TO,COMBDGDCOAVGSUB___CW_EX,31.56,CommercialBuildingDistrict CoolingToronto AverageSubstation
TO,COMBDGDCOPRDDLAENWELC_EX,31.56,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,COMBDGDCOPRDHEPLARHWP_EX,31.56,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,COMBDGDCOSTGHTSMEDCW_EX,31.56,CommercialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,COMBDGDHEAVGPIP___HW_EX,31.56,CommercialBuildingDistrict HeatingToronto AveragePipe
TO,COMBDGDHEAVGSUB___HW_EX,31.56,CommercialBuildingDistrict HeatingToronto AverageSubstation
TO,COMBDGDHEPRDBOILARNGA_EX,31.56,CommercialBuildingDistrict HeatingProductionBoilerLarge
TO,PUBBDGDCOAVGPIP___CW_EX,31.56,PublicBuildingDistrict CoolingToronto AveragePipe
TO,PUBBDGDCOAVGSUB___CW_EX,31.56,PublicBuildingDistrict CoolingToronto AverageSubstation
TO,PUBBDGDCOPRDHEPMEDELC_EX,31.56,PublicBuildingDistrict CoolingProductionHeat PumpMedium
TO,PUBBDGDCOPRDHEPMEDHWP_EX,31.56,PublicBuildingDistrict CoolingProductionHeat PumpMedium
TO,PUBBDGDHEAVGPIP___HW_EX,31.56,PublicBuildingDistrict HeatingToronto AveragePipe
TO,PUBBDGDHEAVGSUB___HW_EX,31.56,PublicBuildingDistrict HeatingToronto AverageSubstation
TO,PUBBDGDHEPRDBOILARNGA_EX,31.56,PublicBuildingDistrict HeatingProductionBoilerLarge
TO,RESBDGDCOAVGPIP___CW_EX,31.56,ResidentialBuildingDistrict CoolingToronto AveragePipe
TO,RESBDGDCOAVGSUB___CW_EX,31.56,ResidentialBuildingDistrict CoolingToronto AverageSubstation
TO,RESBDGDCOPRDDLAENWELC_EX,31.56,ResidentialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,RESBDGDCOPRDHEPLARHWP_EX,31.56,ResidentialBuildingDistrict CoolingProductionHeat PumpLarge
TO,RESBDGDCOSTGHTSMEDCW_EX,31.56,ResidentialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,RESBDGDHEAVGPIP___HW_EX,31.56,ResidentialBuildingDistrict HeatingToronto AveragePipe
TO,RESBDGDHEAVGSUB___HW_EX,31.56,ResidentialBuildingDistrict HeatingToronto AverageSubstation
TO,RESBDGDHEPRDBOILARNGA_EX,31.56,ResidentialBuildingDistrict HeatingProductionBoilerLarge
