regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,SEECOMBDGDCOCWST,COMBDGDCOAVGPIP___CW_EX,2015,SEECOMBDGDCOCWPP,0.9,CommercialBuildingDistrict CoolingToronto AveragePipe
TO,SEECOMBDGDCOCWP,COMBDGDCOAVGPIP___CW_EX,2015,SEECOMBDGDCOCWPP,0.9,CommercialBuildingDistrict CoolingToronto AveragePipe
TO,SEECOMBDGDCOCWPP,COMBDGDCOAVGSUB___CW_EX,2015,COMBDGDCO,0.99,CommercialBuildingDistrict CoolingToronto AverageSubstation
TO,COMBDGELC,COMBDGDCOAVGSUB___CW_EX,2015,COMBDGDCO,0.99,CommercialBuildingDistrict CoolingToronto AverageSubstation
TO,COMBDGELC,COMBDGDCOPRDDLAENWELC_EX,2015,SEECOMBDGDCOCWP,1.0,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,COMBDGETHOS,COMBDGDCOPRDDLAENWELC_EX,2015,SEECOMBDGDCOCWP,1.0,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,SEECOMBDGDHEHWP,COMBDGDCOPRDHEPLARHWP_EX,2015,SEECOMBDGDCOCWP,2.5,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,COMBDGELC,COMBDGDCOPRDHEPLARHWP_EX,2015,SEECOMBDGDCOCWP,0.715,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,SEECOMBDGDCOCWP,COMBDGDCOSTGHTSMEDCW_EX,2015,SEECOMBDGDCOCWST,0.98,CommercialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,SEECOMBDGDHEHWP,COMBDGDHEAVGPIP___HW_EX,2015,SEECOMBDGDHEHWPP,0.9,CommercialBuildingDistrict HeatingToronto AveragePipe
TO,SEECOMBDGDHEHWPP,COMBDGDHEAVGSUB___HW_EX,2015,COMBDGDHE,1.02,CommercialBuildingDistrict HeatingToronto AverageSubstation
TO,COMBDGELC,COMBDGDHEAVGSUB___HW_EX,2015,COMBDGDHE,1.02,CommercialBuildingDistrict HeatingToronto AverageSubstation
TO,SEECOMBDGDHEHWPP,COMBDGDHEAVGSUB___HW_EX,2015,SEECOMBDGDHEHWC,1.02,CommercialBuildingDistrict HeatingToronto AverageSubstation
