regions,tech,vintage,exist_cap,exis_cap_units,exist_cap_notes
TO,COMBDGDCOAVGPIP___CW_EX,2015,257.3313782991202,MW,CommercialBuildingDistrict CoolingToronto AveragePipe
TO,COMBDGDCOAVGSUB___CW_EX,2015,257.3313782991202,MW,CommercialBuildingDistrict CoolingToronto AverageSubstation
TO,COMBDGDCOPRDDLAENWELC_EX,2015,210.0,MW,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,COMBDGDCOPRDHEPLARHWP_EX,2015,47.33137829912023,MW,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,COMBDGDCOSTGHTSMEDCW_EX,2015,21.1143695014663,MW,CommercialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,COMBDGDHEAVGPIP___HW_EX,2015,469.5,MW,CommercialBuildingDistrict HeatingToronto AveragePipe
TO,COMBDGDHEAVGSUB___HW_EX,2015,469.5,MW,CommercialBuildingDistrict HeatingToronto AverageSubstation
TO,COMBDGDHEPRDBOILARNGA_EX,2015,359.7701149425287,MW,CommercialBuildingDistrict HeatingProductionBoilerLarge
TO,PUBBDGDCOAVGPIP___CW_EX,2015,95.01,MW,PublicBuildingDistrict CoolingToronto AveragePipe
TO,PUBBDGDCOAVGSUB___CW_EX,2015,95.01,MW,PublicBuildingDistrict CoolingToronto AverageSubstation
TO,PUBBDGDCOPRDHEPMEDELC_EX,2015,52.785923753665685,MW,PublicBuildingDistrict CoolingProductionHeat PumpMedium
TO,PUBBDGDCOPRDHEPMEDHWP_EX,2015,10.557184750733137,MW,PublicBuildingDistrict CoolingProductionHeat PumpMedium
TO,PUBBDGDHEAVGPIP___HW_EX,2015,334.44,MW,PublicBuildingDistrict HeatingToronto AveragePipe
TO,PUBBDGDHEAVGSUB___HW_EX,2015,334.44,MW,PublicBuildingDistrict HeatingToronto AverageSubstation
TO,PUBBDGDHEPRDBOILARNGA_EX,2015,231.161358,MW,PublicBuildingDistrict HeatingProductionBoilerLarge
TO,RESBDGDCOAVGPIP___CW_EX,2015,23.8909090909091,MW,ResidentialBuildingDistrict CoolingToronto AveragePipe
TO,RESBDGDCOAVGSUB___CW_EX,2015,23.8909090909091,MW,ResidentialBuildingDistrict CoolingToronto AverageSubstation
TO,RESBDGDCOPRDDLAENWELC_EX,2015,12.140762463343119,MW,ResidentialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,RESBDGDCOPRDHEPLARHWP_EX,2015,3.786510263929616,MW,ResidentialBuildingDistrict CoolingProductionHeat PumpLarge
TO,RESBDGDCOSTGHTSMEDCW_EX,2015,21.11436950146627,MW,ResidentialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,RESBDGDHEAVGPIP___HW_EX,2015,46.9356684981685,MW,ResidentialBuildingDistrict HeatingToronto AveragePipe
TO,RESBDGDHEAVGSUB___HW_EX,2015,46.9356684981685,MW,ResidentialBuildingDistrict HeatingToronto AverageSubstation
TO,RESBDGDHEPRDBOILARNGA_EX,2015,37.5485347985348,MW,ResidentialBuildingDistrict HeatingProductionBoilerLarge
