regions,tech,life,life_notes
TO,COMBDGDCOAVGPIP___CW_EX,30,CommercialBuildingDistrict CoolingToronto AveragePipe
TO,COMBDGDCOAVGSUB___CW_EX,30,CommercialBuildingDistrict CoolingToronto AverageSubstation
TO,COMBDGDCOPRDDLAENWELC_EX,20,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,COMBDGDCOPRDHEPLARHWP_EX,25,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,COMBDGDCOSTGHTSMEDCW_EX,25,CommercialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,COMBDGDHEAVGPIP___HW_EX,30,CommercialBuildingDistrict HeatingToronto AveragePipe
TO,COMBDGDHEAVGSUB___HW_EX,30,CommercialBuildingDistrict HeatingToronto AverageSubstation
TO,COMBDGDHEPRDBOILARNGA_EX,25,CommercialBuildingDistrict HeatingProductionBoilerLarge
TO,PUBBDGDCOAVGPIP___CW_EX,30,PublicBuildingDistrict CoolingToronto AveragePipe
TO,PUBBDGDCOAVGSUB___CW_EX,30,PublicBuildingDistrict CoolingToronto AverageSubstation
TO,PUBBDGDCOPRDHEPMEDELC_EX,20,PublicBuildingDistrict CoolingProductionHeat PumpMedium
TO,PUBBDGDCOPRDHEPMEDHWP_EX,25,PublicBuildingDistrict CoolingProductionHeat PumpMedium
TO,PUBBDGDHEAVGPIP___HW_EX,30,PublicBuildingDistrict HeatingToronto AveragePipe
TO,PUBBDGDHEAVGSUB___HW_EX,30,PublicBuildingDistrict HeatingToronto AverageSubstation
TO,PUBBDGDHEPRDBOILARNGA_EX,25,PublicBuildingDistrict HeatingProductionBoilerLarge
TO,RESBDGDCOAVGPIP___CW_EX,30,ResidentialBuildingDistrict CoolingToronto AveragePipe
TO,RESBDGDCOAVGSUB___CW_EX,30,ResidentialBuildingDistrict CoolingToronto AverageSubstation
TO,RESBDGDCOPRDDLAENWELC_EX,20,ResidentialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,RESBDGDCOPRDHEPLARHWP_EX,25,ResidentialBuildingDistrict CoolingProductionHeat PumpLarge
TO,RESBDGDCOSTGHTSMEDCW_EX,25,ResidentialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,RESBDGDHEAVGPIP___HW_EX,30,ResidentialBuildingDistrict HeatingToronto AveragePipe
TO,RESBDGDHEAVGSUB___HW_EX,30,ResidentialBuildingDistrict HeatingToronto AverageSubstation
TO,RESBDGDHEPRDBOILARNGA_EX,25,ResidentialBuildingDistrict HeatingProductionBoilerLarge
