tech,flag,sector,tech_desc,tech_category
COMBDGDCOAVGPIP___CW_EX,p,DISENE,CommercialBuildingDistrict CoolingToronto AveragePipe,
COMBDGDCOAVGSUB___CW_EX,p,DISENE,CommercialBuildingDistrict CoolingToronto AverageSubstation,
COMBDGDCOPRDDLAENWELC_EX,p,DISENE,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave,
COMBDGDCOPRDHEPLARHWP_EX,p,DISENE,CommercialBuildingDistrict CoolingProductionHeat PumpLarge,
COMBDGDCOSTGHTSMEDCW_EX,ps,DISENE,CommercialBuildingDistrict CoolingStorageHot Tank StorageMedium,
COMBDGDHEAVGPIP___HW_EX,p,DISENE,CommercialBuildingDistrict HeatingToronto AveragePipe,
COMBDGDHEAVGSUB___HW_EX,p,DISENE,CommercialBuildingDistrict HeatingToronto AverageSubstation,
COMBDGDHEPRDBOILARNGA_EX,p,DISENE,CommercialBuildingDistrict HeatingProductionBoilerLarge,
PUBBDGDCOAVGPIP___CW_EX,p,DISENE,PublicBuildingDistrict CoolingToronto AveragePipe,
PUBBDGDCOAVGSUB___CW_EX,p,DISENE,PublicBuildingDistrict CoolingToronto AverageSubstation,
PUBBDGDCOPRDHEPMEDELC_EX,p,DISENE,PublicBuildingDistrict CoolingProductionHeat PumpMedium,
PUBBDGDCOPRDHEPMEDHWP_EX,p,DISENE,PublicBuildingDistrict CoolingProductionHeat PumpMedium,
PUBBDGDHEAVGPIP___HW_EX,p,DISENE,PublicBuildingDistrict HeatingToronto AveragePipe,
PUBBDGDHEAVGSUB___HW_EX,p,DISENE,PublicBuildingDistrict HeatingToronto AverageSubstation,
PUBBDGDHEPRDBOILARNGA_EX,p,DISENE,PublicBuildingDistrict HeatingProductionBoilerLarge,
RESBDGDCOAVGPIP___CW_EX,p,DISENE,ResidentialBuildingDistrict CoolingToronto AveragePipe,
RESBDGDCOAVGSUB___CW_EX,p,DISENE,ResidentialBuildingDistrict CoolingToronto AverageSubstation,
RESBDGDCOPRDDLAENWELC_EX,p,DISENE,ResidentialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave,
RESBDGDCOPRDHEPLARHWP_EX,p,DISENE,ResidentialBuildingDistrict CoolingProductionHeat PumpLarge,
RESBDGDCOSTGHTSMEDCW_EX,ps,DISENE,ResidentialBuildingDistrict CoolingStorageHot Tank StorageMedium,
RESBDGDHEAVGPIP___HW_EX,p,DISENE,ResidentialBuildingDistrict HeatingToronto AveragePipe,
RESBDGDHEAVGSUB___HW_EX,p,DISENE,ResidentialBuildingDistrict HeatingToronto AverageSubstation,
RESBDGDHEPRDBOILARNGA_EX,p,DISENE,ResidentialBuildingDistrict HeatingProductionBoilerLarge,
