regions,periods,tech,vintage,cost_variable,cost_variable_units,cost_variable_notes
TO,2023,COMBDGDCOCONHEPLARHWC_23,2023,0.08276916666666666,k$/TJ,CommercialBuildingDistrict CoolingConsumptionHeat PumpLarge
TO,2023,COMBDGDCOCONHEPMEDHWC_23,2023,0.08276916666666666,k$/TJ,CommercialBuildingDistrict CoolingConsumptionHeat PumpMedium
TO,2023,COMBDGDCOCONHEPSMAHWC_23,2023,0.08276916666666666,k$/TJ,CommercialBuildingDistrict CoolingConsumptionHeat PumpSmall
TO,2023,COMBDGDCOPRDHEPENWELC_23,2023,0.70945,k$/TJ,CommercialBuildingDistrict CoolingProductionHeat PumpEnwave
TO,2023,COMBDGDCOPRDHEPLARELC_23,2023,0.70945,k$/TJ,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2023,COMBDGDCOPRDHEPLARHWP_23,2023,0.08276916666666666,k$/TJ,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2023,COMBDGDCOPRDHEPMEDELC_23,2023,0.70945,k$/TJ,CommercialBuildingDistrict CoolingProductionHeat PumpMedium
TO,2023,COMBDGDCOPRDHEPMEDHWP_23,2023,0.08276916666666666,k$/TJ,CommercialBuildingDistrict CoolingProductionHeat PumpMedium
TO,2023,COMBDGDCOPRDHEPSMAELC_23,2023,0.70945,k$/TJ,CommercialBuildingDistrict CoolingProductionHeat PumpSmall
TO,2023,COMBDGDCOPRDHEPSMAHWP_23,2023,0.08276916666666666,k$/TJ,CommercialBuildingDistrict CoolingProductionHeat PumpSmall
TO,2023,COMBDGDHECONHEPLARHWC_23,2023,0.08276916666666666,k$/TJ,CommercialBuildingDistrict HeatingConsumptionHeat PumpLarge
TO,2023,COMBDGDHECONHEPMEDHWC_23,2023,0.08276916666666666,k$/TJ,CommercialBuildingDistrict HeatingConsumptionHeat PumpMedium
TO,2023,COMBDGDHECONHEPSMAHWC_23,2023,0.08276916666666666,k$/TJ,CommercialBuildingDistrict HeatingConsumptionHeat PumpSmall
TO,2023,COMBDGDHEPRDBOILARELC_23,2023,0.07882777777777779,k$/TJ,CommercialBuildingDistrict HeatingProductionBoilerLarge
TO,2023,COMBDGDHEPRDBOILARNGA_23,2023,0.19706944444444446,k$/TJ,CommercialBuildingDistrict HeatingProductionBoilerLarge
TO,2023,COMBDGDHEPRDBOIMEDELC_23,2023,0.07882777777777779,k$/TJ,CommercialBuildingDistrict HeatingProductionBoilerMedium
TO,2023,COMBDGDHEPRDBOIMEDNGA_23,2023,0.19706944444444446,k$/TJ,CommercialBuildingDistrict HeatingProductionBoilerMedium
TO,2023,COMBDGDHEPRDBOISMAELC_23,2023,0.07882777777777779,k$/TJ,CommercialBuildingDistrict HeatingProductionBoilerSmall
TO,2023,COMBDGDHEPRDBOISMANGA_23,2023,0.19706944444444446,k$/TJ,CommercialBuildingDistrict HeatingProductionBoilerSmall
TO,2023,INDBDGDCOCONHEPLARHWC_23,2023,0.08276916666666666,k$/TJ,IndustrialBuildingDistrict CoolingConsumptionHeat PumpLarge
TO,2023,INDBDGDCOCONHEPMEDHWC_23,2023,0.08276916666666666,k$/TJ,IndustrialBuildingDistrict CoolingConsumptionHeat PumpMedium
TO,2023,INDBDGDCOCONHEPSMAHWC_23,2023,0.08276916666666666,k$/TJ,IndustrialBuildingDistrict CoolingConsumptionHeat PumpSmall
TO,2023,INDBDGDCOPRDHEPENWELC_23,2023,0.70945,k$/TJ,IndustrialBuildingDistrict CoolingProductionHeat PumpEnwave
