regions,tech,growthrate_max,growthrate_max_notes
TO,COMBDGDCOAVGPIP___CW_23,1.2,
TO,COMBDGDCOAVGSUB___CW_23,1.2,
TO,COMBDGDCOCONHEPLARHWC_23,1.2,
TO,COMBDGDCOCONHEPMEDHWC_23,1.2,
TO,COMBDGDCOCONHEPSMAHWC_23,1.2,
TO,COMBDGDCOPRDDLAENWELC_23,1.2,
TO,COMBDGDCOPRDHEPENWELC_23,1.2,
TO,COMBDGDCOPRDHEPLARELC_23,1.2,
TO,COMBDGDCOPRDHEPLARHWP_23,1.2,
TO,COMBDGDCOPRDHEPMEDELC_23,1.2,
TO,COMBDGDCOPRDHEPMEDHWP_23,1.2,
TO,COMBDGDCOPRDHEPSMAELC_23,1.2,
TO,COMBDGDCOPRDHEPSMAHWP_23,1.2,
TO,COMBDGDCOSTGHTSLARCW_23,1.2,
TO,COMBDGDCOSTGHTSMEDCW_23,1.2,
TO,COMBDGDCOSTGHTSSMACW_23,1.2,
TO,COMBDGDHEAVGPIP___HW_23,1.2,
TO,COMBDGDHEAVGSUB___HW_23,1.2,
TO,COMBDGDHECONHEPLARHWC_23,1.2,
TO,COMBDGDHECONHEPMEDHWC_23,1.2,
TO,COMBDGDHECONHEPSMAHWC_23,1.2,
TO,COMBDGDHEPRDBOILARELC_23,1.2,
TO,COMBDGDHEPRDBOILARNGA_23,1.2,
TO,COMBDGDHEPRDBOIMEDELC_23,1.2,
TO,COMBDGDHEPRDBOIMEDNGA_23,1.2,
TO,COMBDGDHEPRDBOISMAELC_23,1.2,
TO,COMBDGDHEPRDBOISMANGA_23,1.2,
TO,COMBDGDHEPRDGTULARNGA_23,1.2,
TO,COMBDGDHEPRDGTULARMNGA_23,1.2,
TO,COMBDGDHEPRDGTUMEDNGA_23,1.2,
TO,COMBDGDHEPRDGTUMEDMNGA_23,1.2,
TO,COMBDGDHEPRDGTUSMANGA_23,1.2,
TO,COMBDGDHEPRDGTUSMAMNGA_23,1.2,
TO,COMBDGDHEPRDICELARNGA_23,1.2,
TO,COMBDGDHEPRDICELARMNGA_23,1.2,
