regions,season_name,time_of_day_name,tech,cf_tech,cf_tech_notes
TO,W,D,LDITRABELCSTACOM120V,0.0885809606986834,Long DistanceTransportBattery electricityCharging StationCommercial120V2035
TO,W,D,LDITRABELCSTACOM240V,0.0885809606986834,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,W,D,LDITRABELCSTAPUB240V,0.0885809606986834,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,W,D,LDITRABELCSTARES120V,0.0442904803493417,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,W,D,LDITRABELCSTARES240V,0.0885809606986834,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,W,D,PASTRABELCSTACOM120V,0.0885809606986834,PassengerTransportBattery electricityCharging StationCommercial120V2035
TO,W,D,PASTRABELCSTACOM240V,0.0885809606986834,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,W,D,PASTRABELCSTAPUB240V,0.0885809606986834,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,W,D,PASTRABELCSTARES240V,0.0885809606986834,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,W,D,PASTRABELCSTARES120V,0.0442904803493417,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,W,D,PUBTRABELCSTACOM120V,0.0885809606986834,PublicTransportBattery electricityCharging StationCommercial120V2035
TO,W,D,PUBTRABELCSTACOM240V,0.0885809606986834,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,W,D,PUBTRABELCSTAPUB240V,0.0885809606986834,PublicTransportBattery electricityCharging StationPublic240V2023
TO,W,D,PUBTRABELCSTARES120V,0.0442904803493417,PublicTransportBattery electricityCharging StationResidential120V2023
TO,W,D,PUBTRABELCSTARES240V,0.0885809606986834,PublicTransportBattery electricityCharging StationResidential240V2023
TO,W,D,FRETRABELCFSTAFREFA,0.0885809606986834,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,W,D,FRETRABELCFSTAFRESL,0.0885809606986834,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,W,D,FRETRABELCSTACOM120V,0.0885809606986834,FreightTransportBattery electricityCharging StationCommercial120V2035
TO,W,D,FRETRABELCSTACOM240V,0.0885809606986834,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,W,D,PUBTRABELCFSTAFREFA,0.0885809606986834,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,W,D,PUBTRABELCFSTAFRESL,0.0885809606986834,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,W,N,LDITRABELCSTACOM120V,0.300757869178514,Long DistanceTransportBattery electricityCharging StationCommercial120V2035
TO,W,N,LDITRABELCSTACOM240V,0.300757869178514,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
