regions,periods,tech,vintage,cost_fixed,cost_fixed_units,cost_fixed_notes
TO,2023,LDITRABELCSTACOM240V,2023,34.90776,k$/MW,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,2023,LDITRABELCSTAPUB240V,2023,34.90776,k$/MW,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,2023,LDITRABELCSTARES120V,2023,22.956136363636364,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,2023,LDITRABELCSTARES240V,2023,34.90776,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,2023,PASTRABELCSTACOM240V,2023,34.90776,k$/MW,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,2023,PASTRABELCSTAPUB240V,2023,34.90776,k$/MW,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,2023,PASTRABELCSTARES240V,2023,34.90776,k$/MW,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,2023,PASTRABELCSTARES120V,2023,22.956136363636364,k$/MW,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,2023,PUBTRABELCSTACOM240V,2023,34.90776,k$/MW,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,2023,PUBTRABELCSTAPUB240V,2023,34.90776,k$/MW,PublicTransportBattery electricityCharging StationPublic240V2023
TO,2023,PUBTRABELCSTARES120V,2023,22.956136363636364,k$/MW,PublicTransportBattery electricityCharging StationResidential120V2023
TO,2023,PUBTRABELCSTARES240V,2023,34.90776,k$/MW,PublicTransportBattery electricityCharging StationResidential240V2023
TO,2023,FRETRABELCFSTAFREFA,2023,132.7830303030303,k$/MW,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,2023,FRETRABELCFSTAFRESL,2023,121.97345454545454,k$/MW,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,2023,FRETRABELCSTACOM240V,2023,34.90776,k$/MW,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,2023,PUBTRABELCFSTAFREFA,2023,132.7830303030303,k$/MW,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,2023,PUBTRABELCFSTAFRESL,2023,121.97345454545454,k$/MW,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,2024,LDITRABELCSTACOM240V,2023,34.325964,k$/MW,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,2024,LDITRABELCSTAPUB240V,2023,34.325964,k$/MW,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,2024,LDITRABELCSTARES120V,2023,22.573534090909092,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,2024,LDITRABELCSTARES240V,2023,34.325964,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,2024,PASTRABELCSTACOM240V,2023,34.325964,k$/MW,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,2024,PASTRABELCSTAPUB240V,2023,34.325964,k$/MW,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,2024,PASTRABELCSTARES240V,2023,34.325964,k$/MW,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,2024,PASTRABELCSTARES120V,2023,22.573534090909092,k$/MW,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,2024,PUBTRABELCSTACOM240V,2023,34.325964,k$/MW,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,2024,PUBTRABELCSTAPUB240V,2023,34.325964,k$/MW,PublicTransportBattery electricityCharging StationPublic240V2023
TO,2024,PUBTRABELCSTARES120V,2023,22.573534090909092,k$/MW,PublicTransportBattery electricityCharging StationResidential120V2023
TO,2024,PUBTRABELCSTARES240V,2023,34.325964,k$/MW,PublicTransportBattery electricityCharging StationResidential240V2023
TO,2024,FRETRABELCFSTAFREFA,2023,129.91353535353537,k$/MW,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,2024,FRETRABELCFSTAFRESL,2023,118.96903030303031,k$/MW,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,2024,FRETRABELCSTACOM240V,2023,34.325964,k$/MW,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,2024,PUBTRABELCFSTAFREFA,2023,129.91353535353537,k$/MW,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,2024,PUBTRABELCFSTAFRESL,2023,118.96903030303031,k$/MW,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,2025,LDITRABELCSTACOM240V,2023,33.744168,k$/MW,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,2025,LDITRABELCSTAPUB240V,2023,33.744168,k$/MW,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,2025,LDITRABELCSTARES120V,2023,22.19093181818182,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential120V2023
