regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,LDITRAELC,LDITRABELCSTACOM240V,2023,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRAELC,LDITRABELCSTAPUB240V,2023,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRAELC,LDITRABELCSTARES120V,2023,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRAELC,LDITRABELCSTARES240V,2023,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRAELC,PASTRABELCSTACOM240V,2023,PASTRABELC,1,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRAELC,PASTRABELCSTAPUB240V,2023,PASTRABELC,1,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRAELC,PASTRABELCSTARES240V,2023,PASTRABELC,1,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRAELC,PASTRABELCSTARES120V,2023,PASTRABELC,1,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRAELC,PUBTRABELCSTACOM240V,2023,PUBTRABELC,1,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRAELC,PUBTRABELCSTAPUB240V,2023,PUBTRABELC,1,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRAELC,PUBTRABELCSTARES120V,2023,PUBTRABELC,1,PublicTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRAELC,PUBTRABELCSTARES240V,2023,PUBTRABELC,1,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRAELC,FRETRABELCFSTAFREFA,2023,FRETRABELCF,1,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRAELC,FRETRABELCFSTAFRESL,2023,FRETRABELCF,1,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRAELC,FRETRABELCSTACOM240V,2023,FRETRABELC,1,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRAELC,PUBTRABELCFSTAFREFA,2023,PUBTRABELCF,1,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRAELC,PUBTRABELCFSTAFRESL,2023,PUBTRABELCF,1,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRAELC,LDITRABELCSTACOM240V,2024,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRAELC,LDITRABELCSTAPUB240V,2024,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationPublic240V2023
