tech,flag,sector,tech_desc,tech_category
LDITRABELCSTACOM120V,p,STAENE,Long DistanceTransportBattery electricityCharging StationCommercial120V2035,
LDITRABELCSTACOM240V,p,STAENE,Long DistanceTransportBattery electricityCharging StationCommercial240V2023,
LDITRABELCSTAPUB240V,p,STAENE,Long DistanceTransportBattery electricityCharging StationPublic240V2023,
LDITRABELCSTARES120V,p,STAENE,Long DistanceTransportBattery electricityCharging StationResidential120V2023,
LDITRABELCSTARES240V,p,STAENE,Long DistanceTransportBattery electricityCharging StationResidential240V2023,
PASTRABELCSTACOM120V,p,STAENE,PassengerTransportBattery electricityCharging StationCommercial120V2035,
PASTRABELCSTACOM240V,p,STAENE,PassengerTransportBattery electricityCharging StationCommercial240V2023,
PASTRABELCSTAPUB240V,p,STAENE,PassengerTransportBattery electricityCharging StationPublic240V2023,
PASTRABELCSTARES240V,p,STAENE,PassengerTransportBattery electricityCharging StationResidential240V2023,
PASTRABELCSTARES120V,p,STAENE,PassengerTransportBattery electricityCharging StationResidential120V2023,
PUBTRABELCSTACOM120V,p,STAENE,PublicTransportBattery electricityCharging StationCommercial120V2035,
PUBTRABELCSTACOM240V,p,STAENE,PublicTransportBattery electricityCharging StationCommercial240V2023,
PUBTRABELCSTAPUB240V,p,STAENE,PublicTransportBattery electricityCharging StationPublic240V2023,
PUBTRABELCSTARES120V,p,STAENE,PublicTransportBattery electricityCharging StationResidential120V2023,
PUBTRABELCSTARES240V,p,STAENE,PublicTransportBattery electricityCharging StationResidential240V2023,
FRETRABELCFSTAFREFA,p,STAENE,FreightTransportBattery electricity freightCharging StationFreightFast2023,
FRETRABELCFSTAFRESL,p,STAENE,FreightTransportBattery electricity freightCharging StationFreightSlow2023,
FRETRABELCSTACOM120V,p,STAENE,FreightTransportBattery electricityCharging StationCommercial120V2035,
FRETRABELCSTACOM240V,p,STAENE,FreightTransportBattery electricityCharging StationCommercial240V2023,
PUBTRABELCFSTAFREFA,p,STAENE,PublicTransportBattery electricity freightCharging StationFreightFast2023,
PUBTRABELCFSTAFRESL,p,STAENE,PublicTransportBattery electricity freightCharging StationFreightSlow2023,
