regions,periods,tech,maxcap,maxcap_units,maxcap_notes
TO,2023,RESBDGELCPRDPVDCEBEP_23,0,,
TO,2023,RESBDGELCPRDPVDCEMEP_23,0,,
TO,2023,RESBDGELCPRDPVDCEPOP_23,0,,
TO,2023,COMBDGELCPRDPVDCEBEP_23,0,,
TO,2023,COMBDGELCPRDPVDCEMEP_23,0,,
TO,2023,COMBDGELCPRDPVDCEPOP_23,0,,
TO,2023,PUBBDGELCPRDPVDCEBEP_23,0,,
TO,2023,PUBBDGELCPRDPVDCEMEP_23,0,,
TO,2023,PUBBDGELCPRDPVDCEPOP_23,0,,
TO,2023,INDBDGELCPRDPVDCEBEP_23,0,,
TO,2023,INDBDGELCPRDPVDCEMEP_23,0,,
TO,2023,INDBDGELCPRDPVDCEPOP_23,0,,
TO,2023,RESBDGELCPRDWTDCESTD_23,0,,
TO,2023,COMBDGELCPRDWTDCESTD_23,0,,
TO,2023,PUBBDGELCPRDWTDCESTD_23,0,,
TO,2023,INDBDGELCPRDWTDCESTD_23,0,,
TO,2023,RESBDGELCSTGBATDCE8HR_23,0,,
TO,2023,RESBDGELCSTGBATDCE4HR_23,0,,
TO,2023,COMBDGELCSTGBATDCE1HR_23,0,,
TO,2023,COMBDGELCSTGBATDCE4HR_23,0,,
TO,2023,COMBDGELCSTGBATDCE8HR_23,0,,
TO,2023,PUBBDGELCSTGBATDCE1HR_23,0,,
TO,2023,PUBBDGELCSTGBATDCE4HR_23,0,,
TO,2023,PUBBDGELCSTGBATDCE8HR_23,0,,
TO,2023,INDBDGELCSTGBATDCE1HR_23,0,,
TO,2023,INDBDGELCSTGBATDCE4HR_23,0,,
TO,2023,INDBDGELCSTGBATDCE8HR_23,0,,
TO,2024,RESBDGELCPRDPVDCEBEP_23,0,,
TO,2024,RESBDGELCPRDPVDCEMEP_23,0,,
TO,2024,RESBDGELCPRDPVDCEPOP_23,0,,
TO,2024,COMBDGELCPRDPVDCEBEP_23,0,,
TO,2024,COMBDGELCPRDPVDCEMEP_23,0,,
TO,2024,COMBDGELCPRDPVDCEPOP_23,0,,
TO,2024,PUBBDGELCPRDPVDCEBEP_23,0,,
TO,2024,PUBBDGELCPRDPVDCEMEP_23,0,,
TO,2024,PUBBDGELCPRDPVDCEPOP_23,0,,
TO,2024,INDBDGELCPRDPVDCEBEP_23,0,,
TO,2024,INDBDGELCPRDPVDCEMEP_23,0,,
TO,2024,INDBDGELCPRDPVDCEPOP_23,0,,
TO,2024,RESBDGELCPRDWTDCESTD_23,0,,
TO,2024,COMBDGELCPRDWTDCESTD_23,0,,
TO,2024,PUBBDGELCPRDWTDCESTD_23,0,,
TO,2024,INDBDGELCPRDWTDCESTD_23,0,,
