periods,group_name,min_act_g,tech_desc
2023,BAU-ENE-1-FRETRA,23245.07369,
2023,BAU-ENE-1-PASTRA,67015.23795,
2023,BAU-ENE-1-PUBTRA,1403.805733,
2023,BAU-ENE-1-COMBDG,105549.6208,
2023,BAU-ENE-1-INDBDG,20996.061,
2023,BAU-ENE-1-PUBBDG,17366.06243,
2023,BAU-ENE-1-RESBDG,97857.56765,
2024,BAU-ENE-1-FRETRA,23000.3887,
2024,BAU-ENE-1-PASTRA,66309.81439,
2024,BAU-ENE-1-PUBTRA,1389.028831,
2024,BAU-ENE-1-COMBDG,104438.5722,
2024,BAU-ENE-1-INDBDG,20775.04983,
2024,BAU-ENE-1-PUBBDG,17183.26177,
2024,BAU-ENE-1-RESBDG,96827.48799,
2025,BAU-ENE-1-FRETRA,22755.70371,
2025,BAU-ENE-1-PASTRA,65604.39083,
2025,BAU-ENE-1-PUBTRA,1374.251928,
2025,BAU-ENE-1-COMBDG,103327.5236,
2025,BAU-ENE-1-INDBDG,20554.03866,
2025,BAU-ENE-1-PUBBDG,17000.46111,
2025,BAU-ENE-1-RESBDG,95797.40833,
2026,BAU-ENE-1-FRETRA,22511.01873,
2026,BAU-ENE-1-PASTRA,64898.96728,
2026,BAU-ENE-1-PUBTRA,1359.475026,
2026,BAU-ENE-1-COMBDG,102216.4749,
2026,BAU-ENE-1-INDBDG,20333.0275,
2026,BAU-ENE-1-PUBBDG,16817.66046,
2026,BAU-ENE-1-RESBDG,94767.32867,
2027,BAU-ENE-1-FRETRA,22266.33374,
2027,BAU-ENE-1-PASTRA,64193.54372,
2027,BAU-ENE-1-PUBTRA,1344.698123,
2027,BAU-ENE-1-COMBDG,101105.4263,
2027,BAU-ENE-1-INDBDG,20112.01633,
2027,BAU-ENE-1-PUBBDG,16634.8598,
2027,BAU-ENE-1-RESBDG,93737.24901,
2028,BAU-ENE-1-FRETRA,22021.64875,
2028,BAU-ENE-1-PASTRA,63488.12016,
2028,BAU-ENE-1-PUBTRA,1329.921221,
2028,BAU-ENE-1-COMBDG,99994.37763,
2028,BAU-ENE-1-INDBDG,19891.00516,
2028,BAU-ENE-1-PUBBDG,16452.05914,
2028,BAU-ENE-1-RESBDG,92707.16935,
2029,BAU-ENE-1-FRETRA,21776.96377,
2029,BAU-ENE-1-PASTRA,62782.6966,
2029,BAU-ENE-1-PUBTRA,1315.144318,
2029,BAU-ENE-1-COMBDG,98883.32899,
2029,BAU-ENE-1-INDBDG,19669.99399,
2029,BAU-ENE-1-PUBBDG,16269.25849,
2029,BAU-ENE-1-RESBDG,91677.08969,
2030,BAU-ENE-1-FRETRA,21532.27878,
2030,BAU-ENE-1-PASTRA,62077.27305,
2030,BAU-ENE-1-PUBTRA,1300.367416,
2030,BAU-ENE-1-COMBDG,97772.28035,
2030,BAU-ENE-1-INDBDG,19448.98282,
2030,BAU-ENE-1-PUBBDG,16086.45783,
2030,BAU-ENE-1-RESBDG,90647.01003,
2031,BAU-ENE-1-FRETRA,21287.5938,
2031,BAU-ENE-1-PASTRA,61371.84949,
2031,BAU-ENE-1-PUBTRA,1285.590513,
2031,BAU-ENE-1-COMBDG,96661.23171,
2031,BAU-ENE-1-INDBDG,19227.97165,
2031,BAU-ENE-1-PUBBDG,15903.65717,
2031,BAU-ENE-1-RESBDG,89616.93037,
2032,BAU-ENE-1-FRETRA,21042.90881,
2032,BAU-ENE-1-PASTRA,60666.42593,
2032,BAU-ENE-1-PUBTRA,1270.813611,
2032,BAU-ENE-1-COMBDG,95550.18307,
2032,BAU-ENE-1-INDBDG,19006.96048,
2032,BAU-ENE-1-PUBBDG,15720.85651,
2032,BAU-ENE-1-RESBDG,88586.85071,
2033,BAU-ENE-1-FRETRA,20798.22382,
2033,BAU-ENE-1-PASTRA,59961.00238,
2033,BAU-ENE-1-PUBTRA,1256.036708,
2033,BAU-ENE-1-COMBDG,94439.13443,
2033,BAU-ENE-1-INDBDG,18785.94932,
2033,BAU-ENE-1-PUBBDG,15538.05586,
2033,BAU-ENE-1-RESBDG,87556.77105,
2034,BAU-ENE-1-FRETRA,20553.53884,
2034,BAU-ENE-1-PASTRA,59255.57882,
2034,BAU-ENE-1-PUBTRA,1241.259806,
2034,BAU-ENE-1-COMBDG,93328.08579,
2034,BAU-ENE-1-INDBDG,18564.93815,
2034,BAU-ENE-1-PUBBDG,15355.2552,
2034,BAU-ENE-1-RESBDG,86526.69139,
2035,BAU-ENE-1-FRETRA,20308.85385,
2035,BAU-ENE-1-PASTRA,58550.15526,
2035,BAU-ENE-1-PUBTRA,1226.482904,
2035,BAU-ENE-1-COMBDG,92217.03715,
2035,BAU-ENE-1-INDBDG,18343.92698,
2035,BAU-ENE-1-PUBBDG,15172.45454,
2035,BAU-ENE-1-RESBDG,85496.61173,
2036,BAU-ENE-1-FRETRA,20064.16887,
2036,BAU-ENE-1-PASTRA,57844.7317,
2036,BAU-ENE-1-PUBTRA,1211.706001,
2036,BAU-ENE-1-COMBDG,91105.98851,
2036,BAU-ENE-1-INDBDG,18122.91581,
2036,BAU-ENE-1-PUBBDG,14989.65389,
2036,BAU-ENE-1-RESBDG,84466.53207,
2037,BAU-ENE-1-FRETRA,19819.48388,
2037,BAU-ENE-1-PASTRA,57139.30815,
2037,BAU-ENE-1-PUBTRA,1196.929099,
2037,BAU-ENE-1-COMBDG,89994.93987,
2037,BAU-ENE-1-INDBDG,17901.90464,
2037,BAU-ENE-1-PUBBDG,14806.85323,
2037,BAU-ENE-1-RESBDG,83436.45241,
2038,BAU-ENE-1-FRETRA,19574.79889,
2038,BAU-ENE-1-PASTRA,56433.88459,
2038,BAU-ENE-1-PUBTRA,1182.152196,
2038,BAU-ENE-1-COMBDG,88883.89123,
2038,BAU-ENE-1-INDBDG,17680.89347,
2038,BAU-ENE-1-PUBBDG,14624.05257,
2038,BAU-ENE-1-RESBDG,82406.37276,
2039,BAU-ENE-1-FRETRA,19330.11391,
2039,BAU-ENE-1-PASTRA,55728.46103,
2039,BAU-ENE-1-PUBTRA,1167.375294,
2039,BAU-ENE-1-COMBDG,87772.84259,
2039,BAU-ENE-1-INDBDG,17459.88231,
2039,BAU-ENE-1-PUBBDG,14441.25191,
2039,BAU-ENE-1-RESBDG,81376.2931,
2040,BAU-ENE-1-FRETRA,19085.42892,
2040,BAU-ENE-1-PASTRA,55023.03747,
2040,BAU-ENE-1-PUBTRA,1152.598391,
2040,BAU-ENE-1-COMBDG,86661.79395,
2040,BAU-ENE-1-INDBDG,17238.87114,
2040,BAU-ENE-1-PUBBDG,14258.45126,
2040,BAU-ENE-1-RESBDG,80346.21344,
2041,BAU-ENE-1-FRETRA,18840.74393,
2041,BAU-ENE-1-PASTRA,54317.61392,
2041,BAU-ENE-1-PUBTRA,1137.821489,
2041,BAU-ENE-1-COMBDG,85550.74531,
2041,BAU-ENE-1-INDBDG,17017.85997,
2041,BAU-ENE-1-PUBBDG,14075.6506,
2041,BAU-ENE-1-RESBDG,79316.13378,
