regions,periods,tech,group_name,min_share_g,tech_desc
TO,2023,FRETRAAGAIMP,BAU-ENE-1-FRETRA,1.01E-05,
TO,2023,FRETRAATFIMP,BAU-ENE-1-FRETRA,0.005540367,
TO,2023,FRETRABDSLIMP,BAU-ENE-1-FRETRA,0.0011684,
TO,2023,PASTRABDSLIMP,BAU-ENE-1-PASTRA,2.94E-06,
TO,2023,PUBTRABDSLIMP,BAU-ENE-1-PUBTRA,0.004262804,
TO,2023,RESBDGBMAIMP,BAU-ENE-1-RESBDG,0.007902498,
TO,2023,COMBDGBMTNIMP,BAU-ENE-1-COMBDG,6.90E-06,
TO,2023,PASTRABMTNIMP,BAU-ENE-1-PASTRA,1.52E-06,
TO,2023,PUBBDGBMTNIMP,BAU-ENE-1-PUBBDG,2.05E-05,
TO,2023,RESBDGBMTNIMP,BAU-ENE-1-RESBDG,4.72E-06,
TO,2023,RESBDGBWPIMP,BAU-ENE-1-RESBDG,0.006081388,
TO,2023,FRETRACETHIMP,BAU-ENE-1-FRETRA,2.01E-05,
TO,2023,PASTRACETHIMP,BAU-ENE-1-PASTRA,5.86E-05,
TO,2023,PUBTRACETHIMP,BAU-ENE-1-PUBTRA,9.08E-04,
TO,2023,INDBDGCOAIMP,BAU-ENE-1-INDBDG,0.004245446,
TO,2023,FRETRADSLIMP,BAU-ENE-1-FRETRA,0.468862918,
TO,2023,PASTRADSLIMP,BAU-ENE-1-PASTRA,0.066294701,
TO,2023,PUBTRADSLIMP,BAU-ENE-1-PUBTRA,0.417977078,
TO,2023,COMBDGELCIMP23,BAU-ENE-1-COMBDG,0.494034865,
TO,2023,INDBDGELCIMP23,BAU-ENE-1-INDBDG,0.23567036,
TO,2023,PASTRAELCIMP23,BAU-ENE-1-PASTRA,0.027382714,
TO,2023,PUBBDGELCIMP23,BAU-ENE-1-PUBBDG,0.367490691,
TO,2023,RESBDGELCIMP23,BAU-ENE-1-RESBDG,0.2079676,
TO,2023,FRETRAETHIMP,BAU-ENE-1-FRETRA,0.017695999,
TO,2023,PASTRAETHIMP,BAU-ENE-1-PASTRA,9.22E-05,
TO,2023,PUBTRAETHIMP,BAU-ENE-1-PUBTRA,0.020627401,
TO,2023,COMBDGETHOSIMP,BAU-ENE-1-COMBDG,4.11E-05,
TO,2023,RESBDGETHOSIMP,BAU-ENE-1-RESBDG,2.04E-06,
TO,2023,FRETRAFTDSLIMP,BAU-ENE-1-FRETRA,1.33E-04,
TO,2023,PUBTRAFTDSLIMP,BAU-ENE-1-PUBTRA,2.40E-03,
TO,2023,FRETRAGASIMP,BAU-ENE-1-FRETRA,0.423155609,
TO,2023,PASTRAGASIMP,BAU-ENE-1-PASTRA,0.842281032,
TO,2023,PUBTRAGASIMP,BAU-ENE-1-PUBTRA,0.503821912,
TO,2023,COMBDGHFOIMP,BAU-ENE-1-COMBDG,2.24E-04,
TO,2023,INDBDGHFOIMP,BAU-ENE-1-INDBDG,0.005565948,
TO,2023,PUBBDGHFOIMP,BAU-ENE-1-PUBBDG,5.90E-05,
TO,2023,RESBDGHH2IMP,BAU-ENE-1-RESBDG,7.99E-06,
TO,2023,COMBDGLFOIMP,BAU-ENE-1-COMBDG,1.50E-03,
TO,2023,INDBDGLFOIMP,BAU-ENE-1-INDBDG,2.37E-02,
TO,2023,PUBBDGLFOIMP,BAU-ENE-1-PUBBDG,0.020624554,
TO,2023,RESBDGLFOIMP,BAU-ENE-1-RESBDG,0.003238436,
TO,2023,COMBDGNGAIMP,BAU-ENE-1-COMBDG,0.427188763,
TO,2023,INDBDGNGAIMP,BAU-ENE-1-INDBDG,0.661755239,
TO,2023,PASTRANGAIMP,BAU-ENE-1-PASTRA,0.008664497,
TO,2023,PUBBDGNGAIMP,BAU-ENE-1-PUBBDG,0.561226209,
TO,2023,RESBDGNGAIMP,BAU-ENE-1-RESBDG,0.717895699,
TO,2023,INDBDGPCOKIMP,BAU-ENE-1-INDBDG,0.010256181,
TO,2023,COMBDGPROIMP,BAU-ENE-1-COMBDG,0.026543448,
TO,2023,FRETRAPROIMP,BAU-ENE-1-FRETRA,0.027533981,
