regions,tech,group_name,act_fraction,tech_desc
TO,COMBDGWSTNewSH,BAP-BDG-3-COMBDG-TEUI,-252,
TO,COMBDGRTTNewSH,BAP-BDG-3-COMBDG-TEUI,-252,
TO,COMBDGTAWNewSH,BAP-BDG-3-COMBDG-TEUI,-252,
TO,COMBDGICINewSH,BAP-BDG-3-COMBDG-TEUI,-252,
TO,COMBDGOFFNewSH,BAP-BDG-3-COMBDG-TEUI,-234,
TO,COMBDGEDSNewSH,BAP-BDG-3-COMBDG-TEUI,-234,
TO,COMBDGHLCNewSH,BAP-BDG-3-COMBDG-TEUI,-234,
TO,COMBDGAERNewSH,BAP-BDG-3-COMBDG-TEUI,-234,
TO,COMBDGAFSNewSH,BAP-BDG-3-COMBDG-TEUI,-234,
TO,COMBDGOTSNewSH,BAP-BDG-3-COMBDG-TEUI,-252,
TO,COMBDGWSTOldSH,BAP-BDG-3-COMBDG-TEUI,-702,
TO,COMBDGRTTOldSH,BAP-BDG-3-COMBDG-TEUI,-702,
TO,COMBDGTAWOldSH,BAP-BDG-3-COMBDG-TEUI,-702,
TO,COMBDGICIOldSH,BAP-BDG-3-COMBDG-TEUI,-702,
TO,COMBDGOFFOldSH,BAP-BDG-3-COMBDG-TEUI,-702,
TO,COMBDGEDSOldSH,BAP-BDG-3-COMBDG-TEUI,-702,
TO,COMBDGHLCOldSH,BAP-BDG-3-COMBDG-TEUI,-702,
TO,COMBDGAEROldSH,BAP-BDG-3-COMBDG-TEUI,-702,
TO,COMBDGAFSOldSH,BAP-BDG-3-COMBDG-TEUI,-702,
TO,COMBDGOTSOldSH,BAP-BDG-3-COMBDG-TEUI,-702,
TO,COMBDGNGAIMP,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGLFOIMP,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGHFOIMP,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGPROIMP,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGBMAIMP,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGHH2IMP,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGKERIMP,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGBWPIMP,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGBMTNIMP,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGSGAIMP,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP16,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP17,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP18,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP19,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP20,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP21,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP22,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP23,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP24,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP25,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP26,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP27,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP28,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP29,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP30,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP31,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP32,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP33,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP34,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP35,BAP-BDG-3-COMBDG-TEUI,1,
TO,COMBDGELCIMP36,BAP-BDG-3-COMBDG-TEUI,1,
